#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-11-10T01:11:54 [V7.32.5]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	protocol=ASU	
#INFO	request_date=2023-11-10T01:11:55	
#INFO	request_post=https://vizier.cds.unistra.fr//viz-bin/asu-tsv	
#-oc.form=dec
#-out.max=1000
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:J/A+A/537/A146&tab:{J/A+A/537/A146/tables}&tab:{J/A+A/537/A146/iso}&key:source=J/A+A/537/A146&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-source=J/A+A/537/A146/tables,J/A+A/537/A146/iso
#-order=I
#-out=Mini
#Mini=1.1
#-out=track
#track=track
#-out=Zini
#Zini=0.014
#-out=logL
#-out=logTe
#iso=iso
#
#INFO	contact=cds-question@unistra.fr	
#INFO	version=7.32.5	
#INFO	-out.max=1000	
#INFO	CatalogsExamined=2	
#  2 catalogues with potential matches were examined.
#

#RESOURCE=yCat_35370146
#Name: J/A+A/537/A146
#Title: Stellar models with rotation. 0.8<M<120, Z=0.014 (Ekstrom+, 2012)
#INFO	ivoid=ivo://cds.vizier/j/a+a/537/a146	
#INFO	publisher=CDS	
#INFO	creator=Ekstrom S.	
#INFO	related_resource=bibcode:2012A&A...537A.146E	
#INFO	landing_page=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/537/A146	
#INFO	publication_id=doi:10.26093/cds/vizier.35370146	
#INFO	publication_date=2012-04-03	
#INFO	curation_level=RESEARCH	
#INFO	rights=https://cds.unistra.fr/vizier-org/licences_vizier.html	
#Table	J_A_A_537_A146_tables:
#Name: J/A+A/537/A146/tables
#Title: Evolutionary tracks
#Column	Mini	(F6.2)	Initial mass	[ucd=phys.mass]
#Column	track	(a5)	Evolutionary trask for this mass	[ucd=meta.ref.url]
#Column	Zini	(F6.3)	[0.014] Initial metallicity	[ucd=phys.abund.Z]
#Column	logL	(F7.3)	Luminosity in log scale	[ucd=phys.luminosity]
#Column	logTe	(F5.3)	Effective temperature in log scale	[ucd=phys.temperature.effective;instr.scale]
Mini	track	Zini	logL	logTe
  1.10	track	 0.014	  0.208	3.783
  1.10	track	 0.014	  0.210	3.783
  1.10	track	 0.014	  0.213	3.783
  1.10	track	 0.014	  0.215	3.783
  1.10	track	 0.014	  0.218	3.783
  1.10	track	 0.014	  0.221	3.783
  1.10	track	 0.014	  0.223	3.783
  1.10	track	 0.014	  0.226	3.783
  1.10	track	 0.014	  0.228	3.783
  1.10	track	 0.014	  0.230	3.783
  1.10	track	 0.014	  0.233	3.783
  1.10	track	 0.014	  0.236	3.783
  1.10	track	 0.014	  0.238	3.783
  1.10	track	 0.014	  0.240	3.783
  1.10	track	 0.014	  0.242	3.783
  1.10	track	 0.014	  0.245	3.783
  1.10	track	 0.014	  0.247	3.782
  1.10	track	 0.014	  0.249	3.782
  1.10	track	 0.014	  0.251	3.782
  1.10	track	 0.014	  0.253	3.782
  1.10	track	 0.014	  0.255	3.782
  1.10	track	 0.014	  0.256	3.782
  1.10	track	 0.014	  0.259	3.782
  1.10	track	 0.014	  0.260	3.782
  1.10	track	 0.014	  0.262	3.782
  1.10	track	 0.014	  0.263	3.782
  1.10	track	 0.014	  0.265	3.782
  1.10	track	 0.014	  0.267	3.782
  1.10	track	 0.014	  0.269	3.781
  1.10	track	 0.014	  0.270	3.781
  1.10	track	 0.014	  0.272	3.781
  1.10	track	 0.014	  0.274	3.781
  1.10	track	 0.014	  0.275	3.781
  1.10	track	 0.014	  0.275	3.781
  1.10	track	 0.014	  0.276	3.781
  1.10	track	 0.014	  0.276	3.781
  1.10	track	 0.014	  0.277	3.781
  1.10	track	 0.014	  0.278	3.781
  1.10	track	 0.014	  0.279	3.781
  1.10	track	 0.014	  0.279	3.781
  1.10	track	 0.014	  0.279	3.781
  1.10	track	 0.014	  0.280	3.781
  1.10	track	 0.014	  0.281	3.781
  1.10	track	 0.014	  0.282	3.781
  1.10	track	 0.014	  0.283	3.781
  1.10	track	 0.014	  0.284	3.781
  1.10	track	 0.014	  0.285	3.781
  1.10	track	 0.014	  0.285	3.781
  1.10	track	 0.014	  0.287	3.781
  1.10	track	 0.014	  0.288	3.781
  1.10	track	 0.014	  0.290	3.780
  1.10	track	 0.014	  0.291	3.780
  1.10	track	 0.014	  0.293	3.780
  1.10	track	 0.014	  0.296	3.780
  1.10	track	 0.014	  0.298	3.780
  1.10	track	 0.014	  0.301	3.780
  1.10	track	 0.014	  0.305	3.780
  1.10	track	 0.014	  0.308	3.780
  1.10	track	 0.014	  0.311	3.780
  1.10	track	 0.014	  0.313	3.780
  1.10	track	 0.014	  0.317	3.780
  1.10	track	 0.014	  0.320	3.779
  1.10	track	 0.014	  0.322	3.779
  1.10	track	 0.014	  0.325	3.779
  1.10	track	 0.014	  0.328	3.779
  1.10	track	 0.014	  0.331	3.779
  1.10	track	 0.014	  0.334	3.779
  1.10	track	 0.014	  0.337	3.779
  1.10	track	 0.014	  0.340	3.779
  1.10	track	 0.014	  0.342	3.778
  1.10	track	 0.014	  0.346	3.778
  1.10	track	 0.014	  0.349	3.778
  1.10	track	 0.014	  0.352	3.778
  1.10	track	 0.014	  0.355	3.778
  1.10	track	 0.014	  0.359	3.777
  1.10	track	 0.014	  0.362	3.777
  1.10	track	 0.014	  0.365	3.777
  1.10	track	 0.014	  0.368	3.777
  1.10	track	 0.014	  0.372	3.776
  1.10	track	 0.014	  0.376	3.776
  1.10	track	 0.014	  0.378	3.776
  1.10	track	 0.014	  0.382	3.776
  1.10	track	 0.014	  0.385	3.775
  1.10	track	 0.014	  0.389	3.775
  1.10	track	 0.014	  0.393	3.775
  1.10	track	 0.014	  0.396	3.774
  1.10	track	 0.014	  0.400	3.774
  1.10	track	 0.014	  0.403	3.774
  1.10	track	 0.014	  0.407	3.773
  1.10	track	 0.014	  0.411	3.772
  1.10	track	 0.014	  0.414	3.772
  1.10	track	 0.014	  0.418	3.771
  1.10	track	 0.014	  0.423	3.771
  1.10	track	 0.014	  0.426	3.770
  1.10	track	 0.014	  0.430	3.770
  1.10	track	 0.014	  0.433	3.769
  1.10	track	 0.014	  0.437	3.768
  1.10	track	 0.014	  0.442	3.767
  1.10	track	 0.014	  0.445	3.767
  1.10	track	 0.014	  0.449	3.765
  1.10	track	 0.014	  0.452	3.765
  1.10	track	 0.014	  0.456	3.763
  1.10	track	 0.014	  0.460	3.762
  1.10	track	 0.014	  0.463	3.761
  1.10	track	 0.014	  0.466	3.759
  1.10	track	 0.014	  0.469	3.758
  1.10	track	 0.014	  0.472	3.756
  1.10	track	 0.014	  0.474	3.753
  1.10	track	 0.014	  0.475	3.751
  1.10	track	 0.014	  0.475	3.748
  1.10	track	 0.014	  0.473	3.745
  1.10	track	 0.014	  0.470	3.741
  1.10	track	 0.014	  0.465	3.736
  1.10	track	 0.014	  0.455	3.729
  1.10	track	 0.014	  0.444	3.721
  1.10	track	 0.014	  0.436	3.715
  1.10	track	 0.014	  0.433	3.707
  1.10	track	 0.014	  0.440	3.700
  1.10	track	 0.014	  0.455	3.695
  1.10	track	 0.014	  0.478	3.691
  1.10	track	 0.014	  0.501	3.688
  1.10	track	 0.014	  0.536	3.686
  1.10	track	 0.014	  0.571	3.684
  1.10	track	 0.014	  0.608	3.683
  1.10	track	 0.014	  0.652	3.681
  1.10	track	 0.014	  0.700	3.680
  1.10	track	 0.014	  0.753	3.678
  1.10	track	 0.014	  0.816	3.676
  1.10	track	 0.014	  0.882	3.674
  1.10	track	 0.014	  0.961	3.671
  1.10	track	 0.014	  1.053	3.667
  1.10	track	 0.014	  1.170	3.662
  1.10	track	 0.014	  1.313	3.654
  1.10	track	 0.014	  1.498	3.645
  1.10	track	 0.014	  1.537	3.644
  1.10	track	 0.014	  1.859	3.624
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  2.720	3.555
  1.10	track	 0.014	  0.061	3.778
  1.10	track	 0.014	  0.068	3.779
  1.10	track	 0.014	  0.070	3.780
  1.10	track	 0.014	  0.073	3.780
  1.10	track	 0.014	  0.076	3.780
  1.10	track	 0.014	  0.078	3.780
  1.10	track	 0.014	  0.080	3.780
  1.10	track	 0.014	  0.082	3.780
  1.10	track	 0.014	  0.085	3.780
  1.10	track	 0.014	  0.087	3.780
  1.10	track	 0.014	  0.090	3.780
  1.10	track	 0.014	  0.092	3.780
  1.10	track	 0.014	  0.095	3.780
  1.10	track	 0.014	  0.097	3.780
  1.10	track	 0.014	  0.100	3.780
  1.10	track	 0.014	  0.102	3.781
  1.10	track	 0.014	  0.105	3.781
  1.10	track	 0.014	  0.107	3.781
  1.10	track	 0.014	  0.110	3.781
  1.10	track	 0.014	  0.113	3.781
  1.10	track	 0.014	  0.115	3.781
  1.10	track	 0.014	  0.118	3.781
  1.10	track	 0.014	  0.121	3.781
  1.10	track	 0.014	  0.123	3.781
  1.10	track	 0.014	  0.126	3.781
  1.10	track	 0.014	  0.129	3.781
  1.10	track	 0.014	  0.131	3.781
  1.10	track	 0.014	  0.134	3.782
  1.10	track	 0.014	  0.136	3.782
  1.10	track	 0.014	  0.139	3.782
  1.10	track	 0.014	  0.142	3.782
  1.10	track	 0.014	  0.145	3.782
  1.10	track	 0.014	  0.147	3.782
  1.10	track	 0.014	  0.150	3.782
  1.10	track	 0.014	  0.152	3.782
  1.10	track	 0.014	  0.155	3.782
  1.10	track	 0.014	  0.158	3.782
  1.10	track	 0.014	  0.161	3.782
  1.10	track	 0.014	  0.164	3.783
  1.10	track	 0.014	  0.167	3.783
  1.10	track	 0.014	  0.169	3.783
  1.10	track	 0.014	  0.171	3.783
  1.10	track	 0.014	  0.174	3.783
  1.10	track	 0.014	  0.177	3.783
  1.10	track	 0.014	  0.180	3.783
  1.10	track	 0.014	  0.183	3.783
  1.10	track	 0.014	  0.185	3.783
  1.10	track	 0.014	  0.188	3.783
  1.10	track	 0.014	  0.190	3.783
  1.10	track	 0.014	  0.193	3.783
  1.10	track	 0.014	  0.196	3.783
  1.10	track	 0.014	  0.199	3.783
  1.10	track	 0.014	  0.201	3.783
  1.10	track	 0.014	  0.204	3.783
  1.10	track	 0.014	  0.207	3.783
  1.10	track	 0.014	  0.209	3.783
  1.10	track	 0.014	  0.212	3.783
  1.10	track	 0.014	  0.215	3.783
  1.10	track	 0.014	  0.218	3.783
  1.10	track	 0.014	  0.221	3.783
  1.10	track	 0.014	  0.223	3.783
  1.10	track	 0.014	  0.226	3.783
  1.10	track	 0.014	  0.228	3.783
  1.10	track	 0.014	  0.231	3.783
  1.10	track	 0.014	  0.233	3.783
  1.10	track	 0.014	  0.236	3.783
  1.10	track	 0.014	  0.239	3.783
  1.10	track	 0.014	  0.241	3.783
  1.10	track	 0.014	  0.243	3.783
  1.10	track	 0.014	  0.245	3.783
  1.10	track	 0.014	  0.248	3.783
  1.10	track	 0.014	  0.250	3.783
  1.10	track	 0.014	  0.252	3.783
  1.10	track	 0.014	  0.254	3.783
  1.10	track	 0.014	  0.256	3.783
  1.10	track	 0.014	  0.258	3.782
  1.10	track	 0.014	  0.260	3.782
  1.10	track	 0.014	  0.261	3.782
  1.10	track	 0.014	  0.263	3.782
  1.10	track	 0.014	  0.266	3.782
  1.10	track	 0.014	  0.267	3.782
  1.10	track	 0.014	  0.269	3.782
  1.10	track	 0.014	  0.271	3.782
  1.10	track	 0.014	  0.273	3.782
  1.10	track	 0.014	  0.275	3.781
  1.10	track	 0.014	  0.276	3.781
  1.10	track	 0.014	  0.276	3.781
  1.10	track	 0.014	  0.277	3.781
  1.10	track	 0.014	  0.277	3.781
  1.10	track	 0.014	  0.278	3.781
  1.10	track	 0.014	  0.279	3.781
  1.10	track	 0.014	  0.280	3.781
  1.10	track	 0.014	  0.280	3.781
  1.10	track	 0.014	  0.281	3.781
  1.10	track	 0.014	  0.281	3.781
  1.10	track	 0.014	  0.282	3.781
  1.10	track	 0.014	  0.283	3.781
  1.10	track	 0.014	  0.284	3.781
  1.10	track	 0.014	  0.285	3.781
  1.10	track	 0.014	  0.286	3.781
  1.10	track	 0.014	  0.287	3.781
  1.10	track	 0.014	  0.288	3.781
  1.10	track	 0.014	  0.289	3.781
  1.10	track	 0.014	  0.291	3.781
  1.10	track	 0.014	  0.292	3.781
  1.10	track	 0.014	  0.294	3.780
  1.10	track	 0.014	  0.297	3.780
  1.10	track	 0.014	  0.299	3.780
  1.10	track	 0.014	  0.303	3.780
  1.10	track	 0.014	  0.306	3.780
  1.10	track	 0.014	  0.310	3.780
  1.10	track	 0.014	  0.313	3.780
  1.10	track	 0.014	  0.315	3.780
  1.10	track	 0.014	  0.318	3.780
  1.10	track	 0.014	  0.322	3.779
  1.10	track	 0.014	  0.324	3.779
  1.10	track	 0.014	  0.327	3.779
  1.10	track	 0.014	  0.329	3.779
  1.10	track	 0.014	  0.333	3.779
  1.10	track	 0.014	  0.336	3.779
  1.10	track	 0.014	  0.339	3.779
  1.10	track	 0.014	  0.342	3.779
  1.10	track	 0.014	  0.344	3.779
  1.10	track	 0.014	  0.348	3.778
  1.10	track	 0.014	  0.352	3.778
  1.10	track	 0.014	  0.354	3.778
  1.10	track	 0.014	  0.358	3.778
  1.10	track	 0.014	  0.361	3.778
  1.10	track	 0.014	  0.364	3.777
  1.10	track	 0.014	  0.368	3.777
  1.10	track	 0.014	  0.370	3.777
  1.10	track	 0.014	  0.374	3.777
  1.10	track	 0.014	  0.378	3.776
  1.10	track	 0.014	  0.381	3.776
  1.10	track	 0.014	  0.385	3.776
  1.10	track	 0.014	  0.388	3.776
  1.10	track	 0.014	  0.392	3.775
  1.10	track	 0.014	  0.396	3.775
  1.10	track	 0.014	  0.399	3.775
  1.10	track	 0.014	  0.404	3.774
  1.10	track	 0.014	  0.407	3.774
  1.10	track	 0.014	  0.411	3.773
  1.10	track	 0.014	  0.416	3.773
  1.10	track	 0.014	  0.419	3.772
  1.10	track	 0.014	  0.423	3.772
  1.10	track	 0.014	  0.428	3.771
  1.10	track	 0.014	  0.431	3.771
  1.10	track	 0.014	  0.436	3.770
  1.10	track	 0.014	  0.439	3.770
  1.10	track	 0.014	  0.444	3.769
  1.10	track	 0.014	  0.449	3.768
  1.10	track	 0.014	  0.452	3.767
  1.10	track	 0.014	  0.456	3.766
  1.10	track	 0.014	  0.460	3.765
