#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-11-10T01:11:46 [V7.32.5]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	protocol=ASU	
#INFO	request_date=2023-11-10T01:11:46	
#INFO	request_post=https://vizier.cds.unistra.fr//viz-bin/asu-tsv	
#-oc.form=dec
#-out.max=1000
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:J/A+A/537/A146&tab:{J/A+A/537/A146/tables}&tab:{J/A+A/537/A146/iso}&key:source=J/A+A/537/A146&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-source=J/A+A/537/A146/tables,J/A+A/537/A146/iso
#-order=I
#-out=Mini
#Mini=1
#-out=track
#track=track
#-out=Zini
#Zini=0.014
#-out=logL
#-out=logTe
#iso=iso
#
#INFO	contact=cds-question@unistra.fr	
#INFO	version=7.32.5	
#INFO	-out.max=1000	
#INFO	CatalogsExamined=2	
#  2 catalogues with potential matches were examined.
#

#RESOURCE=yCat_35370146
#Name: J/A+A/537/A146
#Title: Stellar models with rotation. 0.8<M<120, Z=0.014 (Ekstrom+, 2012)
#INFO	ivoid=ivo://cds.vizier/j/a+a/537/a146	
#INFO	publisher=CDS	
#INFO	creator=Ekstrom S.	
#INFO	related_resource=bibcode:2012A&A...537A.146E	
#INFO	landing_page=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/537/A146	
#INFO	publication_id=doi:10.26093/cds/vizier.35370146	
#INFO	publication_date=2012-04-03	
#INFO	curation_level=RESEARCH	
#INFO	rights=https://cds.unistra.fr/vizier-org/licences_vizier.html	
#Table	J_A_A_537_A146_tables:
#Name: J/A+A/537/A146/tables
#Title: Evolutionary tracks
#Column	Mini	(F6.2)	Initial mass	[ucd=phys.mass]
#Column	track	(a5)	Evolutionary trask for this mass	[ucd=meta.ref.url]
#Column	Zini	(F6.3)	[0.014] Initial metallicity	[ucd=phys.abund.Z]
#Column	logL	(F7.3)	Luminosity in log scale	[ucd=phys.luminosity]
#Column	logTe	(F5.3)	Effective temperature in log scale	[ucd=phys.temperature.effective;instr.scale]
Mini	track	Zini	logL	logTe
  1.00	track	 0.014	  0.015	3.762
  1.00	track	 0.014	  0.018	3.762
  1.00	track	 0.014	  0.021	3.762
  1.00	track	 0.014	  0.024	3.763
  1.00	track	 0.014	  0.028	3.763
  1.00	track	 0.014	  0.031	3.763
  1.00	track	 0.014	  0.034	3.763
  1.00	track	 0.014	  0.038	3.763
  1.00	track	 0.014	  0.041	3.763
  1.00	track	 0.014	  0.044	3.763
  1.00	track	 0.014	  0.048	3.763
  1.00	track	 0.014	  0.051	3.763
  1.00	track	 0.014	  0.054	3.763
  1.00	track	 0.014	  0.058	3.763
  1.00	track	 0.014	  0.061	3.763
  1.00	track	 0.014	  0.065	3.763
  1.00	track	 0.014	  0.068	3.763
  1.00	track	 0.014	  0.072	3.763
  1.00	track	 0.014	  0.075	3.763
  1.00	track	 0.014	  0.079	3.763
  1.00	track	 0.014	  0.082	3.763
  1.00	track	 0.014	  0.086	3.763
  1.00	track	 0.014	  0.089	3.763
  1.00	track	 0.014	  0.093	3.763
  1.00	track	 0.014	  0.096	3.763
  1.00	track	 0.014	  0.100	3.763
  1.00	track	 0.014	  0.103	3.763
  1.00	track	 0.014	  0.106	3.763
  1.00	track	 0.014	  0.109	3.763
  1.00	track	 0.014	  0.112	3.763
  1.00	track	 0.014	  0.115	3.763
  1.00	track	 0.014	  0.118	3.763
  1.00	track	 0.014	  0.121	3.763
  1.00	track	 0.014	  0.124	3.763
  1.00	track	 0.014	  0.125	3.763
  1.00	track	 0.014	  0.126	3.763
  1.00	track	 0.014	  0.126	3.763
  1.00	track	 0.014	  0.127	3.763
  1.00	track	 0.014	  0.128	3.763
  1.00	track	 0.014	  0.129	3.763
  1.00	track	 0.014	  0.129	3.763
  1.00	track	 0.014	  0.130	3.763
  1.00	track	 0.014	  0.131	3.763
  1.00	track	 0.014	  0.132	3.763
  1.00	track	 0.014	  0.133	3.762
  1.00	track	 0.014	  0.134	3.762
  1.00	track	 0.014	  0.135	3.762
  1.00	track	 0.014	  0.136	3.762
  1.00	track	 0.014	  0.137	3.762
  1.00	track	 0.014	  0.139	3.762
  1.00	track	 0.014	  0.139	3.762
  1.00	track	 0.014	  0.141	3.762
  1.00	track	 0.014	  0.142	3.762
  1.00	track	 0.014	  0.144	3.762
  1.00	track	 0.014	  0.146	3.762
  1.00	track	 0.014	  0.148	3.762
  1.00	track	 0.014	  0.151	3.762
  1.00	track	 0.014	  0.153	3.762
  1.00	track	 0.014	  0.157	3.762
  1.00	track	 0.014	  0.161	3.762
  1.00	track	 0.014	  0.163	3.762
  1.00	track	 0.014	  0.165	3.762
  1.00	track	 0.014	  0.168	3.761
  1.00	track	 0.014	  0.171	3.761
  1.00	track	 0.014	  0.174	3.761
  1.00	track	 0.014	  0.176	3.761
  1.00	track	 0.014	  0.179	3.761
  1.00	track	 0.014	  0.182	3.761
  1.00	track	 0.014	  0.185	3.761
  1.00	track	 0.014	  0.187	3.761
  1.00	track	 0.014	  0.190	3.761
  1.00	track	 0.014	  0.194	3.761
  1.00	track	 0.014	  0.196	3.761
  1.00	track	 0.014	  0.199	3.761
  1.00	track	 0.014	  0.202	3.761
  1.00	track	 0.014	  0.205	3.760
  1.00	track	 0.014	  0.208	3.760
  1.00	track	 0.014	  0.211	3.760
  1.00	track	 0.014	  0.214	3.760
  1.00	track	 0.014	  0.218	3.760
  1.00	track	 0.014	  0.221	3.760
  1.00	track	 0.014	  0.223	3.760
  1.00	track	 0.014	  0.226	3.759
  1.00	track	 0.014	  0.230	3.759
  1.00	track	 0.014	  0.233	3.759
  1.00	track	 0.014	  0.236	3.759
  1.00	track	 0.014	  0.240	3.758
  1.00	track	 0.014	  0.244	3.758
  1.00	track	 0.014	  0.247	3.758
  1.00	track	 0.014	  0.250	3.757
  1.00	track	 0.014	  0.253	3.757
  1.00	track	 0.014	  0.257	3.757
  1.00	track	 0.014	  0.261	3.756
  1.00	track	 0.014	  0.264	3.756
  1.00	track	 0.014	  0.267	3.755
  1.00	track	 0.014	  0.271	3.755
  1.00	track	 0.014	  0.275	3.754
  1.00	track	 0.014	  0.278	3.754
  1.00	track	 0.014	  0.281	3.753
  1.00	track	 0.014	  0.286	3.752
  1.00	track	 0.014	  0.289	3.752
  1.00	track	 0.014	  0.292	3.751
  1.00	track	 0.014	  0.295	3.750
  1.00	track	 0.014	  0.300	3.749
  1.00	track	 0.014	  0.303	3.748
  1.00	track	 0.014	  0.306	3.747
  1.00	track	 0.014	  0.308	3.746
  1.00	track	 0.014	  0.312	3.744
  1.00	track	 0.014	  0.315	3.742
  1.00	track	 0.014	  0.317	3.741
  1.00	track	 0.014	  0.319	3.739
  1.00	track	 0.014	  0.321	3.737
  1.00	track	 0.014	  0.322	3.734
  1.00	track	 0.014	  0.323	3.731
  1.00	track	 0.014	  0.323	3.728
  1.00	track	 0.014	  0.321	3.725
  1.00	track	 0.014	  0.319	3.719
  1.00	track	 0.014	  0.317	3.714
  1.00	track	 0.014	  0.316	3.709
  1.00	track	 0.014	  0.317	3.703
  1.00	track	 0.014	  0.325	3.697
  1.00	track	 0.014	  0.338	3.693
  1.00	track	 0.014	  0.362	3.688
  1.00	track	 0.014	  0.394	3.684
  1.00	track	 0.014	  0.419	3.683
  1.00	track	 0.014	  0.461	3.681
  1.00	track	 0.014	  0.504	3.679
  1.00	track	 0.014	  0.550	3.677
  1.00	track	 0.014	  0.604	3.676
  1.00	track	 0.014	  0.664	3.674
  1.00	track	 0.014	  0.729	3.672
  1.00	track	 0.014	  0.808	3.670
  1.00	track	 0.014	  0.898	3.667
  1.00	track	 0.014	  1.008	3.663
  1.00	track	 0.014	  1.152	3.657
  1.00	track	 0.014	  1.342	3.648
  1.00	track	 0.014	  1.390	3.647
  1.00	track	 0.014	  1.720	3.627
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	  2.638	3.556
  1.00	track	 0.014	 -0.138	3.754
  1.00	track	 0.014	 -0.131	3.755
  1.00	track	 0.014	 -0.129	3.755
  1.00	track	 0.014	 -0.127	3.755
  1.00	track	 0.014	 -0.124	3.755
  1.00	track	 0.014	 -0.122	3.755
  1.00	track	 0.014	 -0.120	3.755
  1.00	track	 0.014	 -0.118	3.755
  1.00	track	 0.014	 -0.115	3.755
  1.00	track	 0.014	 -0.113	3.756
  1.00	track	 0.014	 -0.110	3.756
  1.00	track	 0.014	 -0.108	3.756
  1.00	track	 0.014	 -0.106	3.756
  1.00	track	 0.014	 -0.103	3.756
  1.00	track	 0.014	 -0.100	3.756
  1.00	track	 0.014	 -0.098	3.756
  1.00	track	 0.014	 -0.095	3.757
  1.00	track	 0.014	 -0.093	3.757
  1.00	track	 0.014	 -0.090	3.757
  1.00	track	 0.014	 -0.088	3.757
  1.00	track	 0.014	 -0.085	3.757
  1.00	track	 0.014	 -0.082	3.757
  1.00	track	 0.014	 -0.079	3.758
  1.00	track	 0.014	 -0.076	3.758
  1.00	track	 0.014	 -0.074	3.758
  1.00	track	 0.014	 -0.071	3.758
  1.00	track	 0.014	 -0.068	3.758
  1.00	track	 0.014	 -0.065	3.758
  1.00	track	 0.014	 -0.062	3.758
  1.00	track	 0.014	 -0.059	3.759
  1.00	track	 0.014	 -0.057	3.759
  1.00	track	 0.014	 -0.054	3.759
  1.00	track	 0.014	 -0.051	3.759
  1.00	track	 0.014	 -0.048	3.759
  1.00	track	 0.014	 -0.045	3.759
  1.00	track	 0.014	 -0.042	3.759
  1.00	track	 0.014	 -0.039	3.759
  1.00	track	 0.014	 -0.036	3.760
  1.00	track	 0.014	 -0.033	3.760
  1.00	track	 0.014	 -0.030	3.760
  1.00	track	 0.014	 -0.027	3.760
  1.00	track	 0.014	 -0.024	3.760
  1.00	track	 0.014	 -0.020	3.760
  1.00	track	 0.014	 -0.017	3.760
  1.00	track	 0.014	 -0.014	3.761
  1.00	track	 0.014	 -0.011	3.761
  1.00	track	 0.014	 -0.007	3.761
  1.00	track	 0.014	 -0.004	3.761
  1.00	track	 0.014	 -0.001	3.761
  1.00	track	 0.014	  0.002	3.761
  1.00	track	 0.014	  0.006	3.761
  1.00	track	 0.014	  0.009	3.762
  1.00	track	 0.014	  0.012	3.762
  1.00	track	 0.014	  0.016	3.762
  1.00	track	 0.014	  0.018	3.762
  1.00	track	 0.014	  0.022	3.762
  1.00	track	 0.014	  0.025	3.762
  1.00	track	 0.014	  0.029	3.762
  1.00	track	 0.014	  0.032	3.762
  1.00	track	 0.014	  0.036	3.762
  1.00	track	 0.014	  0.039	3.763
  1.00	track	 0.014	  0.043	3.763
  1.00	track	 0.014	  0.047	3.763
  1.00	track	 0.014	  0.050	3.763
  1.00	track	 0.014	  0.053	3.763
  1.00	track	 0.014	  0.057	3.763
  1.00	track	 0.014	  0.061	3.763
  1.00	track	 0.014	  0.064	3.763
  1.00	track	 0.014	  0.068	3.763
  1.00	track	 0.014	  0.072	3.763
  1.00	track	 0.014	  0.076	3.763
  1.00	track	 0.014	  0.080	3.763
  1.00	track	 0.014	  0.083	3.763
  1.00	track	 0.014	  0.087	3.763
  1.00	track	 0.014	  0.091	3.763
  1.00	track	 0.014	  0.094	3.763
  1.00	track	 0.014	  0.098	3.763
  1.00	track	 0.014	  0.101	3.763
  1.00	track	 0.014	  0.105	3.763
  1.00	track	 0.014	  0.109	3.763
  1.00	track	 0.014	  0.112	3.763
  1.00	track	 0.014	  0.115	3.763
  1.00	track	 0.014	  0.118	3.763
  1.00	track	 0.014	  0.122	3.763
  1.00	track	 0.014	  0.124	3.763
  1.00	track	 0.014	  0.126	3.763
  1.00	track	 0.014	  0.126	3.763
  1.00	track	 0.014	  0.127	3.763
  1.00	track	 0.014	  0.128	3.763
  1.00	track	 0.014	  0.128	3.763
  1.00	track	 0.014	  0.129	3.763
  1.00	track	 0.014	  0.130	3.763
  1.00	track	 0.014	  0.131	3.763
  1.00	track	 0.014	  0.132	3.763
  1.00	track	 0.014	  0.132	3.763
  1.00	track	 0.014	  0.134	3.763
  1.00	track	 0.014	  0.135	3.763
  1.00	track	 0.014	  0.135	3.763
  1.00	track	 0.014	  0.137	3.763
  1.00	track	 0.014	  0.137	3.763
  1.00	track	 0.014	  0.139	3.763
  1.00	track	 0.014	  0.140	3.762
  1.00	track	 0.014	  0.142	3.762
  1.00	track	 0.014	  0.143	3.762
  1.00	track	 0.014	  0.145	3.762
  1.00	track	 0.014	  0.147	3.762
  1.00	track	 0.014	  0.149	3.762
  1.00	track	 0.014	  0.152	3.762
  1.00	track	 0.014	  0.155	3.762
  1.00	track	 0.014	  0.158	3.762
  1.00	track	 0.014	  0.162	3.762
  1.00	track	 0.014	  0.164	3.762
  1.00	track	 0.014	  0.167	3.762
  1.00	track	 0.014	  0.169	3.762
  1.00	track	 0.014	  0.172	3.762
  1.00	track	 0.014	  0.175	3.761
  1.00	track	 0.014	  0.177	3.761
  1.00	track	 0.014	  0.180	3.761
  1.00	track	 0.014	  0.183	3.761
  1.00	track	 0.014	  0.186	3.761
  1.00	track	 0.014	  0.188	3.761
  1.00	track	 0.014	  0.191	3.761
  1.00	track	 0.014	  0.194	3.761
  1.00	track	 0.014	  0.198	3.761
  1.00	track	 0.014	  0.201	3.761
  1.00	track	 0.014	  0.204	3.760
  1.00	track	 0.014	  0.207	3.760
  1.00	track	 0.014	  0.210	3.760
  1.00	track	 0.014	  0.213	3.760
  1.00	track	 0.014	  0.216	3.760
  1.00	track	 0.014	  0.219	3.760
  1.00	track	 0.014	  0.222	3.760
  1.00	track	 0.014	  0.226	3.759
  1.00	track	 0.014	  0.229	3.759
  1.00	track	 0.014	  0.232	3.759
  1.00	track	 0.014	  0.235	3.759
  1.00	track	 0.014	  0.240	3.758
  1.00	track	 0.014	  0.243	3.758
  1.00	track	 0.014	  0.247	3.758
  1.00	track	 0.014	  0.250	3.757
  1.00	track	 0.014	  0.254	3.757
  1.00	track	 0.014	  0.257	3.757
  1.00	track	 0.014	  0.261	3.756
  1.00	track	 0.014	  0.264	3.756
  1.00	track	 0.014	  0.268	3.755
  1.00	track	 0.014	  0.271	3.755
  1.00	track	 0.014	  0.275	3.754
  1.00	track	 0.014	  0.279	3.754
  1.00	track	 0.014	  0.283	3.753
  1.00	track	 0.014	  0.288	3.753
