#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-11-09T23:53:03 [V7.32.5]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	protocol=ASU	
#INFO	request_date=2023-11-09T23:53:03	
#INFO	request_post=https://vizier.cds.unistra.fr//viz-bin/asu-tsv	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/537/A146&tab:{J/A+A/537/A146/tables}&tab:{J/A+A/537/A146/iso}&key:source=J/A+A/537/A146&HTTPPRM:&&-ref=VIZ654d5c4f1a99a0&-out.max=50&-out.form=HTML Table&-order=I&-oc.form=sexa&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&
#-source=J/A+A/537/A146/tables,J/A+A/537/A146/iso
#-order=I
#-out=Mini
#Mini=120
#track=track
#-out=Zini
#Zini=0.014
#-out=logL
#-out=logTe
#iso=iso
#
#INFO	contact=cds-question@unistra.fr	
#INFO	version=7.32.5	
#INFO	-out.max=unlimited	
#INFO	CatalogsExamined=2	
#  2 catalogues with potential matches were examined.
#

#RESOURCE=yCat_35370146
#Name: J/A+A/537/A146
#Title: Stellar models with rotation. 0.8<M<120, Z=0.014 (Ekstrom+, 2012)
#INFO	ivoid=ivo://cds.vizier/j/a+a/537/a146	
#INFO	publisher=CDS	
#INFO	creator=Ekstrom S.	
#INFO	related_resource=bibcode:2012A&A...537A.146E	
#INFO	landing_page=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/537/A146	
#INFO	publication_id=doi:10.26093/cds/vizier.35370146	
#INFO	publication_date=2012-04-03	
#INFO	curation_level=RESEARCH	
#INFO	rights=https://cds.unistra.fr/vizier-org/licences_vizier.html	
#Table	J_A_A_537_A146_tables:
#Name: J/A+A/537/A146/tables
#Title: Evolutionary tracks
#Column	Mini	(F6.2)	Initial mass	[ucd=phys.mass]
#Column	Zini	(F6.3)	[0.014] Initial metallicity	[ucd=phys.abund.Z]
#Column	logL	(F7.3)	Luminosity in log scale	[ucd=phys.luminosity]
#Column	logTe	(F5.3)	Effective temperature in log scale	[ucd=phys.temperature.effective;instr.scale]
Mini	Zini	logL	logTe
120.00	 0.014	  6.280	4.589
120.00	 0.014	  6.282	4.586
120.00	 0.014	  6.283	4.582
120.00	 0.014	  6.284	4.578
120.00	 0.014	  6.285	4.574
120.00	 0.014	  6.287	4.569
120.00	 0.014	  6.288	4.565
120.00	 0.014	  6.289	4.560
120.00	 0.014	  6.291	4.555
120.00	 0.014	  6.292	4.550
120.00	 0.014	  6.293	4.545
120.00	 0.014	  6.295	4.539
120.00	 0.014	  6.296	4.533
120.00	 0.014	  6.298	4.527
120.00	 0.014	  6.299	4.520
120.00	 0.014	  6.301	4.513
120.00	 0.014	  6.302	4.505
120.00	 0.014	  6.304	4.497
120.00	 0.014	  6.305	4.488
120.00	 0.014	  6.307	4.479
120.00	 0.014	  6.309	4.468
120.00	 0.014	  6.310	4.458
120.00	 0.014	  6.312	4.446
120.00	 0.014	  6.313	4.433
120.00	 0.014	  6.313	4.430
120.00	 0.014	  6.312	4.430
120.00	 0.014	  6.311	4.431
120.00	 0.014	  6.310	4.433
120.00	 0.014	  6.310	4.433
120.00	 0.014	  6.310	4.434
120.00	 0.014	  6.310	4.434
120.00	 0.014	  6.310	4.434
120.00	 0.014	  6.310	4.435
120.00	 0.014	  6.311	4.434
120.00	 0.014	  6.311	4.434
120.00	 0.014	  6.311	4.436
120.00	 0.014	  6.311	4.437
120.00	 0.014	  6.312	4.437
120.00	 0.014	  6.312	4.437
120.00	 0.014	  6.313	4.437
120.00	 0.014	  6.314	4.438
120.00	 0.014	  6.314	4.439
120.00	 0.014	  6.315	4.439
120.00	 0.014	  6.317	4.438
120.00	 0.014	  6.317	4.149
120.00	 0.014	  6.315	4.268
120.00	 0.014	  6.315	4.279
120.00	 0.014	  6.316	4.290
120.00	 0.014	  6.317	4.310
120.00	 0.014	  6.348	4.433
120.00	 0.014	  6.350	4.435
120.00	 0.014	  6.351	4.437
120.00	 0.014	  6.352	4.438
120.00	 0.014	  6.352	4.439
120.00	 0.014	  6.353	4.441
120.00	 0.014	  6.354	4.442
120.00	 0.014	  6.354	4.442
120.00	 0.014	  6.355	4.443
120.00	 0.014	  6.356	4.445
120.00	 0.014	  6.356	4.445
120.00	 0.014	  6.356	4.445
120.00	 0.014	  6.357	4.445
120.00	 0.014	  6.357	4.445
120.00	 0.014	  6.357	4.444
120.00	 0.014	  6.357	4.442
120.00	 0.014	  6.357	4.440
120.00	 0.014	  6.357	4.437
120.00	 0.014	  6.358	4.434
120.00	 0.014	  6.358	4.429
120.00	 0.014	  6.359	4.422
120.00	 0.014	  6.360	4.414
120.00	 0.014	  6.361	4.405
120.00	 0.014	  6.362	4.396
120.00	 0.014	  6.363	4.385
120.00	 0.014	  6.364	4.374
120.00	 0.014	  6.366	4.340
120.00	 0.014	  6.367	4.299
120.00	 0.014	  6.369	4.258
120.00	 0.014	  6.369	4.241
120.00	 0.014	  6.371	4.213
120.00	 0.014	  6.372	4.124
120.00	 0.014	  6.374	4.108
120.00	 0.014	  6.375	4.096
120.00	 0.014	  6.376	4.082
120.00	 0.014	  6.378	3.865
120.00	 0.014	  6.379	3.862
120.00	 0.014	  6.380	3.858
120.00	 0.014	  6.381	3.855
120.00	 0.014	  6.383	3.850
120.00	 0.014	  6.384	3.846
120.00	 0.014	  6.386	3.841
120.00	 0.014	  6.388	3.838
120.00	 0.014	  6.389	3.831
120.00	 0.014	  6.391	3.827
120.00	 0.014	  6.393	3.821
120.00	 0.014	  6.394	3.817
120.00	 0.014	  6.396	3.813
120.00	 0.014	  6.397	3.810
120.00	 0.014	  6.399	3.812
120.00	 0.014	  6.401	3.815
120.00	 0.014	  6.404	3.828
120.00	 0.014	  6.406	3.841
120.00	 0.014	  6.405	3.841
120.00	 0.014	  6.405	3.840
120.00	 0.014	  6.406	3.838
120.00	 0.014	  6.406	3.839
120.00	 0.014	  6.407	3.841
120.00	 0.014	  6.409	3.846
120.00	 0.014	  6.410	3.854
120.00	 0.014	  6.410	3.860
120.00	 0.014	  6.410	3.864
120.00	 0.014	  6.410	3.868
120.00	 0.014	  6.411	4.069
120.00	 0.014	  6.412	4.069
120.00	 0.014	  6.412	4.071
120.00	 0.014	  6.413	4.072
120.00	 0.014	  6.413	4.075
120.00	 0.014	  6.413	4.077
120.00	 0.014	  6.414	4.080
120.00	 0.014	  6.414	4.083
120.00	 0.014	  6.414	4.086
120.00	 0.014	  6.415	4.090
120.00	 0.014	  6.415	4.093
120.00	 0.014	  6.414	4.094
120.00	 0.014	  6.414	4.095
120.00	 0.014	  6.414	4.096
120.00	 0.014	  6.414	4.097
120.00	 0.014	  6.414	4.097
120.00	 0.014	  6.414	4.097
120.00	 0.014	  6.413	4.098
120.00	 0.014	  6.392	4.109
120.00	 0.014	  6.370	4.452
120.00	 0.014	  6.360	4.288
120.00	 0.014	  6.315	4.351
120.00	 0.014	  6.284	4.359
120.00	 0.014	  6.262	4.586
120.00	 0.014	  6.257	4.584
120.00	 0.014	  6.253	4.583
120.00	 0.014	  6.250	4.581
120.00	 0.014	  6.246	4.580
120.00	 0.014	  6.242	4.578
120.00	 0.014	  6.238	4.576
120.00	 0.014	  6.233	4.574
120.00	 0.014	  6.229	4.572
120.00	 0.014	  6.224	4.570
120.00	 0.014	  6.219	4.568
120.00	 0.014	  6.213	4.559
120.00	 0.014	  6.206	4.575
120.00	 0.014	  6.198	4.587
120.00	 0.014	  6.191	4.598
120.00	 0.014	  6.189	4.600
120.00	 0.014	  6.188	4.602
120.00	 0.014	  6.186	4.603
120.00	 0.014	  6.185	4.604
120.00	 0.014	  6.183	4.606
120.00	 0.014	  6.181	4.607
120.00	 0.014	  6.180	4.608
120.00	 0.014	  6.178	4.610
120.00	 0.014	  6.177	4.611
120.00	 0.014	  6.175	4.612
120.00	 0.014	  6.174	4.614
120.00	 0.014	  6.172	4.615
120.00	 0.014	  6.171	4.617
120.00	 0.014	  6.169	4.618
120.00	 0.014	  6.168	4.620
120.00	 0.014	  6.166	4.621
120.00	 0.014	  6.165	4.623
120.00	 0.014	  6.163	4.625
120.00	 0.014	  6.162	4.626
120.00	 0.014	  6.161	4.628
120.00	 0.014	  6.159	4.629
120.00	 0.014	  6.158	4.631
120.00	 0.014	  6.156	4.633
120.00	 0.014	  6.155	4.634
120.00	 0.014	  6.153	4.635
120.00	 0.014	  6.152	4.637
120.00	 0.014	  6.151	4.638
120.00	 0.014	  6.149	4.640
120.00	 0.014	  6.148	4.641
120.00	 0.014	  6.146	4.643
120.00	 0.014	  6.145	4.645
120.00	 0.014	  6.144	4.646
120.00	 0.014	  6.142	4.648
120.00	 0.014	  6.141	4.650
120.00	 0.014	  6.140	4.652
120.00	 0.014	  6.138	4.653
120.00	 0.014	  6.137	4.655
120.00	 0.014	  6.136	4.657
120.00	 0.014	  6.134	4.659
120.00	 0.014	  6.133	4.660
120.00	 0.014	  6.132	4.662
120.00	 0.014	  6.131	4.664
120.00	 0.014	  6.129	4.666
120.00	 0.014	  6.128	4.668
120.00	 0.014	  6.127	4.669
120.00	 0.014	  6.126	4.672
120.00	 0.014	  6.125	4.673
120.00	 0.014	  6.123	4.675
120.00	 0.014	  6.122	4.677
120.00	 0.014	  6.121	4.679
120.00	 0.014	  6.120	4.682
120.00	 0.014	  6.119	4.684
120.00	 0.014	  6.118	4.686
120.00	 0.014	  6.117	4.688
120.00	 0.014	  6.115	4.690
120.00	 0.014	  6.114	4.692
120.00	 0.014	  6.113	4.694
120.00	 0.014	  6.112	4.697
120.00	 0.014	  6.111	4.699
120.00	 0.014	  6.110	4.701
120.00	 0.014	  6.109	4.703
120.00	 0.014	  6.108	4.706
120.00	 0.014	  6.107	4.708
120.00	 0.014	  6.106	4.710
120.00	 0.014	  6.105	4.712
120.00	 0.014	  6.104	4.714
120.00	 0.014	  6.104	4.716
120.00	 0.014	  6.103	4.719
120.00	 0.014	  6.102	4.722
120.00	 0.014	  6.101	4.724
120.00	 0.014	  6.101	4.725
120.00	 0.014	  6.101	4.726
120.00	 0.014	  6.100	4.727
120.00	 0.014	  6.100	4.728
120.00	 0.014	  6.100	4.729
120.00	 0.014	  6.099	4.730
120.00	 0.014	  6.099	4.731
120.00	 0.014	  6.099	4.732
120.00	 0.014	  6.099	4.732
120.00	 0.014	  6.099	4.733
120.00	 0.014	  6.098	4.734
120.00	 0.014	  6.098	4.735
120.00	 0.014	  6.098	4.736
120.00	 0.014	  6.098	4.737
120.00	 0.014	  6.097	4.738
120.00	 0.014	  6.097	4.739
120.00	 0.014	  6.097	4.740
120.00	 0.014	  6.097	4.741
120.00	 0.014	  6.097	4.742
120.00	 0.014	  6.096	4.743
120.00	 0.014	  6.096	4.744
120.00	 0.014	  6.096	4.745
120.00	 0.014	  6.096	4.746
120.00	 0.014	  6.096	4.747
120.00	 0.014	  6.096	4.748
120.00	 0.014	  6.095	4.749
120.00	 0.014	  6.095	4.750
120.00	 0.014	  6.095	4.751
120.00	 0.014	  6.095	4.752
120.00	 0.014	  6.095	4.753
120.00	 0.014	  6.095	4.754
120.00	 0.014	  6.094	4.756
120.00	 0.014	  6.094	4.757
120.00	 0.014	  6.094	4.758
120.00	 0.014	  6.094	4.759
120.00	 0.014	  6.094	4.760
120.00	 0.014	  6.094	4.761
120.00	 0.014	  6.094	4.762
120.00	 0.014	  6.094	4.763
120.00	 0.014	  6.094	4.764
120.00	 0.014	  6.094	4.765
120.00	 0.014	  6.094	4.766
120.00	 0.014	  6.094	4.767
120.00	 0.014	  6.094	4.768
120.00	 0.014	  6.094	4.769
120.00	 0.014	  6.094	4.771
120.00	 0.014	  6.094	4.772
120.00	 0.014	  6.094	4.773
120.00	 0.014	  6.094	4.774
120.00	 0.014	  6.094	4.776
120.00	 0.014	  6.094	4.777
120.00	 0.014	  6.094	4.778
120.00	 0.014	  6.094	4.779
120.00	 0.014	  6.094	4.781
120.00	 0.014	  6.094	4.782
120.00	 0.014	  6.094	4.783
120.00	 0.014	  6.095	4.785
120.00	 0.014	  6.095	4.786
120.00	 0.014	  6.095	4.788
120.00	 0.014	  6.095	4.789
120.00	 0.014	  6.096	4.790
120.00	 0.014	  6.096	4.792
120.00	 0.014	  6.097	4.794
120.00	 0.014	  6.097	4.795
120.00	 0.014	  6.098	4.797
120.00	 0.014	  6.099	4.799
120.00	 0.014	  6.100	4.801
120.00	 0.014	  6.102	4.803
120.00	 0.014	  6.105	4.806
120.00	 0.014	  6.137	4.830
120.00	 0.014	  6.137	4.830
120.00	 0.014	  6.137	4.830
120.00	 0.014	  6.137	4.830
120.00	 0.014	  6.137	4.830
120.00	 0.014	  6.137	4.830
120.00	 0.014	  6.137	4.830
120.00	 0.014	  6.137	4.830
120.00	 0.014	  6.137	4.830
120.00	 0.014	  6.137	4.830
120.00	 0.014	  6.137	4.830
120.00	 0.014	  6.137	4.830
120.00	 0.014	  6.137	4.830
120.00	 0.014	  6.137	4.830
120.00	 0.014	  6.137	4.830
120.00	 0.014	  6.137	4.830
120.00	 0.014	  6.137	4.830
120.00	 0.014	  6.137	4.830
120.00	 0.014	  6.137	4.830
120.00	 0.014	  6.137	4.830
120.00	 0.014	  6.202	4.849
120.00	 0.014	  6.207	4.850
120.00	 0.014	  6.208	4.850
120.00	 0.014	  6.210	4.850
120.00	 0.014	  6.211	4.850
120.00	 0.014	  6.212	4.850
120.00	 0.014	  6.213	4.849
120.00	 0.014	  6.213	4.849
120.00	 0.014	  6.214	4.849
120.00	 0.014	  6.214	4.849
120.00	 0.014	  6.215	4.849
120.00	 0.014	  6.216	4.849
120.00	 0.014	  6.216	4.849
120.00	 0.014	  6.216	4.849
120.00	 0.014	  6.217	4.849
120.00	 0.014	  6.218	4.849
120.00	 0.014	  6.218	4.849
120.00	 0.014	  6.219	4.848
120.00	 0.014	  6.219	4.848
120.00	 0.014	  6.220	4.849
120.00	 0.014	  6.220	4.848
120.00	 0.014	  6.221	4.848
120.00	 0.014	  6.221	4.848
120.00	 0.014	  6.222	4.847
120.00	 0.014	  6.223	4.847
120.00	 0.014	  6.224	4.847
120.00	 0.014	  6.225	4.847
120.00	 0.014	  6.226	4.846
120.00	 0.014	  6.228	4.844
120.00	 0.014	  6.231	4.842
120.00	 0.014	  6.251	4.802
120.00	 0.014	  6.222	4.715
120.00	 0.014	  6.222	4.717
120.00	 0.014	  6.222	4.717
120.00	 0.014	  6.222	4.716
120.00	 0.014	  6.223	4.716
120.00	 0.014	  6.223	4.715
120.00	 0.014	  6.223	4.715
120.00	 0.014	  6.223	4.714
120.00	 0.014	  6.223	4.714
120.00	 0.014	  6.223	4.713
120.00	 0.014	  6.223	4.713
120.00	 0.014	  6.224	4.713
120.00	 0.014	  6.224	4.712
120.00	 0.014	  6.224	4.712
120.00	 0.014	  6.224	4.712
120.00	 0.014	  6.224	4.712
120.00	 0.014	  6.224	4.711
120.00	 0.014	  6.224	4.711
120.00	 0.014	  6.225	4.711
120.00	 0.014	  6.225	4.710
120.00	 0.014	  6.225	4.710
120.00	 0.014	  6.225	4.710
120.00	 0.014	  6.225	4.710
120.00	 0.014	  6.225	4.709
120.00	 0.014	  6.226	4.709
120.00	 0.014	  6.226	4.709
120.00	 0.014	  6.226	4.709
120.00	 0.014	  6.226	4.709
120.00	 0.014	  6.226	4.708
120.00	 0.014	  6.226	4.708
120.00	 0.014	  6.227	4.708
120.00	 0.014	  6.227	4.708
120.00	 0.014	  6.227	4.708
120.00	 0.014	  6.227	4.708
120.00	 0.014	  6.227	4.707
120.00	 0.014	  6.228	4.707
120.00	 0.014	  6.228	4.707
120.00	 0.014	  6.228	4.707
120.00	 0.014	  6.228	4.707
120.00	 0.014	  6.228	4.707
120.00	 0.014	  6.229	4.706
120.00	 0.014	  6.229	4.706
120.00	 0.014	  6.229	4.706
120.00	 0.014	  6.229	4.706
120.00	 0.014	  6.229	4.706
120.00	 0.014	  6.230	4.706
120.00	 0.014	  6.230	4.706
120.00	 0.014	  6.230	4.706
120.00	 0.014	  6.230	4.705
120.00	 0.014	  6.230	4.705
120.00	 0.014	  6.231	4.705
120.00	 0.014	  6.231	4.705
120.00	 0.014	  6.231	4.705
120.00	 0.014	  6.231	4.705
120.00	 0.014	  6.231	4.705
120.00	 0.014	  6.232	4.705
120.00	 0.014	  6.232	4.705
120.00	 0.014	  6.232	4.704
120.00	 0.014	  6.232	4.704
120.00	 0.014	  6.233	4.704
120.00	 0.014	  6.233	4.704
120.00	 0.014	  6.233	4.704
120.00	 0.014	  6.233	4.704
120.00	 0.014	  6.233	4.704
120.00	 0.014	  6.234	4.704
120.00	 0.014	  6.234	4.704
120.00	 0.014	  6.234	4.704
120.00	 0.014	  6.234	4.704
120.00	 0.014	  6.235	4.704
120.00	 0.014	  6.235	4.704
120.00	 0.014	  6.235	4.704
120.00	 0.014	  6.235	4.703
120.00	 0.014	  6.236	4.704
120.00	 0.014	  6.236	4.703
120.00	 0.014	  6.236	4.703
120.00	 0.014	  6.236	4.703
120.00	 0.014	  6.237	4.703
120.00	 0.014	  6.237	4.703
120.00	 0.014	  6.237	4.703
120.00	 0.014	  6.237	4.703
120.00	 0.014	  6.238	4.703
120.00	 0.014	  6.238	4.703
120.00	 0.014	  6.238	4.703
120.00	 0.014	  6.238	4.703
120.00	 0.014	  6.238	4.703
120.00	 0.014	  6.247	4.704
120.00	 0.014	  6.254	4.707
120.00	 0.014	  6.260	4.710
120.00	 0.014	  6.268	4.713
120.00	 0.014	  6.275	4.717
120.00	 0.014	  6.281	4.720
120.00	 0.014	  6.288	4.722
120.00	 0.014	  6.295	4.726
120.00	 0.014	  6.301	4.729
120.00	 0.014	  6.308	4.731
120.00	 0.014	  6.313	4.734
120.00	 0.014	  6.319	4.736
120.00	 0.014	  6.324	4.737
120.00	 0.014	  6.329	4.737
120.00	 0.014	  6.334	4.520
120.00	 0.014	  6.339	4.517
120.00	 0.014	  6.343	4.514
120.00	 0.014	  6.347	4.510
120.00	 0.014	  6.351	4.507
120.00	 0.014	  6.353	4.503
120.00	 0.014	  6.355	4.497
120.00	 0.014	  6.357	4.492
120.00	 0.014	  6.372	4.520
120.00	 0.014	  6.371	4.226
120.00	 0.014	  6.174	4.296
120.00	 0.014	  6.016	4.384
120.00	 0.014	  6.035	4.419
120.00	 0.014	  6.038	4.422
120.00	 0.014	  6.039	4.424
120.00	 0.014	  6.039	4.426
120.00	 0.014	  6.041	4.427
120.00	 0.014	  6.041	4.429
120.00	 0.014	  6.042	4.431
120.00	 0.014	  6.043	4.432
120.00	 0.014	  6.044	4.434
120.00	 0.014	  6.044	4.435
120.00	 0.014	  6.045	4.437
120.00	 0.014	  6.046	4.438
120.00	 0.014	  6.046	4.440
120.00	 0.014	  6.047	4.441
120.00	 0.014	  6.048	4.442
120.00	 0.014	  6.048	4.444
120.00	 0.014	  6.049	4.444
120.00	 0.014	  6.049	4.445
120.00	 0.014	  6.050	4.446
120.00	 0.014	  6.050	4.447
120.00	 0.014	  6.051	4.449
120.00	 0.014	  6.051	4.450
120.00	 0.014	  6.052	4.450
120.00	 0.014	  6.052	4.451
120.00	 0.014	  6.052	4.452
120.00	 0.014	  6.053	4.453
120.00	 0.014	  6.053	4.454
120.00	 0.014	  6.054	4.455
120.00	 0.014	  6.054	4.456
120.00	 0.014	  6.055	4.456
120.00	 0.014	  6.055	4.457
120.00	 0.014	  6.056	4.458
120.00	 0.014	  6.056	4.458
120.00	 0.014	  6.056	4.459
120.00	 0.014	  6.057	4.459
120.00	 0.014	  6.057	4.460
120.00	 0.014	  6.057	4.460
120.00	 0.014	  6.057	4.460
120.00	 0.014	  6.058	4.460
120.00	 0.014	  6.058	4.461
120.00	 0.014	  6.058	4.460
120.00	 0.014	  6.058	4.461
120.00	 0.014	  6.058	4.461
120.00	 0.014	  6.058	4.461
120.00	 0.014	  6.058	4.461
120.00	 0.014	  6.058	4.461
120.00	 0.014	  6.057	4.461
120.00	 0.014	  6.057	4.462
120.00	 0.014	  6.057	4.462
120.00	 0.014	  6.057	4.462
120.00	 0.014	  6.056	4.462
120.00	 0.014	  6.056	4.462
120.00	 0.014	  6.056	4.462
120.00	 0.014	  6.055	4.463
120.00	 0.014	  6.055	4.463
120.00	 0.014	  6.054	4.463
120.00	 0.014	  6.054	4.464
120.00	 0.014	  6.053	4.464
120.00	 0.014	  6.053	4.464
120.00	 0.014	  6.052	4.464
120.00	 0.014	  6.052	4.464
120.00	 0.014	  6.052	4.465
120.00	 0.014	  6.051	4.465
120.00	 0.014	  6.051	4.465
120.00	 0.014	  6.050	4.465
120.00	 0.014	  6.050	4.465
120.00	 0.014	  6.049	4.465
120.00	 0.014	  6.049	4.466
120.00	 0.014	  6.049	4.466
120.00	 0.014	  6.048	4.466
120.00	 0.014	  6.048	4.466
120.00	 0.014	  6.047	4.466
120.00	 0.014	  6.047	4.467
120.00	 0.014	  6.047	4.467
120.00	 0.014	  6.046	4.467
120.00	 0.014	  6.046	4.467
120.00	 0.014	  6.046	4.468
120.00	 0.014	  6.046	4.468
120.00	 0.014	  6.045	4.468
120.00	 0.014	  6.020	4.480
120.00	 0.014	  6.005	4.488
120.00	 0.014	  5.991	4.488
120.00	 0.014	  5.978	4.493
120.00	 0.014	  5.965	4.499
120.00	 0.014	  5.952	4.503
120.00	 0.014	  5.940	4.506
120.00	 0.014	  5.927	4.499
120.00	 0.014	  5.922	4.695
120.00	 0.014	  5.922	4.687
120.00	 0.014	  5.922	4.680
120.00	 0.014	  5.921	4.674
120.00	 0.014	  5.921	4.664
120.00	 0.014	  5.920	4.656
120.00	 0.014	  5.919	4.646
120.00	 0.014	  5.918	4.637
120.00	 0.014	  5.917	4.623
120.00	 0.014	  5.916	4.616
120.00	 0.014	  5.914	4.605
120.00	 0.014	  5.913	4.590
120.00	 0.014	  5.913	4.589
120.00	 0.014	  5.913	4.593
120.00	 0.014	  5.912	4.593
120.00	 0.014	  5.912	4.589
120.00	 0.014	  5.912	4.589
120.00	 0.014	  5.912	4.588
120.00	 0.014	  5.912	4.588
120.00	 0.014	  5.912	4.587
120.00	 0.014	  5.912	4.588
120.00	 0.014	  5.912	4.587
120.00	 0.014	  5.911	4.586
120.00	 0.014	  5.911	4.586
120.00	 0.014	  5.911	4.583
120.00	 0.014	  5.911	4.582
120.00	 0.014	  5.911	4.582
120.00	 0.014	  5.911	4.581
120.00	 0.014	  5.911	4.580
120.00	 0.014	  5.911	4.575
120.00	 0.014	  5.910	4.574
120.00	 0.014	  5.910	4.574
120.00	 0.014	  5.911	4.574
120.00	 0.014	  5.911	4.574
120.00	 0.014	  5.910	4.573
120.00	 0.014	  5.910	4.645
120.00	 0.014	  5.909	4.645
120.00	 0.014	  5.909	4.645
120.00	 0.014	  5.909	4.645
120.00	 0.014	  5.909	4.645
120.00	 0.014	  5.908	4.644
120.00	 0.014	  5.908	4.644
120.00	 0.014	  5.908	4.644
120.00	 0.014	  5.908	4.644
120.00	 0.014	  5.908	4.644
120.00	 0.014	  5.907	4.644
120.00	 0.014	  5.907	4.644
120.00	 0.014	  5.907	4.644
120.00	 0.014	  5.907	4.643
120.00	 0.014	  5.906	4.643
120.00	 0.014	  5.906	4.643
120.00	 0.014	  5.906	4.643
120.00	 0.014	  5.906	4.642
