#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-11-09T23:50:07 [V7.32.5]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	protocol=ASU	
#INFO	request_date=2023-11-09T23:50:07	
#INFO	request_post=https://vizier.cds.unistra.fr//viz-bin/asu-tsv	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/537/A146&tab:{J/A+A/537/A146/tables}&tab:{J/A+A/537/A146/iso}&key:source=J/A+A/537/A146&HTTPPRM:&&-ref=VIZ654d5c4f1a99a0&-out.max=50&-out.form=HTML Table&-order=I&-oc.form=sexa&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&
#-source=J/A+A/537/A146/tables,J/A+A/537/A146/iso
#-order=I
#-out=Mini
#Mini=1.25
#track=track
#-out=Zini
#Zini=0.014
#-out=logL
#-out=logTe
#iso=iso
#
#INFO	contact=cds-question@unistra.fr	
#INFO	version=7.32.5	
#INFO	-out.max=unlimited	
#INFO	CatalogsExamined=2	
#  2 catalogues with potential matches were examined.
#

#RESOURCE=yCat_35370146
#Name: J/A+A/537/A146
#Title: Stellar models with rotation. 0.8<M<120, Z=0.014 (Ekstrom+, 2012)
#INFO	ivoid=ivo://cds.vizier/j/a+a/537/a146	
#INFO	publisher=CDS	
#INFO	creator=Ekstrom S.	
#INFO	related_resource=bibcode:2012A&A...537A.146E	
#INFO	landing_page=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/537/A146	
#INFO	publication_id=doi:10.26093/cds/vizier.35370146	
#INFO	publication_date=2012-04-03	
#INFO	curation_level=RESEARCH	
#INFO	rights=https://cds.unistra.fr/vizier-org/licences_vizier.html	
#Table	J_A_A_537_A146_tables:
#Name: J/A+A/537/A146/tables
#Title: Evolutionary tracks
#Column	Mini	(F6.2)	Initial mass	[ucd=phys.mass]
#Column	Zini	(F6.3)	[0.014] Initial metallicity	[ucd=phys.abund.Z]
#Column	logL	(F7.3)	Luminosity in log scale	[ucd=phys.luminosity]
#Column	logTe	(F5.3)	Effective temperature in log scale	[ucd=phys.temperature.effective;instr.scale]
Mini	Zini	logL	logTe
  1.25	 0.014	  0.459	3.801
  1.25	 0.014	  0.461	3.801
  1.25	 0.014	  0.462	3.801
  1.25	 0.014	  0.464	3.800
  1.25	 0.014	  0.466	3.799
  1.25	 0.014	  0.467	3.799
  1.25	 0.014	  0.469	3.798
  1.25	 0.014	  0.470	3.797
  1.25	 0.014	  0.471	3.797
  1.25	 0.014	  0.472	3.796
  1.25	 0.014	  0.473	3.796
  1.25	 0.014	  0.474	3.795
  1.25	 0.014	  0.474	3.795
  1.25	 0.014	  0.475	3.794
  1.25	 0.014	  0.476	3.794
  1.25	 0.014	  0.476	3.793
  1.25	 0.014	  0.477	3.793
  1.25	 0.014	  0.477	3.792
  1.25	 0.014	  0.478	3.792
  1.25	 0.014	  0.479	3.791
  1.25	 0.014	  0.480	3.791
  1.25	 0.014	  0.480	3.790
  1.25	 0.014	  0.482	3.790
  1.25	 0.014	  0.483	3.790
  1.25	 0.014	  0.484	3.789
  1.25	 0.014	  0.486	3.789
  1.25	 0.014	  0.488	3.789
  1.25	 0.014	  0.490	3.789
  1.25	 0.014	  0.491	3.789
  1.25	 0.014	  0.492	3.789
  1.25	 0.014	  0.492	3.789
  1.25	 0.014	  0.493	3.789
  1.25	 0.014	  0.494	3.789
  1.25	 0.014	  0.495	3.789
  1.25	 0.014	  0.496	3.789
  1.25	 0.014	  0.498	3.789
  1.25	 0.014	  0.499	3.789
  1.25	 0.014	  0.501	3.790
  1.25	 0.014	  0.502	3.790
  1.25	 0.014	  0.504	3.790
  1.25	 0.014	  0.506	3.790
  1.25	 0.014	  0.508	3.791
  1.25	 0.014	  0.510	3.791
  1.25	 0.014	  0.513	3.791
  1.25	 0.014	  0.517	3.792
  1.25	 0.014	  0.520	3.792
  1.25	 0.014	  0.525	3.793
  1.25	 0.014	  0.529	3.794
  1.25	 0.014	  0.536	3.795
  1.25	 0.014	  0.543	3.796
  1.25	 0.014	  0.554	3.797
  1.25	 0.014	  0.568	3.798
  1.25	 0.014	  0.582	3.800
  1.25	 0.014	  0.588	3.799
  1.25	 0.014	  0.591	3.799
  1.25	 0.014	  0.592	3.798
  1.25	 0.014	  0.594	3.798
  1.25	 0.014	  0.595	3.797
  1.25	 0.014	  0.597	3.797
  1.25	 0.014	  0.598	3.796
  1.25	 0.014	  0.600	3.796
  1.25	 0.014	  0.601	3.796
  1.25	 0.014	  0.602	3.795
  1.25	 0.014	  0.604	3.795
  1.25	 0.014	  0.605	3.795
  1.25	 0.014	  0.606	3.794
  1.25	 0.014	  0.608	3.794
  1.25	 0.014	  0.609	3.793
  1.25	 0.014	  0.611	3.793
  1.25	 0.014	  0.612	3.793
  1.25	 0.014	  0.614	3.792
  1.25	 0.014	  0.615	3.792
  1.25	 0.014	  0.617	3.791
  1.25	 0.014	  0.619	3.791
  1.25	 0.014	  0.621	3.790
  1.25	 0.014	  0.623	3.790
  1.25	 0.014	  0.625	3.789
  1.25	 0.014	  0.627	3.789
  1.25	 0.014	  0.629	3.788
  1.25	 0.014	  0.631	3.788
  1.25	 0.014	  0.633	3.787
  1.25	 0.014	  0.635	3.787
  1.25	 0.014	  0.638	3.786
  1.25	 0.014	  0.640	3.785
  1.25	 0.014	  0.642	3.785
  1.25	 0.014	  0.644	3.784
  1.25	 0.014	  0.647	3.783
  1.25	 0.014	  0.649	3.782
  1.25	 0.014	  0.651	3.781
  1.25	 0.014	  0.653	3.780
  1.25	 0.014	  0.655	3.779
  1.25	 0.014	  0.657	3.778
  1.25	 0.014	  0.659	3.777
  1.25	 0.014	  0.661	3.776
  1.25	 0.014	  0.663	3.775
  1.25	 0.014	  0.664	3.774
  1.25	 0.014	  0.666	3.772
  1.25	 0.014	  0.667	3.771
  1.25	 0.014	  0.667	3.769
  1.25	 0.014	  0.667	3.767
  1.25	 0.014	  0.666	3.765
  1.25	 0.014	  0.664	3.762
  1.25	 0.014	  0.661	3.759
  1.25	 0.014	  0.656	3.755
  1.25	 0.014	  0.649	3.751
  1.25	 0.014	  0.640	3.746
  1.25	 0.014	  0.629	3.741
  1.25	 0.014	  0.615	3.736
  1.25	 0.014	  0.600	3.730
  1.25	 0.014	  0.586	3.724
  1.25	 0.014	  0.574	3.719
  1.25	 0.014	  0.563	3.711
  1.25	 0.014	  0.557	3.705
  1.25	 0.014	  0.570	3.700
  1.25	 0.014	  0.585	3.695
  1.25	 0.014	  0.605	3.690
  1.25	 0.014	  0.637	3.689
  1.25	 0.014	  0.670	3.688
  1.25	 0.014	  0.698	3.683
  1.25	 0.014	  0.740	3.683
  1.25	 0.014	  0.782	3.683
  1.25	 0.014	  0.824	3.680
  1.25	 0.014	  0.875	3.678
  1.25	 0.014	  0.935	3.679
  1.25	 0.014	  0.997	3.675
  1.25	 0.014	  1.065	3.671
  1.25	 0.014	  1.150	3.667
  1.25	 0.014	  1.252	3.664
  1.25	 0.014	  1.381	3.658
  1.25	 0.014	  1.547	3.650
  1.25	 0.014	  1.586	3.648
  1.25	 0.014	  1.853	3.630
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  2.383	3.593
  1.25	 0.014	  0.290	3.803
  1.25	 0.014	  0.298	3.804
  1.25	 0.014	  0.301	3.804
  1.25	 0.014	  0.303	3.804
  1.25	 0.014	  0.306	3.804
  1.25	 0.014	  0.309	3.804
  1.25	 0.014	  0.311	3.804
  1.25	 0.014	  0.314	3.804
  1.25	 0.014	  0.317	3.804
  1.25	 0.014	  0.319	3.804
  1.25	 0.014	  0.322	3.804
  1.25	 0.014	  0.324	3.804
  1.25	 0.014	  0.327	3.805
  1.25	 0.014	  0.329	3.805
  1.25	 0.014	  0.332	3.805
  1.25	 0.014	  0.335	3.805
  1.25	 0.014	  0.337	3.805
  1.25	 0.014	  0.340	3.805
  1.25	 0.014	  0.342	3.805
  1.25	 0.014	  0.345	3.805
  1.25	 0.014	  0.347	3.805
  1.25	 0.014	  0.350	3.805
  1.25	 0.014	  0.352	3.805
  1.25	 0.014	  0.354	3.805
  1.25	 0.014	  0.357	3.805
  1.25	 0.014	  0.359	3.805
  1.25	 0.014	  0.361	3.805
  1.25	 0.014	  0.364	3.805
  1.25	 0.014	  0.366	3.805
  1.25	 0.014	  0.369	3.805
  1.25	 0.014	  0.371	3.806
  1.25	 0.014	  0.373	3.806
  1.25	 0.014	  0.376	3.806
  1.25	 0.014	  0.378	3.806
  1.25	 0.014	  0.380	3.806
  1.25	 0.014	  0.382	3.806
  1.25	 0.014	  0.385	3.806
  1.25	 0.014	  0.387	3.806
  1.25	 0.014	  0.389	3.806
  1.25	 0.014	  0.391	3.806
  1.25	 0.014	  0.394	3.806
  1.25	 0.014	  0.396	3.806
  1.25	 0.014	  0.399	3.806
  1.25	 0.014	  0.401	3.806
  1.25	 0.014	  0.404	3.806
  1.25	 0.014	  0.407	3.806
  1.25	 0.014	  0.410	3.806
  1.25	 0.014	  0.414	3.805
  1.25	 0.014	  0.419	3.805
  1.25	 0.014	  0.424	3.805
  1.25	 0.014	  0.430	3.805
  1.25	 0.014	  0.436	3.804
  1.25	 0.014	  0.441	3.804
  1.25	 0.014	  0.446	3.803
  1.25	 0.014	  0.451	3.803
  1.25	 0.014	  0.455	3.802
  1.25	 0.014	  0.459	3.801
  1.25	 0.014	  0.463	3.800
  1.25	 0.014	  0.466	3.800
  1.25	 0.014	  0.469	3.799
  1.25	 0.014	  0.472	3.798
  1.25	 0.014	  0.474	3.797
  1.25	 0.014	  0.476	3.797
  1.25	 0.014	  0.479	3.796
  1.25	 0.014	  0.481	3.795
  1.25	 0.014	  0.483	3.794
  1.25	 0.014	  0.484	3.793
  1.25	 0.014	  0.486	3.792
  1.25	 0.014	  0.487	3.791
  1.25	 0.014	  0.489	3.790
  1.25	 0.014	  0.490	3.790
  1.25	 0.014	  0.491	3.789
  1.25	 0.014	  0.492	3.788
  1.25	 0.014	  0.494	3.787
  1.25	 0.014	  0.495	3.786
  1.25	 0.014	  0.496	3.785
  1.25	 0.014	  0.497	3.785
  1.25	 0.014	  0.498	3.784
  1.25	 0.014	  0.499	3.783
  1.25	 0.014	  0.500	3.783
  1.25	 0.014	  0.502	3.782
  1.25	 0.014	  0.504	3.781
  1.25	 0.014	  0.506	3.781
  1.25	 0.014	  0.508	3.781
  1.25	 0.014	  0.511	3.780
  1.25	 0.014	  0.512	3.780
  1.25	 0.014	  0.513	3.780
  1.25	 0.014	  0.514	3.780
  1.25	 0.014	  0.515	3.780
  1.25	 0.014	  0.516	3.781
  1.25	 0.014	  0.517	3.781
  1.25	 0.014	  0.518	3.781
  1.25	 0.014	  0.520	3.781
  1.25	 0.014	  0.521	3.781
  1.25	 0.014	  0.523	3.781
  1.25	 0.014	  0.525	3.781
  1.25	 0.014	  0.526	3.782
  1.25	 0.014	  0.529	3.782
  1.25	 0.014	  0.531	3.782
  1.25	 0.014	  0.534	3.782
  1.25	 0.014	  0.537	3.783
  1.25	 0.014	  0.541	3.783
  1.25	 0.014	  0.544	3.784
  1.25	 0.014	  0.549	3.784
  1.25	 0.014	  0.555	3.786
  1.25	 0.014	  0.563	3.787
  1.25	 0.014	  0.570	3.788
  1.25	 0.014	  0.583	3.789
  1.25	 0.014	  0.599	3.792
  1.25	 0.014	  0.612	3.793
  1.25	 0.014	  0.621	3.791
  1.25	 0.014	  0.623	3.790
  1.25	 0.014	  0.625	3.790
  1.25	 0.014	  0.627	3.789
  1.25	 0.014	  0.629	3.789
  1.25	 0.014	  0.631	3.788
  1.25	 0.014	  0.633	3.788
  1.25	 0.014	  0.635	3.788
  1.25	 0.014	  0.637	3.787
  1.25	 0.014	  0.639	3.787
  1.25	 0.014	  0.640	3.786
  1.25	 0.014	  0.642	3.786
  1.25	 0.014	  0.644	3.785
  1.25	 0.014	  0.645	3.785
  1.25	 0.014	  0.647	3.785
  1.25	 0.014	  0.648	3.784
  1.25	 0.014	  0.650	3.784
  1.25	 0.014	  0.652	3.783
  1.25	 0.014	  0.653	3.783
  1.25	 0.014	  0.655	3.782
  1.25	 0.014	  0.656	3.781
  1.25	 0.014	  0.658	3.781
  1.25	 0.014	  0.659	3.780
  1.25	 0.014	  0.661	3.780
  1.25	 0.014	  0.662	3.779
  1.25	 0.014	  0.663	3.779
  1.25	 0.014	  0.665	3.778
  1.25	 0.014	  0.666	3.777
  1.25	 0.014	  0.667	3.776
  1.25	 0.014	  0.669	3.775
  1.25	 0.014	  0.670	3.774
  1.25	 0.014	  0.671	3.773
  1.25	 0.014	  0.672	3.772
  1.25	 0.014	  0.673	3.771
  1.25	 0.014	  0.673	3.770
  1.25	 0.014	  0.674	3.769
  1.25	 0.014	  0.674	3.768
  1.25	 0.014	  0.675	3.767
  1.25	 0.014	  0.675	3.765
  1.25	 0.014	  0.675	3.764
  1.25	 0.014	  0.674	3.762
  1.25	 0.014	  0.673	3.761
  1.25	 0.014	  0.672	3.759
  1.25	 0.014	  0.670	3.758
  1.25	 0.014	  0.667	3.755
  1.25	 0.014	  0.664	3.753
  1.25	 0.014	  0.659	3.750
  1.25	 0.014	  0.654	3.747
  1.25	 0.014	  0.648	3.744
  1.25	 0.014	  0.640	3.740
  1.25	 0.014	  0.632	3.737
  1.25	 0.014	  0.621	3.733
  1.25	 0.014	  0.610	3.729
  1.25	 0.014	  0.599	3.725
  1.25	 0.014	  0.587	3.720
  1.25	 0.014	  0.576	3.715
  1.25	 0.014	  0.567	3.710
  1.25	 0.014	  0.560	3.706
  1.25	 0.014	  0.557	3.703
  1.25	 0.014	  0.556	3.700
  1.25	 0.014	  0.562	3.697
  1.25	 0.014	  0.571	3.694
  1.25	 0.014	  0.584	3.691
  1.25	 0.014	  0.599	3.689
  1.25	 0.014	  0.617	3.687
  1.25	 0.014	  0.636	3.686
  1.25	 0.014	  0.659	3.684
  1.25	 0.014	  0.682	3.683
  1.25	 0.014	  0.711	3.683
  1.25	 0.014	  0.737	3.681
  1.25	 0.014	  0.770	3.680
  1.25	 0.014	  0.800	3.679
  1.25	 0.014	  0.838	3.679
  1.25	 0.014	  0.878	3.677
  1.25	 0.014	  0.921	3.676
  1.25	 0.014	  0.980	3.673
  1.25	 0.014	  1.031	3.671
  1.25	 0.014	  1.084	3.670
  1.25	 0.014	  1.158	3.666
  1.25	 0.014	  1.213	3.663
  1.25	 0.014	  1.213	3.663
  1.25	 0.014	  1.213	3.663
  1.25	 0.014	  1.213	3.663
  1.25	 0.014	  1.213	3.663
  1.25	 0.014	  1.213	3.663
  1.25	 0.014	  1.213	3.663
  1.25	 0.014	  1.213	3.663
  1.25	 0.014	  1.213	3.663
  1.25	 0.014	  1.213	3.663
  1.25	 0.014	  1.213	3.663
  1.25	 0.014	  1.213	3.663
  1.25	 0.014	  1.213	3.663
  1.25	 0.014	  1.213	3.663
  1.25	 0.014	  1.213	3.663
  1.25	 0.014	  1.213	3.663
  1.25	 0.014	  1.213	3.663
  1.25	 0.014	  1.213	3.663
  1.25	 0.014	  1.213	3.663
  1.25	 0.014	  1.213	3.663
  1.25	 0.014	  1.213	3.663
  1.25	 0.014	  1.213	3.663
  1.25	 0.014	  1.213	3.663
  1.25	 0.014	  1.213	3.663
  1.25	 0.014	  1.213	3.663
  1.25	 0.014	  1.213	3.663
  1.25	 0.014	  1.213	3.663
  1.25	 0.014	  1.213	3.663
