#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-11-09T23:50:41 [V7.32.5]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	protocol=ASU	
#INFO	request_date=2023-11-09T23:50:41	
#INFO	request_post=https://vizier.cds.unistra.fr//viz-bin/asu-tsv	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/537/A146&tab:{J/A+A/537/A146/tables}&tab:{J/A+A/537/A146/iso}&key:source=J/A+A/537/A146&HTTPPRM:&&-ref=VIZ654d5c4f1a99a0&-out.max=50&-out.form=HTML Table&-order=I&-oc.form=sexa&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&
#-source=J/A+A/537/A146/tables,J/A+A/537/A146/iso
#-order=I
#-out=Mini
#Mini=1.50
#track=track
#-out=Zini
#Zini=0.014
#-out=logL
#-out=logTe
#iso=iso
#
#INFO	contact=cds-question@unistra.fr	
#INFO	version=7.32.5	
#INFO	-out.max=unlimited	
#INFO	CatalogsExamined=2	
#  2 catalogues with potential matches were examined.
#

#RESOURCE=yCat_35370146
#Name: J/A+A/537/A146
#Title: Stellar models with rotation. 0.8<M<120, Z=0.014 (Ekstrom+, 2012)
#INFO	ivoid=ivo://cds.vizier/j/a+a/537/a146	
#INFO	publisher=CDS	
#INFO	creator=Ekstrom S.	
#INFO	related_resource=bibcode:2012A&A...537A.146E	
#INFO	landing_page=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/537/A146	
#INFO	publication_id=doi:10.26093/cds/vizier.35370146	
#INFO	publication_date=2012-04-03	
#INFO	curation_level=RESEARCH	
#INFO	rights=https://cds.unistra.fr/vizier-org/licences_vizier.html	
#Table	J_A_A_537_A146_tables:
#Name: J/A+A/537/A146/tables
#Title: Evolutionary tracks
#Column	Mini	(F6.2)	Initial mass	[ucd=phys.mass]
#Column	Zini	(F6.3)	[0.014] Initial metallicity	[ucd=phys.abund.Z]
#Column	logL	(F7.3)	Luminosity in log scale	[ucd=phys.luminosity]
#Column	logTe	(F5.3)	Effective temperature in log scale	[ucd=phys.temperature.effective;instr.scale]
Mini	Zini	logL	logTe
  1.50	 0.014	  0.803	3.833
  1.50	 0.014	  0.804	3.832
  1.50	 0.014	  0.805	3.831
  1.50	 0.014	  0.806	3.831
  1.50	 0.014	  0.807	3.830
  1.50	 0.014	  0.808	3.829
  1.50	 0.014	  0.809	3.828
  1.50	 0.014	  0.810	3.827
  1.50	 0.014	  0.811	3.826
  1.50	 0.014	  0.812	3.826
  1.50	 0.014	  0.813	3.825
  1.50	 0.014	  0.813	3.824
  1.50	 0.014	  0.814	3.823
  1.50	 0.014	  0.815	3.822
  1.50	 0.014	  0.816	3.821
  1.50	 0.014	  0.816	3.820
  1.50	 0.014	  0.817	3.820
  1.50	 0.014	  0.818	3.819
  1.50	 0.014	  0.818	3.818
  1.50	 0.014	  0.819	3.817
  1.50	 0.014	  0.820	3.816
  1.50	 0.014	  0.821	3.816
  1.50	 0.014	  0.822	3.815
  1.50	 0.014	  0.823	3.815
  1.50	 0.014	  0.825	3.814
  1.50	 0.014	  0.826	3.814
  1.50	 0.014	  0.828	3.814
  1.50	 0.014	  0.831	3.813
  1.50	 0.014	  0.831	3.813
  1.50	 0.014	  0.832	3.813
  1.50	 0.014	  0.833	3.813
  1.50	 0.014	  0.834	3.814
  1.50	 0.014	  0.835	3.814
  1.50	 0.014	  0.836	3.814
  1.50	 0.014	  0.837	3.814
  1.50	 0.014	  0.838	3.814
  1.50	 0.014	  0.839	3.814
  1.50	 0.014	  0.841	3.814
  1.50	 0.014	  0.842	3.815
  1.50	 0.014	  0.843	3.815
  1.50	 0.014	  0.846	3.815
  1.50	 0.014	  0.848	3.815
  1.50	 0.014	  0.850	3.816
  1.50	 0.014	  0.853	3.817
  1.50	 0.014	  0.856	3.817
  1.50	 0.014	  0.860	3.818
  1.50	 0.014	  0.865	3.819
  1.50	 0.014	  0.870	3.821
  1.50	 0.014	  0.878	3.823
  1.50	 0.014	  0.887	3.826
  1.50	 0.014	  0.898	3.829
  1.50	 0.014	  0.916	3.833
  1.50	 0.014	  0.938	3.839
  1.50	 0.014	  0.947	3.834
  1.50	 0.014	  0.949	3.833
  1.50	 0.014	  0.951	3.832
  1.50	 0.014	  0.953	3.832
  1.50	 0.014	  0.955	3.831
  1.50	 0.014	  0.956	3.830
  1.50	 0.014	  0.958	3.829
  1.50	 0.014	  0.959	3.829
  1.50	 0.014	  0.961	3.828
  1.50	 0.014	  0.962	3.827
  1.50	 0.014	  0.964	3.826
  1.50	 0.014	  0.965	3.825
  1.50	 0.014	  0.966	3.824
  1.50	 0.014	  0.967	3.823
  1.50	 0.014	  0.969	3.823
  1.50	 0.014	  0.970	3.822
  1.50	 0.014	  0.971	3.821
  1.50	 0.014	  0.972	3.820
  1.50	 0.014	  0.973	3.818
  1.50	 0.014	  0.974	3.817
  1.50	 0.014	  0.975	3.817
  1.50	 0.014	  0.976	3.816
  1.50	 0.014	  0.977	3.815
  1.50	 0.014	  0.978	3.814
  1.50	 0.014	  0.979	3.813
  1.50	 0.014	  0.980	3.812
  1.50	 0.014	  0.981	3.811
  1.50	 0.014	  0.982	3.810
  1.50	 0.014	  0.983	3.809
  1.50	 0.014	  0.984	3.808
  1.50	 0.014	  0.984	3.807
  1.50	 0.014	  0.985	3.806
  1.50	 0.014	  0.986	3.805
  1.50	 0.014	  0.986	3.804
  1.50	 0.014	  0.987	3.802
  1.50	 0.014	  0.987	3.801
  1.50	 0.014	  0.988	3.799
  1.50	 0.014	  0.988	3.798
  1.50	 0.014	  0.988	3.796
  1.50	 0.014	  0.987	3.795
  1.50	 0.014	  0.987	3.793
  1.50	 0.014	  0.986	3.791
  1.50	 0.014	  0.984	3.789
  1.50	 0.014	  0.982	3.786
  1.50	 0.014	  0.978	3.783
  1.50	 0.014	  0.976	3.781
  1.50	 0.014	  0.970	3.777
  1.50	 0.014	  0.961	3.773
  1.50	 0.014	  0.950	3.768
  1.50	 0.014	  0.943	3.765
  1.50	 0.014	  0.927	3.759
  1.50	 0.014	  0.909	3.753
  1.50	 0.014	  0.876	3.745
  1.50	 0.014	  0.852	3.739
  1.50	 0.014	  0.827	3.733
  1.50	 0.014	  0.802	3.727
  1.50	 0.014	  0.788	3.722
  1.50	 0.014	  0.774	3.717
  1.50	 0.014	  0.766	3.712
  1.50	 0.014	  0.765	3.709
  1.50	 0.014	  0.779	3.702
  1.50	 0.014	  0.809	3.698
  1.50	 0.014	  0.841	3.693
  1.50	 0.014	  0.879	3.692
  1.50	 0.014	  0.915	3.689
  1.50	 0.014	  0.955	3.688
  1.50	 0.014	  0.998	3.687
  1.50	 0.014	  1.042	3.684
  1.50	 0.014	  1.094	3.682
  1.50	 0.014	  1.147	3.680
  1.50	 0.014	  1.207	3.678
  1.50	 0.014	  1.277	3.674
  1.50	 0.014	  1.354	3.670
  1.50	 0.014	  1.451	3.665
  1.50	 0.014	  1.570	3.658
  1.50	 0.014	  1.706	3.650
  1.50	 0.014	  1.737	3.648
  1.50	 0.014	  1.950	3.635
  1.50	 0.014	  2.304	3.612
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  3.421	3.507
  1.50	 0.014	  0.659	3.848
  1.50	 0.014	  0.666	3.853
  1.50	 0.014	  0.670	3.853
  1.50	 0.014	  0.673	3.853
  1.50	 0.014	  0.677	3.853
  1.50	 0.014	  0.680	3.853
  1.50	 0.014	  0.683	3.853
  1.50	 0.014	  0.687	3.853
  1.50	 0.014	  0.690	3.853
  1.50	 0.014	  0.694	3.853
  1.50	 0.014	  0.697	3.853
  1.50	 0.014	  0.701	3.853
  1.50	 0.014	  0.704	3.853
  1.50	 0.014	  0.707	3.852
  1.50	 0.014	  0.711	3.852
  1.50	 0.014	  0.714	3.852
  1.50	 0.014	  0.718	3.852
  1.50	 0.014	  0.721	3.851
  1.50	 0.014	  0.724	3.851
  1.50	 0.014	  0.728	3.851
  1.50	 0.014	  0.731	3.850
  1.50	 0.014	  0.734	3.850
  1.50	 0.014	  0.737	3.849
  1.50	 0.014	  0.741	3.849
  1.50	 0.014	  0.744	3.848
  1.50	 0.014	  0.747	3.848
  1.50	 0.014	  0.750	3.847
  1.50	 0.014	  0.753	3.846
  1.50	 0.014	  0.756	3.846
  1.50	 0.014	  0.760	3.845
  1.50	 0.014	  0.763	3.844
  1.50	 0.014	  0.765	3.844
  1.50	 0.014	  0.768	3.843
  1.50	 0.014	  0.771	3.842
  1.50	 0.014	  0.774	3.841
  1.50	 0.014	  0.777	3.840
  1.50	 0.014	  0.779	3.840
  1.50	 0.014	  0.782	3.839
  1.50	 0.014	  0.785	3.838
  1.50	 0.014	  0.787	3.837
  1.50	 0.014	  0.790	3.836
  1.50	 0.014	  0.792	3.835
  1.50	 0.014	  0.795	3.834
  1.50	 0.014	  0.797	3.833
  1.50	 0.014	  0.799	3.832
  1.50	 0.014	  0.802	3.830
  1.50	 0.014	  0.804	3.829
  1.50	 0.014	  0.806	3.829
  1.50	 0.014	  0.808	3.828
  1.50	 0.014	  0.810	3.827
  1.50	 0.014	  0.812	3.826
  1.50	 0.014	  0.814	3.825
  1.50	 0.014	  0.816	3.824
  1.50	 0.014	  0.818	3.823
  1.50	 0.014	  0.820	3.822
  1.50	 0.014	  0.821	3.821
  1.50	 0.014	  0.823	3.820
  1.50	 0.014	  0.824	3.819
  1.50	 0.014	  0.826	3.817
  1.50	 0.014	  0.827	3.816
  1.50	 0.014	  0.829	3.815
  1.50	 0.014	  0.830	3.814
  1.50	 0.014	  0.831	3.813
  1.50	 0.014	  0.833	3.812
  1.50	 0.014	  0.834	3.810
  1.50	 0.014	  0.835	3.809
  1.50	 0.014	  0.836	3.808
  1.50	 0.014	  0.837	3.807
  1.50	 0.014	  0.838	3.806
  1.50	 0.014	  0.839	3.804
  1.50	 0.014	  0.839	3.803
  1.50	 0.014	  0.840	3.802
  1.50	 0.014	  0.841	3.801
  1.50	 0.014	  0.842	3.800
  1.50	 0.014	  0.842	3.799
  1.50	 0.014	  0.843	3.798
  1.50	 0.014	  0.844	3.797
  1.50	 0.014	  0.845	3.796
  1.50	 0.014	  0.846	3.795
  1.50	 0.014	  0.847	3.795
  1.50	 0.014	  0.848	3.794
  1.50	 0.014	  0.850	3.793
  1.50	 0.014	  0.852	3.793
  1.50	 0.014	  0.854	3.792
  1.50	 0.014	  0.857	3.792
  1.50	 0.014	  0.858	3.792
  1.50	 0.014	  0.859	3.792
  1.50	 0.014	  0.860	3.792
  1.50	 0.014	  0.861	3.792
  1.50	 0.014	  0.863	3.792
  1.50	 0.014	  0.863	3.792
  1.50	 0.014	  0.865	3.793
  1.50	 0.014	  0.867	3.793
  1.50	 0.014	  0.868	3.793
  1.50	 0.014	  0.870	3.793
  1.50	 0.014	  0.874	3.794
  1.50	 0.014	  0.876	3.794
  1.50	 0.014	  0.880	3.794
  1.50	 0.014	  0.882	3.795
  1.50	 0.014	  0.884	3.795
  1.50	 0.014	  0.889	3.796
  1.50	 0.014	  0.893	3.797
  1.50	 0.014	  0.901	3.798
  1.50	 0.014	  0.906	3.800
  1.50	 0.014	  0.913	3.801
  1.50	 0.014	  0.921	3.803
  1.50	 0.014	  0.933	3.805
  1.50	 0.014	  0.949	3.809
  1.50	 0.014	  0.963	3.811
  1.50	 0.014	  0.966	3.812
  1.50	 0.014	  0.970	3.806
  1.50	 0.014	  0.973	3.805
  1.50	 0.014	  0.975	3.804
  1.50	 0.014	  0.977	3.803
  1.50	 0.014	  0.978	3.803
  1.50	 0.014	  0.980	3.802
  1.50	 0.014	  0.980	3.802
  1.50	 0.014	  0.982	3.801
  1.50	 0.014	  0.983	3.800
  1.50	 0.014	  0.984	3.800
  1.50	 0.014	  0.985	3.799
  1.50	 0.014	  0.986	3.799
  1.50	 0.014	  0.987	3.798
  1.50	 0.014	  0.988	3.797
  1.50	 0.014	  0.990	3.797
  1.50	 0.014	  0.990	3.796
  1.50	 0.014	  0.991	3.796
  1.50	 0.014	  0.992	3.795
  1.50	 0.014	  0.993	3.794
  1.50	 0.014	  0.994	3.794
  1.50	 0.014	  0.994	3.793
  1.50	 0.014	  0.995	3.792
  1.50	 0.014	  0.996	3.792
  1.50	 0.014	  0.996	3.791
  1.50	 0.014	  0.997	3.790
  1.50	 0.014	  0.997	3.789
  1.50	 0.014	  0.997	3.788
  1.50	 0.014	  0.998	3.787
  1.50	 0.014	  0.998	3.786
  1.50	 0.014	  0.998	3.785
  1.50	 0.014	  0.997	3.783
  1.50	 0.014	  0.997	3.782
  1.50	 0.014	  0.996	3.781
  1.50	 0.014	  0.996	3.779
  1.50	 0.014	  0.995	3.779
  1.50	 0.014	  0.994	3.777
  1.50	 0.014	  0.992	3.776
  1.50	 0.014	  0.990	3.774
  1.50	 0.014	  0.988	3.772
  1.50	 0.014	  0.985	3.770
  1.50	 0.014	  0.981	3.768
  1.50	 0.014	  0.977	3.765
  1.50	 0.014	  0.972	3.763
  1.50	 0.014	  0.969	3.761
  1.50	 0.014	  0.962	3.758
  1.50	 0.014	  0.954	3.755
  1.50	 0.014	  0.944	3.752
  1.50	 0.014	  0.933	3.749
  1.50	 0.014	  0.921	3.746
  1.50	 0.014	  0.906	3.742
  1.50	 0.014	  0.890	3.737
  1.50	 0.014	  0.873	3.733
  1.50	 0.014	  0.864	3.731
  1.50	 0.014	  0.848	3.727
  1.50	 0.014	  0.832	3.722
  1.50	 0.014	  0.819	3.718
  1.50	 0.014	  0.809	3.714
  1.50	 0.014	  0.800	3.710
  1.50	 0.014	  0.796	3.707
  1.50	 0.014	  0.794	3.704
  1.50	 0.014	  0.802	3.698
  1.50	 0.014	  0.816	3.695
  1.50	 0.014	  0.839	3.693
  1.50	 0.014	  0.863	3.690
  1.50	 0.014	  0.896	3.688
  1.50	 0.014	  0.923	3.686
  1.50	 0.014	  0.953	3.685
  1.50	 0.014	  0.982	3.684
  1.50	 0.014	  1.014	3.682
  1.50	 0.014	  1.040	3.682
  1.50	 0.014	  1.075	3.680
  1.50	 0.014	  1.107	3.679
  1.50	 0.014	  1.141	3.677
  1.50	 0.014	  1.173	3.676
  1.50	 0.014	  1.222	3.675
  1.50	 0.014	  1.254	3.672
  1.50	 0.014	  1.325	3.670
  1.50	 0.014	  1.323	3.669
  1.50	 0.014	  1.354	3.669
  1.50	 0.014	  1.458	3.662
  1.50	 0.014	  1.458	3.662
  1.50	 0.014	  1.458	3.662
  1.50	 0.014	  1.458	3.662
  1.50	 0.014	  1.458	3.662
  1.50	 0.014	  1.458	3.662
  1.50	 0.014	  1.458	3.662
  1.50	 0.014	  1.458	3.662
  1.50	 0.014	  1.458	3.662
  1.50	 0.014	  1.458	3.662
  1.50	 0.014	  1.458	3.662
  1.50	 0.014	  1.458	3.662
  1.50	 0.014	  1.458	3.662
  1.50	 0.014	  1.458	3.662
  1.50	 0.014	  1.458	3.662
  1.50	 0.014	  1.458	3.662
  1.50	 0.014	  1.458	3.662
  1.50	 0.014	  1.458	3.662
  1.50	 0.014	  1.458	3.662
  1.50	 0.014	  1.458	3.662
  1.50	 0.014	  1.458	3.662
  1.50	 0.014	  1.458	3.662
  1.50	 0.014	  1.458	3.662
  1.50	 0.014	  1.458	3.662
  1.50	 0.014	  1.458	3.662
  1.50	 0.014	  1.458	3.662
  1.50	 0.014	  1.458	3.662
  1.50	 0.014	  1.458	3.662
