#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-11-10T01:07:53 [V7.32.5]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	protocol=ASU	
#INFO	request_date=2023-11-10T01:07:53	
#INFO	request_post=https://vizier.cds.unistra.fr//viz-bin/asu-tsv	
#-oc.form=dec
#-out.max=1000
#-nav=cat:J/A+A/537/A146&tab:{J/A+A/537/A146/iso}&key:source=J/A+A/537/A146/iso&HTTPPRM:&-out.max=50&-out.form=HTML Table&-oc.form=sexa&
#-source=J/A+A/537/A146/iso
#-order=I
#-out=logAge
#logAge=10.1
#-out=iso
#iso=iso
#-out=Zini
#Zini=0.014
#-out=logL
#-out=logTe
#
#INFO	contact=cds-question@unistra.fr	
#INFO	version=7.32.5	
#INFO	-out.max=1000	

#RESOURCE=yCat_35370146
#Name: J/A+A/537/A146
#Title: Stellar models with rotation. 0.8<M<120, Z=0.014 (Ekstrom+, 2012)
#INFO	ivoid=ivo://cds.vizier/j/a+a/537/a146	
#INFO	publisher=CDS	
#INFO	creator=Ekstrom S.	
#INFO	related_resource=bibcode:2012A&A...537A.146E	
#INFO	landing_page=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/537/A146	
#INFO	publication_id=doi:10.26093/cds/vizier.35370146	
#INFO	publication_date=2012-04-03	
#INFO	curation_level=RESEARCH	
#INFO	rights=https://cds.unistra.fr/vizier-org/licences_vizier.html	
#Table	J_A_A_537_A146_iso:
#Name: J/A+A/537/A146/iso
#Title: Isochrnones
#Column	logAge	(F4.1)	Initial age	[ucd=time.age]
#Column	iso	(A3)	Isochrone for this age	[ucd=meta.ref.url]
#Column	Zini	(F5.3)	[0.014] Initial metallicity	[ucd=phys.abund.Z]
#Column	logL	(F7.3)	Luminosity in log scale	[ucd=phys.luminosity]
#Column	logTe	(F5.3)	Effective temperature in log scale	[ucd=phys.temperature.effective;instr.scale]
logAge	iso	Zini	logL	logTe
10.1	iso	0.014	  0.387	3.682
10.1	iso	0.014	  0.405	3.681
10.1	iso	0.014	  0.445	3.679
10.1	iso	0.014	  0.488	3.678
10.1	iso	0.014	  0.537	3.676
10.1	iso	0.014	  0.590	3.675
10.1	iso	0.014	  0.649	3.674
10.1	iso	0.014	  0.715	3.672
10.1	iso	0.014	  0.752	3.671
10.1	iso	0.014	  0.791	3.670
10.1	iso	0.014	  0.835	3.668
10.1	iso	0.014	  0.881	3.667
10.1	iso	0.014	  0.934	3.665
10.1	iso	0.014	  0.961	3.664
10.1	iso	0.014	  0.989	3.663
10.1	iso	0.014	  1.023	3.661
10.1	iso	0.014	  1.057	3.660
10.1	iso	0.014	  1.092	3.658
10.1	iso	0.014	  1.126	3.657
10.1	iso	0.014	  1.150	3.656
10.1	iso	0.014	  1.173	3.655
10.1	iso	0.014	  1.196	3.654
10.1	iso	0.014	  1.219	3.653
10.1	iso	0.014	  1.242	3.652
10.1	iso	0.014	  1.266	3.651
10.1	iso	0.014	  1.309	3.649
10.1	iso	0.014	  1.338	3.648
10.1	iso	0.014	  1.375	3.647
10.1	iso	0.014	  1.415	3.644
10.1	iso	0.014	  1.454	3.642
10.1	iso	0.014	  1.494	3.640
10.1	iso	0.014	  1.534	3.637
10.1	iso	0.014	  1.574	3.635
10.1	iso	0.014	  1.614	3.632
10.1	iso	0.014	  1.654	3.630
10.1	iso	0.014	  1.711	3.626
10.1	iso	0.014	  1.819	3.618
10.1	iso	0.014	  1.927	3.610
10.1	iso	0.014	  2.036	3.602
10.1	iso	0.014	  2.145	3.593
10.1	iso	0.014	  2.254	3.585
10.1	iso	0.014	  2.363	3.577
10.1	iso	0.014	  2.472	3.568
10.1	iso	0.014	 -0.444	3.699
10.1	iso	0.014	 -0.430	3.701
10.1	iso	0.014	 -0.417	3.703
10.1	iso	0.014	 -0.403	3.704
10.1	iso	0.014	 -0.390	3.706
10.1	iso	0.014	 -0.376	3.708
10.1	iso	0.014	 -0.363	3.709
10.1	iso	0.014	 -0.349	3.711
10.1	iso	0.014	 -0.335	3.713
10.1	iso	0.014	 -0.322	3.714
10.1	iso	0.014	 -0.308	3.716
10.1	iso	0.014	 -0.294	3.718
10.1	iso	0.014	 -0.280	3.719
10.1	iso	0.014	 -0.266	3.721
10.1	iso	0.014	 -0.252	3.722
10.1	iso	0.014	 -0.238	3.724
10.1	iso	0.014	 -0.224	3.726
10.1	iso	0.014	 -0.210	3.727
10.1	iso	0.014	 -0.195	3.728
10.1	iso	0.014	 -0.181	3.730
10.1	iso	0.014	 -0.166	3.731
10.1	iso	0.014	 -0.152	3.733
10.1	iso	0.014	 -0.137	3.734
10.1	iso	0.014	 -0.122	3.736
10.1	iso	0.014	 -0.107	3.737
10.1	iso	0.014	 -0.092	3.738
10.1	iso	0.014	 -0.077	3.739
10.1	iso	0.014	 -0.047	3.741
10.1	iso	0.014	 -0.016	3.743
10.1	iso	0.014	  0.015	3.745
10.1	iso	0.014	  0.082	3.747
10.1	iso	0.014	  0.155	3.748
10.1	iso	0.014	  0.194	3.747
10.1	iso	0.014	  0.214	3.746
10.1	iso	0.014	  0.235	3.745
10.1	iso	0.014	  0.245	3.744
10.1	iso	0.014	  0.256	3.742
10.1	iso	0.014	  0.266	3.741
10.1	iso	0.014	  0.270	3.740
10.1	iso	0.014	  0.275	3.738
10.1	iso	0.014	  0.280	3.737
10.1	iso	0.014	  0.285	3.736
10.1	iso	0.014	  0.289	3.734
10.1	iso	0.014	  0.293	3.732
10.1	iso	0.014	  0.295	3.731
10.1	iso	0.014	  0.297	3.730
10.1	iso	0.014	  0.298	3.729
10.1	iso	0.014	  0.300	3.728
10.1	iso	0.014	  0.302	3.727
10.1	iso	0.014	  0.303	3.725
10.1	iso	0.014	  0.304	3.724
10.1	iso	0.014	  0.306	3.722
10.1	iso	0.014	  0.307	3.721
10.1	iso	0.014	  0.308	3.719
10.1	iso	0.014	  0.308	3.718
10.1	iso	0.014	  0.309	3.717
10.1	iso	0.014	  0.309	3.716
10.1	iso	0.014	  0.310	3.715
10.1	iso	0.014	  0.310	3.714
10.1	iso	0.014	  0.310	3.712
10.1	iso	0.014	  0.311	3.711
10.1	iso	0.014	  0.312	3.710
10.1	iso	0.014	  0.312	3.709
10.1	iso	0.014	  0.313	3.708
10.1	iso	0.014	  0.314	3.706
10.1	iso	0.014	  0.315	3.705
10.1	iso	0.014	  0.316	3.704
10.1	iso	0.014	  0.317	3.702
10.1	iso	0.014	  0.318	3.701
10.1	iso	0.014	  0.320	3.700
10.1	iso	0.014	  0.322	3.698
10.1	iso	0.014	  0.324	3.697
10.1	iso	0.014	  0.328	3.696
10.1	iso	0.014	  0.331	3.695
10.1	iso	0.014	  0.335	3.694
10.1	iso	0.014	  0.339	3.692
10.1	iso	0.014	  0.343	3.691
10.1	iso	0.014	  0.354	3.690
10.1	iso	0.014	  0.367	3.688
10.1	iso	0.014	  0.381	3.686
10.1	iso	0.014	  0.397	3.685
10.1	iso	0.014	  0.414	3.684
10.1	iso	0.014	  0.433	3.682
10.1	iso	0.014	  0.476	3.681
10.1	iso	0.014	  0.524	3.679
10.1	iso	0.014	  0.578	3.678
10.1	iso	0.014	  0.640	3.677
10.1	iso	0.014	  0.710	3.675
10.1	iso	0.014	  0.752	3.674
10.1	iso	0.014	  0.796	3.673
10.1	iso	0.014	  0.845	3.671
10.1	iso	0.014	  0.900	3.669
10.1	iso	0.014	  0.930	3.668
10.1	iso	0.014	  0.963	3.667
10.1	iso	0.014	  0.997	3.666
10.1	iso	0.014	  1.027	3.665
10.1	iso	0.014	  1.052	3.664

