#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2024-02-05T03:26:50 [V7.32.7]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	protocol=ASU	
#INFO	request_date=2024-02-05T03:26:50	
#INFO	request_post=https://vizier.cds.unistra.fr//viz-bin/asu-tsv	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:J/A+A/537/A146&tab:{J/A+A/537/A146/iso}&key:source=J/A+A/537/A146/iso&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-source=J/A+A/537/A146/iso
#-order=I
#-out=logAge
#logAge=7.5
#-out=iso
#iso=iso
#-out=Rot
#Rot=r
#Zini=0.014
#-out=Mass
#-out=logL
#-out=logTe
#-out=Vmag
#-out=B-V
#
#INFO	contact=cds-question@unistra.fr	
#INFO	version=7.32.7	
#INFO	-out.max=unlimited	

#RESOURCE=yCat_35370146
#Name: J/A+A/537/A146
#Title: Stellar models with rotation. 0.8<M<120, Z=0.014 (Ekstrom+, 2012)
#INFO	ivoid=ivo://cds.vizier/j/a+a/537/a146	
#INFO	publisher=CDS	
#INFO	creator=Ekstrom S.	
#INFO	related_resource=bibcode:2012A&A...537A.146E	
#INFO	landing_page=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/537/A146	
#INFO	publication_id=doi:10.26093/cds/vizier.35370146	
#INFO	publication_date=2012-04-03	
#INFO	curation_level=RESEARCH	
#INFO	rights=https://cds.unistra.fr/vizier-org/licences_vizier.html	
#Table	J_A_A_537_A146_iso:
#Name: J/A+A/537/A146/iso
#Title: Isochrnones
#Column	logAge	(F4.1)	Initial age	[ucd=time.age]
#Column	iso	(A3)	Isochrone for this age	[ucd=meta.ref.url]
#Column	Rot	(A1)	[nr] r for rotation, n for no rotation	[ucd=meta.code]
#Column	Mass	(F7.3)	Actual mass at the age of the isochrone	[ucd=phys.mass]
#Column	logL	(F7.3)	Luminosity in log scale	[ucd=phys.luminosity]
#Column	logTe	(F5.3)	Effective temperature in log scale	[ucd=phys.temperature.effective;instr.scale]
#Column	Vmag	(F7.3)	V-band absolute magnitude	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F6.3)	B-V colour index	[ucd=phot.color;em.opt.B;em.opt.V]
logAge	iso	Rot	Mass	logL	logTe	Vmag	B-V
 7.5	iso	r	  0.927	 -0.293	3.733	  5.717	 0.735
 7.5	iso	r	  0.930	 -0.285	3.734	  5.693	 0.730
 7.5	iso	r	  0.934	 -0.277	3.735	  5.669	 0.724
 7.5	iso	r	  0.938	 -0.269	3.736	  5.645	 0.718
 7.5	iso	r	  0.942	 -0.261	3.737	  5.621	 0.713
 7.5	iso	r	  0.945	 -0.253	3.738	  5.597	 0.707
 7.5	iso	r	  0.949	 -0.245	3.740	  5.573	 0.702
 7.5	iso	r	  0.956	 -0.229	3.742	  5.526	 0.693
 7.5	iso	r	  0.964	 -0.213	3.744	  5.479	 0.684
 7.5	iso	r	  0.971	 -0.197	3.746	  5.432	 0.676
 7.5	iso	r	  0.979	 -0.182	3.748	  5.386	 0.667
 7.5	iso	r	  0.986	 -0.166	3.750	  5.340	 0.659
 7.5	iso	r	  0.994	 -0.151	3.752	  5.295	 0.651
 7.5	iso	r	  1.001	 -0.136	3.755	  5.249	 0.642
 7.5	iso	r	  1.009	 -0.120	3.756	  5.204	 0.635
 7.5	iso	r	  1.016	 -0.105	3.758	  5.160	 0.628
 7.5	iso	r	  1.023	 -0.090	3.760	  5.116	 0.621
 7.5	iso	r	  1.031	 -0.074	3.762	  5.071	 0.614
 7.5	iso	r	  1.038	 -0.059	3.764	  5.028	 0.607
 7.5	iso	r	  1.046	 -0.044	3.765	  4.984	 0.600
 7.5	iso	r	  1.053	 -0.030	3.767	  4.941	 0.593
 7.5	iso	r	  1.061	 -0.015	3.769	  4.898	 0.586
 7.5	iso	r	  1.068	  0.000	3.771	  4.856	 0.579
 7.5	iso	r	  1.076	  0.014	3.772	  4.813	 0.572
 7.5	iso	r	  1.083	  0.029	3.774	  4.771	 0.565
 7.5	iso	r	  1.091	  0.043	3.776	  4.730	 0.558
 7.5	iso	r	  1.098	  0.057	3.778	  4.688	 0.552
 7.5	iso	r	  1.105	  0.070	3.779	  4.653	 0.546
 7.5	iso	r	  1.120	  0.094	3.782	  4.587	 0.537
 7.5	iso	r	  1.135	  0.118	3.784	  4.522	 0.527
 7.5	iso	r	  1.150	  0.141	3.787	  4.457	 0.518
 7.5	iso	r	  1.165	  0.164	3.789	  4.394	 0.509
 7.5	iso	r	  1.180	  0.187	3.792	  4.331	 0.500
 7.5	iso	r	  1.195	  0.210	3.794	  4.270	 0.491
 7.5	iso	r	  1.210	  0.232	3.796	  4.208	 0.482
 7.5	iso	r	  1.225	  0.254	3.799	  4.148	 0.473
 7.5	iso	r	  1.240	  0.276	3.801	  4.088	 0.465
 7.5	iso	r	  1.254	  0.298	3.804	  4.026	 0.455
 7.5	iso	r	  1.262	  0.311	3.805	  3.992	 0.450
 7.5	iso	r	  1.269	  0.323	3.806	  3.957	 0.445
 7.5	iso	r	  1.277	  0.336	3.808	  3.923	 0.439
 7.5	iso	r	  1.284	  0.348	3.809	  3.889	 0.434
 7.5	iso	r	  1.292	  0.360	3.811	  3.855	 0.429
 7.5	iso	r	  1.299	  0.372	3.812	  3.822	 0.424
 7.5	iso	r	  1.314	  0.396	3.815	  3.757	 0.414
 7.5	iso	r	  1.329	  0.420	3.818	  3.694	 0.406
 7.5	iso	r	  1.344	  0.444	3.820	  3.632	 0.397
 7.5	iso	r	  1.359	  0.466	3.823	  3.572	 0.388
 7.5	iso	r	  1.374	  0.488	3.826	  3.515	 0.380
 7.5	iso	r	  1.389	  0.509	3.829	  3.458	 0.371
 7.5	iso	r	  1.403	  0.530	3.832	  3.402	 0.362
 7.5	iso	r	  1.418	  0.551	3.834	  3.346	 0.353
 7.5	iso	r	  1.433	  0.572	3.837	  3.290	 0.344
 7.5	iso	r	  1.448	  0.592	3.840	  3.236	 0.336
 7.5	iso	r	  1.463	  0.612	3.843	  3.182	 0.327
 7.5	iso	r	  1.478	  0.633	3.846	  3.128	 0.319
 7.5	iso	r	  1.493	  0.652	3.848	  3.079	 0.312
 7.5	iso	r	  1.508	  0.672	3.852	  3.030	 0.305
 7.5	iso	r	  1.523	  0.691	3.855	  2.983	 0.296
 7.5	iso	r	  1.538	  0.710	3.859	  2.936	 0.287
 7.5	iso	r	  1.552	  0.728	3.863	  2.889	 0.278
 7.5	iso	r	  1.567	  0.747	3.866	  2.843	 0.270
 7.5	iso	r	  1.582	  0.765	3.870	  2.797	 0.261
 7.5	iso	r	  1.597	  0.783	3.874	  2.752	 0.253
 7.5	iso	r	  1.612	  0.801	3.877	  2.709	 0.244
 7.5	iso	r	  1.627	  0.819	3.881	  2.667	 0.236
 7.5	iso	r	  1.642	  0.836	3.884	  2.626	 0.227
 7.5	iso	r	  1.657	  0.854	3.888	  2.584	 0.218
 7.5	iso	r	  1.672	  0.871	3.891	  2.544	 0.210
 7.5	iso	r	  1.687	  0.888	3.895	  2.503	 0.201
 7.5	iso	r	  1.701	  0.905	3.898	  2.464	 0.193
 7.5	iso	r	  1.716	  0.921	3.901	  2.426	 0.184
 7.5	iso	r	  1.731	  0.937	3.905	  2.390	 0.176
 7.5	iso	r	  1.746	  0.953	3.908	  2.356	 0.168
 7.5	iso	r	  1.761	  0.968	3.911	  2.322	 0.161
 7.5	iso	r	  1.776	  0.984	3.915	  2.289	 0.153
 7.5	iso	r	  1.791	  0.999	3.918	  2.256	 0.146
 7.5	iso	r	  1.806	  1.014	3.921	  2.223	 0.138
 7.5	iso	r	  1.821	  1.029	3.924	  2.190	 0.131
 7.5	iso	r	  1.836	  1.044	3.928	  2.158	 0.123
 7.5	iso	r	  1.850	  1.059	3.931	  2.128	 0.115
 7.5	iso	r	  1.865	  1.074	3.934	  2.100	 0.106
 7.5	iso	r	  1.880	  1.088	3.937	  2.072	 0.098
 7.5	iso	r	  1.895	  1.102	3.940	  2.045	 0.089
 7.5	iso	r	  1.910	  1.117	3.943	  2.017	 0.081
 7.5	iso	r	  1.925	  1.131	3.946	  1.990	 0.072
 7.5	iso	r	  1.940	  1.145	3.949	  1.963	 0.064
 7.5	iso	r	  1.955	  1.159	3.952	  1.937	 0.056
 7.5	iso	r	  1.970	  1.173	3.955	  1.910	 0.048
 7.5	iso	r	  1.985	  1.187	3.958	  1.884	 0.042
 7.5	iso	r	  1.999	  1.201	3.961	  1.858	 0.036
 7.5	iso	r	  2.014	  1.214	3.963	  1.834	 0.030
 7.5	iso	r	  2.029	  1.226	3.966	  1.809	 0.025
 7.5	iso	r	  2.044	  1.239	3.968	  1.784	 0.020
 7.5	iso	r	  2.059	  1.252	3.971	  1.760	 0.015
 7.5	iso	r	  2.074	  1.264	3.973	  1.736	 0.010
 7.5	iso	r	  2.104	  1.289	3.978	  1.688	 0.000
 7.5	iso	r	  2.134	  1.313	3.983	  1.646	-0.006
 7.5	iso	r	  2.163	  1.337	3.987	  1.605	-0.013
 7.5	iso	r	  2.193	  1.361	3.992	  1.564	-0.019
 7.5	iso	r	  2.223	  1.384	3.996	  1.524	-0.025
 7.5	iso	r	  2.253	  1.408	4.001	  1.484	-0.031
 7.5	iso	r	  2.312	  1.453	4.009	  1.413	-0.040
 7.5	iso	r	  2.372	  1.498	4.018	  1.342	-0.050
 7.5	iso	r	  2.432	  1.541	4.026	  1.274	-0.058
 7.5	iso	r	  2.491	  1.584	4.034	  1.206	-0.067
 7.5	iso	r	  2.551	  1.624	4.041	  1.140	-0.075
 7.5	iso	r	  2.610	  1.663	4.048	  1.080	-0.081
 7.5	iso	r	  2.670	  1.701	4.054	  1.020	-0.087
 7.5	iso	r	  2.730	  1.739	4.061	  0.962	-0.093
 7.5	iso	r	  2.789	  1.775	4.067	  0.905	-0.099
 7.5	iso	r	  2.849	  1.811	4.073	  0.849	-0.104
 7.5	iso	r	  2.968	  1.882	4.085	  0.742	-0.113
 7.5	iso	r	  3.087	  1.948	4.096	  0.641	-0.120
 7.5	iso	r	  3.206	  2.011	4.106	  0.545	-0.126
 7.5	iso	r	  3.326	  2.072	4.116	  0.451	-0.131
 7.5	iso	r	  3.445	  2.132	4.125	  0.361	-0.137
 7.5	iso	r	  3.564	  2.189	4.134	  0.273	-0.143
 7.5	iso	r	  3.683	  2.245	4.143	  0.187	-0.148
 7.5	iso	r	  3.802	  2.300	4.151	  0.103	-0.153
 7.5	iso	r	  3.922	  2.353	4.159	  0.021	-0.159
 7.5	iso	r	  4.041	  2.404	4.167	 -0.058	-0.164
 7.5	iso	r	  4.160	  2.452	4.174	 -0.132	-0.169
 7.5	iso	r	  4.279	  2.500	4.181	 -0.208	-0.172
 7.5	iso	r	  4.398	  2.547	4.188	 -0.282	-0.174
 7.5	iso	r	  4.518	  2.592	4.195	 -0.355	-0.177
 7.5	iso	r	  4.637	  2.637	4.202	 -0.428	-0.179
 7.5	iso	r	  4.756	  2.682	4.208	 -0.500	-0.182
 7.5	iso	r	  4.875	  2.725	4.214	 -0.573	-0.184
 7.5	iso	r	  4.994	  2.768	4.220	 -0.645	-0.186
 7.5	iso	r	  5.114	  2.808	4.226	 -0.714	-0.188
 7.5	iso	r	  5.233	  2.848	4.231	 -0.784	-0.190
 7.5	iso	r	  5.352	  2.887	4.236	 -0.854	-0.192
 7.5	iso	r	  5.471	  2.926	4.241	 -0.923	-0.194
 7.5	iso	r	  5.590	  2.965	4.246	 -0.992	-0.196
 7.5	iso	r	  5.710	  3.002	4.251	 -1.061	-0.198
 7.5	iso	r	  5.829	  3.040	4.255	 -1.130	-0.200
 7.5	iso	r	  5.948	  3.077	4.259	 -1.200	-0.202
 7.5	iso	r	  6.067	  3.114	4.264	 -1.271	-0.204
 7.5	iso	r	  6.186	  3.151	4.268	 -1.342	-0.206
 7.5	iso	r	  6.305	  3.187	4.272	 -1.412	-0.207
 7.5	iso	r	  6.425	  3.224	4.275	 -1.484	-0.209
 7.5	iso	r	  6.544	  3.260	4.279	 -1.556	-0.210
 7.5	iso	r	  6.663	  3.296	4.282	 -1.628	-0.212
 7.5	iso	r	  6.782	  3.332	4.285	 -1.702	-0.213
 7.5	iso	r	  6.901	  3.368	4.288	 -1.776	-0.214
 7.5	iso	r	  7.020	  3.403	4.291	 -1.851	-0.216
 7.5	iso	r	  7.139	  3.437	4.293	 -1.923	-0.217
 7.5	iso	r	  7.258	  3.470	4.296	 -1.995	-0.218
 7.5	iso	r	  7.377	  3.504	4.297	 -2.069	-0.218
 7.5	iso	r	  7.496	  3.538	4.299	 -2.145	-0.219
 7.5	iso	r	  7.615	  3.572	4.301	 -2.222	-0.220
 7.5	iso	r	  7.734	  3.606	4.302	 -2.301	-0.220
 7.5	iso	r	  7.853	  3.640	4.303	 -2.382	-0.221
 7.5	iso	r	  7.971	  3.675	4.303	 -2.466	-0.221
 7.5	iso	r	  8.090	  3.710	4.303	 -2.553	-0.221
 7.5	iso	r	  8.209	  3.745	4.303	 -2.643	-0.221
 7.5	iso	r	  8.327	  3.781	4.302	 -2.738	-0.220
 7.5	iso	r	  8.445	  3.817	4.300	 -2.837	-0.220
 7.5	iso	r	  8.563	  3.854	4.298	 -2.942	-0.218
 7.5	iso	r	  8.682	  3.891	4.294	 -3.052	-0.217
 7.5	iso	r	  8.799	  3.930	4.291	 -3.168	-0.216
 7.5	iso	r	  8.917	  3.974	4.293	 -3.268	-0.216
 7.5	iso	r	  8.946	  3.990	4.302	 -3.260	-0.221
 7.5	iso	r	  8.961	  4.015	4.322	 -3.222	-0.230
 7.5	iso	r	  8.965	  4.034	4.334	 -3.206	-0.236
 7.5	iso	r	  8.966	  4.014	4.323	 -3.210	-0.231
 7.5	iso	r	  8.967	  4.016	4.308	 -3.293	-0.224
 7.5	iso	r	  8.968	  4.036	4.294	 -3.415	-0.217
 7.5	iso	r	  8.968	  4.052	4.282	 -3.522	-0.212
 7.5	iso	r	  8.970	  4.071	4.259	 -3.688	-0.202
 7.5	iso	r	  8.972	  4.081	4.236	 -3.836	-0.193
 7.5	iso	r	  8.974	  4.086	4.212	 -3.988	-0.183
 7.5	iso	r	  8.974	  4.087	4.206	 -4.028	-0.181
 7.5	iso	r	  8.975	  4.087	4.202	 -4.067	-0.176
 7.5	iso	r	  8.975	  4.087	4.199	 -4.112	-0.170
 7.5	iso	r	  8.975	  4.087	4.195	 -4.158	-0.163
 7.5	iso	r	  8.975	  4.087	4.191	 -4.204	-0.157
 7.5	iso	r	  8.975	  4.088	4.188	 -4.249	-0.150
 7.5	iso	r	  8.976	  4.087	4.184	 -4.293	-0.143
 7.5	iso	r	  8.976	  4.087	4.180	 -4.338	-0.135
 7.5	iso	r	  8.976	  4.087	4.175	 -4.382	-0.128
 7.5	iso	r	  8.976	  4.087	4.171	 -4.426	-0.119
 7.5	iso	r	  8.977	  4.086	4.167	 -4.469	-0.111
 7.5	iso	r	  8.977	  4.086	4.162	 -4.511	-0.102
 7.5	iso	r	  8.977	  4.085	4.158	 -4.553	-0.093
 7.5	iso	r	  8.978	  4.084	4.148	 -4.598	-0.086
 7.5	iso	r	  8.978	  4.082	4.137	 -4.636	-0.080
 7.5	iso	r	  8.978	  4.080	4.125	 -4.668	-0.074
 7.5	iso	r	  8.979	  4.077	4.113	 -4.701	-0.067
 7.5	iso	r	  8.979	  4.073	4.099	 -4.736	-0.060
 7.5	iso	r	  8.980	  4.069	4.084	 -4.773	-0.051
 7.5	iso	r	  8.980	  4.063	4.067	 -4.810	-0.042
 7.5	iso	r	  8.980	  4.060	4.058	 -4.830	-0.036
 7.5	iso	r	  8.981	  4.056	4.048	 -4.850	-0.031
 7.5	iso	r	  8.981	  4.052	4.038	 -4.872	-0.025
 7.5	iso	r	  8.981	  4.050	4.032	 -4.892	-0.020
 7.5	iso	r	  8.981	  4.047	4.026	 -4.914	-0.014
 7.5	iso	r	  8.981	  4.045	4.020	 -4.936	-0.009
 7.5	iso	r	  8.981	  4.042	4.014	 -4.959	-0.003
 7.5	iso	r	  8.981	  4.039	4.008	 -4.980	 0.003
 7.5	iso	r	  8.982	  4.036	4.002	 -5.000	 0.009
 7.5	iso	r	  8.982	  4.033	3.995	 -5.020	 0.016
 7.5	iso	r	  8.982	  4.030	3.988	 -5.041	 0.023
 7.5	iso	r	  8.982	  4.026	3.980	 -5.062	 0.030
 7.5	iso	r	  8.982	  4.023	3.973	 -5.083	 0.037
 7.5	iso	r	  8.982	  4.019	3.965	 -5.106	 0.045
 7.5	iso	r	  8.982	  4.015	3.957	 -5.130	 0.054
 7.5	iso	r	  8.982	  4.010	3.948	 -5.157	 0.064
 7.5	iso	r	  8.983	  4.006	3.939	 -5.198	 0.080
 7.5	iso	r	  8.983	  4.001	3.930	 -5.251	 0.100
 7.5	iso	r	  8.983	  3.996	3.920	 -5.293	 0.124
 7.5	iso	r	  8.983	  3.990	3.910	 -5.323	 0.151
 7.5	iso	r	  8.983	  3.984	3.900	 -5.332	 0.180
 7.5	iso	r	  8.983	  3.977	3.888	 -5.332	 0.211
 7.5	iso	r	  8.983	  3.970	3.876	 -5.312	 0.245
 7.5	iso	r	  8.983	  3.963	3.864	 -5.292	 0.279
 7.5	iso	r	  8.983	  3.954	3.849	 -5.267	 0.318
 7.5	iso	r	  8.984	  3.945	3.835	 -5.234	 0.364
 7.5	iso	r	  8.984	  3.936	3.820	 -5.197	 0.412
 7.5	iso	r	  8.984	  3.925	3.802	 -5.150	 0.470
 7.5	iso	r	  8.984	  3.912	3.784	 -5.097	 0.534
 7.5	iso	r	  8.984	  3.899	3.764	 -5.034	 0.607
 7.5	iso	r	  8.984	  3.879	3.740	 -4.931	 0.712
 7.5	iso	r	  8.984	  3.860	3.716	 -4.812	 0.826
 7.5	iso	r	  8.984	  3.839	3.693	 -4.688	 0.948
 7.5	iso	r	  8.984	  3.808	3.679	 -4.557	 1.030
 7.5	iso	r	  8.984	  3.777	3.664	 -4.395	 1.113
 7.5	iso	r	  8.985	  3.748	3.652	 -4.250	 1.186
 7.5	iso	r	  8.985	  3.724	3.644	 -4.153	 1.232
 7.5	iso	r	  8.985	  3.699	3.636	 -4.055	 1.278
 7.5	iso	r	  8.985	  3.701	3.628	 -4.007	 1.325
 7.5	iso	r	  8.985	  3.760	3.620	 -4.093	 1.369
 7.5	iso	r	  8.985	  3.870	3.611	 -4.305	 1.415
 7.5	iso	r	  8.985	  3.969	3.604	 -4.494	 1.454
 7.5	iso	r	  8.985	  4.024	3.601	 -4.602	 1.470
 7.5	iso	r	  8.985	  4.051	3.599	 -4.651	 1.480
 7.5	iso	r	  8.985	  4.060	3.596	 -4.642	 1.497
 7.5	iso	r	  8.985	  4.065	3.592	 -4.618	 1.516
 7.5	iso	r	  8.985	  4.069	3.589	 -4.588	 1.537
 7.5	iso	r	  8.985	  4.074	3.586	 -4.568	 1.552
 7.5	iso	r	  8.985	  4.080	3.585	 -4.577	 1.554
 7.5	iso	r	  8.985	  4.085	3.585	 -4.591	 1.554
 7.5	iso	r	  8.985	  4.088	3.585	 -4.600	 1.554
 7.5	iso	r	  8.985	  4.088	3.585	 -4.595	 1.555
 7.5	iso	r	  8.986	  4.087	3.585	 -4.590	 1.557
 7.5	iso	r	  8.986	  4.085	3.584	 -4.576	 1.560
 7.5	iso	r	  8.987	  4.082	3.582	 -4.544	 1.570
 7.5	iso	r	  8.989	  4.072	3.581	 -4.511	 1.574
 7.5	iso	r	  8.995	  4.054	3.583	 -4.488	 1.565
 7.5	iso	r	  8.999	  4.044	3.584	 -4.480	 1.558
 7.5	iso	r	  9.007	  4.026	3.586	 -4.454	 1.549
 7.5	iso	r	  9.011	  4.017	3.587	 -4.444	 1.543
 7.5	iso	r	  9.013	  4.012	3.589	 -4.447	 1.537
 7.5	iso	r	  9.017	  4.005	3.590	 -4.443	 1.528
 7.5	iso	r	  9.026	  3.994	3.592	 -4.430	 1.521
 7.5	iso	r	  9.028	  3.992	3.592	 -4.435	 1.516
 7.5	iso	r	  9.032	  3.990	3.594	 -4.447	 1.507
 7.5	iso	r	  9.036	  3.989	3.596	 -4.458	 1.500
 7.5	iso	r	  9.040	  3.990	3.597	 -4.472	 1.494
 7.5	iso	r	  9.043	  4.000	3.598	 -4.513	 1.485
 7.5	iso	r	  9.044	  4.005	3.599	 -4.536	 1.480
 7.5	iso	r	  9.045	  4.012	3.600	 -4.565	 1.474
 7.5	iso	r	  9.046	  4.024	3.602	 -4.609	 1.466
 7.5	iso	r	  9.046	  4.031	3.603	 -4.642	 1.459
 7.5	iso	r	  9.046	  4.042	3.604	 -4.678	 1.454
 7.5	iso	r	  9.046	  4.051	3.605	 -4.707	 1.450
 7.5	iso	r	  9.046	  4.056	3.606	 -4.726	 1.446
 7.5	iso	r	  9.046	  4.064	3.607	 -4.758	 1.436
 7.5	iso	r	  9.046	  4.072	3.609	 -4.791	 1.427
 7.5	iso	r	  9.046	  4.081	3.610	 -4.825	 1.419
 7.5	iso	r	  9.046	  4.093	3.612	 -4.868	 1.410
 7.5	iso	r	  9.046	  4.099	3.613	 -4.890	 1.406
 7.5	iso	r	  9.046	  4.106	3.614	 -4.915	 1.400
 7.5	iso	r	  9.046	  4.110	3.616	 -4.942	 1.388
 7.5	iso	r	  9.046	  4.115	3.618	 -4.968	 1.377
 7.5	iso	r	  9.046	  4.119	3.620	 -4.995	 1.366
 7.5	iso	r	  9.046	  4.124	3.622	 -5.022	 1.355
 7.5	iso	r	  9.046	  4.128	3.624	 -5.048	 1.344
 7.5	iso	r	  9.046	  4.132	3.626	 -5.075	 1.333
 7.5	iso	r	  9.046	  4.137	3.628	 -5.102	 1.321
 7.5	iso	r	  9.046	  4.141	3.630	 -5.128	 1.310
 7.5	iso	r	  9.046	  4.144	3.637	 -5.174	 1.271
 7.5	iso	r	  9.046	  4.148	3.644	 -5.215	 1.229
 7.5	iso	r	  9.046	  4.151	3.652	 -5.256	 1.186
 7.5	iso	r	  9.046	  4.154	3.659	 -5.302	 1.144
 7.5	iso	r	  9.046	  4.157	3.666	 -5.355	 1.103
 7.5	iso	r	  9.046	  4.160	3.673	 -5.407	 1.062
 7.5	iso	r	  9.046	  4.164	3.680	 -5.452	 1.020
 7.5	iso	r	  9.046	  4.167	3.688	 -5.488	 0.979
 7.5	iso	r	  9.046	  4.168	3.694	 -5.514	 0.946
 7.5	iso	r	  9.046	  4.170	3.699	 -5.538	 0.915
 7.5	iso	r	  9.045	  4.172	3.704	 -5.557	 0.884
 7.5	iso	r	  9.045	  4.173	3.710	 -5.576	 0.858
 7.5	iso	r	  9.045	  4.175	3.715	 -5.596	 0.832
