#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2024-02-05T03:27:01 [V7.32.7]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	protocol=ASU	
#INFO	request_date=2024-02-05T03:27:01	
#INFO	request_post=https://vizier.cds.unistra.fr//viz-bin/asu-tsv	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:J/A+A/537/A146&tab:{J/A+A/537/A146/iso}&key:source=J/A+A/537/A146/iso&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-source=J/A+A/537/A146/iso
#-order=I
#-out=logAge
#logAge=9.5
#-out=iso
#iso=iso
#-out=Rot
#Rot=r
#Zini=0.014
#-out=Mass
#-out=logL
#-out=logTe
#-out=Vmag
#-out=B-V
#
#INFO	contact=cds-question@unistra.fr	
#INFO	version=7.32.7	
#INFO	-out.max=unlimited	

#RESOURCE=yCat_35370146
#Name: J/A+A/537/A146
#Title: Stellar models with rotation. 0.8<M<120, Z=0.014 (Ekstrom+, 2012)
#INFO	ivoid=ivo://cds.vizier/j/a+a/537/a146	
#INFO	publisher=CDS	
#INFO	creator=Ekstrom S.	
#INFO	related_resource=bibcode:2012A&A...537A.146E	
#INFO	landing_page=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/537/A146	
#INFO	publication_id=doi:10.26093/cds/vizier.35370146	
#INFO	publication_date=2012-04-03	
#INFO	curation_level=RESEARCH	
#INFO	rights=https://cds.unistra.fr/vizier-org/licences_vizier.html	
#Table	J_A_A_537_A146_iso:
#Name: J/A+A/537/A146/iso
#Title: Isochrnones
#Column	logAge	(F4.1)	Initial age	[ucd=time.age]
#Column	iso	(A3)	Isochrone for this age	[ucd=meta.ref.url]
#Column	Rot	(A1)	[nr] r for rotation, n for no rotation	[ucd=meta.code]
#Column	Mass	(F7.3)	Actual mass at the age of the isochrone	[ucd=phys.mass]
#Column	logL	(F7.3)	Luminosity in log scale	[ucd=phys.luminosity]
#Column	logTe	(F5.3)	Effective temperature in log scale	[ucd=phys.temperature.effective;instr.scale]
#Column	Vmag	(F7.3)	V-band absolute magnitude	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F6.3)	B-V colour index	[ucd=phot.color;em.opt.B;em.opt.V]
logAge	iso	Rot	Mass	logL	logTe	Vmag	B-V
 9.5	iso	r	  0.927	 -0.237	3.736	  5.566	 0.720
 9.5	iso	r	  0.930	 -0.228	3.737	  5.539	 0.714
 9.5	iso	r	  0.934	 -0.218	3.738	  5.511	 0.708
 9.5	iso	r	  0.938	 -0.209	3.740	  5.484	 0.702
 9.5	iso	r	  0.945	 -0.190	3.742	  5.429	 0.692
 9.5	iso	r	  0.953	 -0.172	3.744	  5.375	 0.683
 9.5	iso	r	  0.960	 -0.153	3.747	  5.320	 0.674
 9.5	iso	r	  0.968	 -0.135	3.749	  5.266	 0.665
 9.5	iso	r	  0.975	 -0.116	3.751	  5.212	 0.656
 9.5	iso	r	  0.983	 -0.098	3.754	  5.159	 0.647
 9.5	iso	r	  0.990	 -0.080	3.756	  5.105	 0.638
 9.5	iso	r	  0.997	 -0.061	3.758	  5.052	 0.629
 9.5	iso	r	  1.005	 -0.043	3.760	  4.999	 0.621
 9.5	iso	r	  1.012	 -0.025	3.762	  4.947	 0.614
 9.5	iso	r	  1.020	 -0.007	3.764	  4.896	 0.606
 9.5	iso	r	  1.027	  0.011	3.766	  4.844	 0.598
 9.5	iso	r	  1.035	  0.029	3.768	  4.792	 0.591
 9.5	iso	r	  1.042	  0.047	3.769	  4.741	 0.584
 9.5	iso	r	  1.050	  0.065	3.771	  4.690	 0.577
 9.5	iso	r	  1.057	  0.083	3.773	  4.639	 0.570
 9.5	iso	r	  1.064	  0.101	3.775	  4.588	 0.562
 9.5	iso	r	  1.072	  0.119	3.777	  4.538	 0.556
 9.5	iso	r	  1.079	  0.137	3.778	  4.488	 0.549
 9.5	iso	r	  1.087	  0.154	3.780	  4.439	 0.542
 9.5	iso	r	  1.094	  0.172	3.782	  4.391	 0.536
 9.5	iso	r	  1.102	  0.189	3.783	  4.345	 0.531
 9.5	iso	r	  1.117	  0.218	3.786	  4.267	 0.522
 9.5	iso	r	  1.132	  0.247	3.788	  4.191	 0.513
 9.5	iso	r	  1.146	  0.275	3.790	  4.116	 0.505
 9.5	iso	r	  1.161	  0.302	3.792	  4.042	 0.498
 9.5	iso	r	  1.176	  0.330	3.794	  3.970	 0.491
 9.5	iso	r	  1.191	  0.356	3.796	  3.899	 0.485
 9.5	iso	r	  1.206	  0.383	3.797	  3.829	 0.479
 9.5	iso	r	  1.221	  0.409	3.799	  3.760	 0.473
 9.5	iso	r	  1.251	  0.460	3.801	  3.626	 0.464
 9.5	iso	r	  1.281	  0.515	3.801	  3.490	 0.464
 9.5	iso	r	  1.310	  0.568	3.800	  3.361	 0.468
 9.5	iso	r	  1.340	  0.618	3.797	  3.240	 0.478
 9.5	iso	r	  1.355	  0.643	3.795	  3.184	 0.486
 9.5	iso	r	  1.362	  0.655	3.794	  3.156	 0.491
 9.5	iso	r	  1.370	  0.667	3.792	  3.129	 0.496
 9.5	iso	r	  1.377	  0.679	3.791	  3.102	 0.501
 9.5	iso	r	  1.385	  0.691	3.790	  3.075	 0.507
 9.5	iso	r	  1.400	  0.718	3.787	  3.013	 0.516
 9.5	iso	r	  1.407	  0.738	3.787	  2.964	 0.516
 9.5	iso	r	  1.411	  0.754	3.788	  2.920	 0.511
 9.5	iso	r	  1.413	  0.767	3.790	  2.884	 0.504
 9.5	iso	r	  1.414	  0.777	3.792	  2.857	 0.499
 9.5	iso	r	  1.415	  0.791	3.794	  2.817	 0.490
 9.5	iso	r	  1.415	  0.800	3.796	  2.788	 0.484
 9.5	iso	r	  1.416	  0.813	3.798	  2.750	 0.474
 9.5	iso	r	  1.416	  0.821	3.800	  2.727	 0.468
 9.5	iso	r	  1.416	  0.830	3.802	  2.700	 0.462
 9.5	iso	r	  1.416	  0.841	3.803	  2.669	 0.456
 9.5	iso	r	  1.417	  0.857	3.804	  2.628	 0.452
 9.5	iso	r	  1.417	  0.861	3.802	  2.623	 0.461
 9.5	iso	r	  1.418	  0.866	3.800	  2.614	 0.468
 9.5	iso	r	  1.420	  0.873	3.799	  2.600	 0.473
 9.5	iso	r	  1.422	  0.879	3.797	  2.588	 0.478
 9.5	iso	r	  1.424	  0.885	3.796	  2.576	 0.484
 9.5	iso	r	  1.426	  0.891	3.794	  2.564	 0.489
 9.5	iso	r	  1.427	  0.897	3.793	  2.553	 0.494
 9.5	iso	r	  1.429	  0.902	3.792	  2.544	 0.500
 9.5	iso	r	  1.431	  0.907	3.790	  2.535	 0.506
 9.5	iso	r	  1.433	  0.912	3.788	  2.528	 0.514
 9.5	iso	r	  1.435	  0.916	3.785	  2.523	 0.523
 9.5	iso	r	  1.436	  0.918	3.784	  2.521	 0.528
 9.5	iso	r	  1.437	  0.919	3.782	  2.520	 0.534
 9.5	iso	r	  1.438	  0.920	3.781	  2.520	 0.541
 9.5	iso	r	  1.439	  0.921	3.779	  2.520	 0.547
 9.5	iso	r	  1.440	  0.921	3.777	  2.523	 0.555
 9.5	iso	r	  1.440	  0.921	3.775	  2.528	 0.564
 9.5	iso	r	  1.441	  0.920	3.773	  2.535	 0.574
 9.5	iso	r	  1.442	  0.920	3.772	  2.539	 0.579
 9.5	iso	r	  1.442	  0.919	3.770	  2.544	 0.584
 9.5	iso	r	  1.443	  0.917	3.769	  2.550	 0.590
 9.5	iso	r	  1.443	  0.916	3.768	  2.557	 0.596
 9.5	iso	r	  1.444	  0.914	3.766	  2.565	 0.604
 9.5	iso	r	  1.444	  0.911	3.764	  2.574	 0.612
 9.5	iso	r	  1.445	  0.909	3.762	  2.585	 0.621
 9.5	iso	r	  1.445	  0.905	3.760	  2.596	 0.629
 9.5	iso	r	  1.446	  0.902	3.758	  2.608	 0.638
 9.5	iso	r	  1.446	  0.900	3.757	  2.615	 0.643
 9.5	iso	r	  1.446	  0.895	3.755	  2.631	 0.653
 9.5	iso	r	  1.447	  0.889	3.753	  2.648	 0.663
 9.5	iso	r	  1.447	  0.886	3.752	  2.658	 0.668
 9.5	iso	r	  1.447	  0.883	3.751	  2.667	 0.673
 9.5	iso	r	  1.447	  0.879	3.749	  2.678	 0.679
 9.5	iso	r	  1.448	  0.875	3.748	  2.690	 0.685
 9.5	iso	r	  1.448	  0.871	3.747	  2.701	 0.691
 9.5	iso	r	  1.448	  0.867	3.746	  2.714	 0.696
 9.5	iso	r	  1.448	  0.863	3.744	  2.727	 0.702
 9.5	iso	r	  1.449	  0.858	3.743	  2.742	 0.708
 9.5	iso	r	  1.449	  0.853	3.742	  2.757	 0.715
 9.5	iso	r	  1.449	  0.848	3.740	  2.773	 0.722
 9.5	iso	r	  1.449	  0.842	3.738	  2.790	 0.730
 9.5	iso	r	  1.450	  0.837	3.737	  2.806	 0.738
 9.5	iso	r	  1.450	  0.831	3.735	  2.824	 0.746
 9.5	iso	r	  1.450	  0.825	3.733	  2.842	 0.754
 9.5	iso	r	  1.450	  0.819	3.732	  2.860	 0.763
 9.5	iso	r	  1.450	  0.814	3.730	  2.875	 0.770
 9.5	iso	r	  1.451	  0.808	3.729	  2.892	 0.777
 9.5	iso	r	  1.451	  0.802	3.727	  2.908	 0.784
 9.5	iso	r	  1.451	  0.797	3.726	  2.925	 0.791
 9.5	iso	r	  1.451	  0.791	3.724	  2.942	 0.800
 9.5	iso	r	  1.452	  0.785	3.722	  2.960	 0.808
 9.5	iso	r	  1.452	  0.780	3.720	  2.978	 0.817
 9.5	iso	r	  1.452	  0.775	3.718	  2.993	 0.825
 9.5	iso	r	  1.452	  0.770	3.716	  3.010	 0.833
 9.5	iso	r	  1.453	  0.766	3.715	  3.025	 0.840
 9.5	iso	r	  1.453	  0.762	3.713	  3.040	 0.847
 9.5	iso	r	  1.453	  0.759	3.712	  3.052	 0.853
 9.5	iso	r	  1.453	  0.757	3.711	  3.062	 0.859
 9.5	iso	r	  1.454	  0.754	3.709	  3.073	 0.865
 9.5	iso	r	  1.454	  0.753	3.708	  3.082	 0.871
 9.5	iso	r	  1.454	  0.751	3.706	  3.091	 0.878
 9.5	iso	r	  1.454	  0.750	3.705	  3.099	 0.884
 9.5	iso	r	  1.454	  0.750	3.704	  3.107	 0.891
 9.5	iso	r	  1.455	  0.750	3.703	  3.110	 0.897
 9.5	iso	r	  1.455	  0.752	3.702	  3.112	 0.902
 9.5	iso	r	  1.455	  0.754	3.701	  3.113	 0.907
 9.5	iso	r	  1.455	  0.755	3.700	  3.114	 0.912
 9.5	iso	r	  1.456	  0.757	3.699	  3.116	 0.917
 9.5	iso	r	  1.456	  0.761	3.697	  3.112	 0.926
 9.5	iso	r	  1.457	  0.768	3.695	  3.102	 0.933
 9.5	iso	r	  1.457	  0.776	3.694	  3.089	 0.939
 9.5	iso	r	  1.458	  0.794	3.692	  3.050	 0.948
 9.5	iso	r	  1.458	  0.804	3.692	  3.031	 0.952
 9.5	iso	r	  1.459	  0.824	3.690	  2.989	 0.962
 9.5	iso	r	  1.460	  0.848	3.688	  2.936	 0.970
 9.5	iso	r	  1.461	  0.870	3.686	  2.889	 0.979
 9.5	iso	r	  1.463	  0.920	3.684	  2.773	 0.988
 9.5	iso	r	  1.464	  0.946	3.683	  2.712	 0.994
 9.5	iso	r	  1.466	  1.001	3.681	  2.583	 1.003
 9.5	iso	r	  1.466	  1.030	3.680	  2.514	 1.007
 9.5	iso	r	  1.467	  1.060	3.679	  2.446	 1.013
 9.5	iso	r	  1.468	  1.091	3.678	  2.374	 1.020
 9.5	iso	r	  1.469	  1.123	3.677	  2.299	 1.026
 9.5	iso	r	  1.470	  1.162	3.676	  2.207	 1.032
 9.5	iso	r	  1.471	  1.202	3.674	  2.116	 1.040
 9.5	iso	r	  1.471	  1.217	3.673	  2.082	 1.045
 9.5	iso	r	  1.472	  1.241	3.672	  2.028	 1.051
 9.5	iso	r	  1.472	  1.292	3.670	  1.910	 1.061
 9.5	iso	r	  1.474	  1.336	3.669	  1.808	 1.067

