#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2024-02-05T03:26:56 [V7.32.7]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	protocol=ASU	
#INFO	request_date=2024-02-05T03:26:56	
#INFO	request_post=https://vizier.cds.unistra.fr//viz-bin/asu-tsv	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:J/A+A/537/A146&tab:{J/A+A/537/A146/iso}&key:source=J/A+A/537/A146/iso&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-source=J/A+A/537/A146/iso
#-order=I
#-out=logAge
#logAge=8.5
#-out=iso
#iso=iso
#-out=Rot
#Rot=r
#Zini=0.014
#-out=Mass
#-out=logL
#-out=logTe
#-out=Vmag
#-out=B-V
#
#INFO	contact=cds-question@unistra.fr	
#INFO	version=7.32.7	
#INFO	-out.max=unlimited	

#RESOURCE=yCat_35370146
#Name: J/A+A/537/A146
#Title: Stellar models with rotation. 0.8<M<120, Z=0.014 (Ekstrom+, 2012)
#INFO	ivoid=ivo://cds.vizier/j/a+a/537/a146	
#INFO	publisher=CDS	
#INFO	creator=Ekstrom S.	
#INFO	related_resource=bibcode:2012A&A...537A.146E	
#INFO	landing_page=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/537/A146	
#INFO	publication_id=doi:10.26093/cds/vizier.35370146	
#INFO	publication_date=2012-04-03	
#INFO	curation_level=RESEARCH	
#INFO	rights=https://cds.unistra.fr/vizier-org/licences_vizier.html	
#Table	J_A_A_537_A146_iso:
#Name: J/A+A/537/A146/iso
#Title: Isochrnones
#Column	logAge	(F4.1)	Initial age	[ucd=time.age]
#Column	iso	(A3)	Isochrone for this age	[ucd=meta.ref.url]
#Column	Rot	(A1)	[nr] r for rotation, n for no rotation	[ucd=meta.code]
#Column	Mass	(F7.3)	Actual mass at the age of the isochrone	[ucd=phys.mass]
#Column	logL	(F7.3)	Luminosity in log scale	[ucd=phys.luminosity]
#Column	logTe	(F5.3)	Effective temperature in log scale	[ucd=phys.temperature.effective;instr.scale]
#Column	Vmag	(F7.3)	V-band absolute magnitude	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F6.3)	B-V colour index	[ucd=phot.color;em.opt.B;em.opt.V]
logAge	iso	Rot	Mass	logL	logTe	Vmag	B-V
 8.5	iso	r	  0.927	 -0.287	3.733	  5.701	 0.735
 8.5	iso	r	  0.930	 -0.278	3.734	  5.676	 0.730
 8.5	iso	r	  0.934	 -0.270	3.735	  5.651	 0.724
 8.5	iso	r	  0.938	 -0.262	3.736	  5.627	 0.718
 8.5	iso	r	  0.942	 -0.253	3.738	  5.602	 0.712
 8.5	iso	r	  0.945	 -0.245	3.739	  5.578	 0.707
 8.5	iso	r	  0.949	 -0.237	3.740	  5.553	 0.701
 8.5	iso	r	  0.956	 -0.221	3.742	  5.504	 0.692
 8.5	iso	r	  0.964	 -0.204	3.744	  5.456	 0.683
 8.5	iso	r	  0.971	 -0.188	3.746	  5.408	 0.674
 8.5	iso	r	  0.979	 -0.172	3.749	  5.361	 0.666
 8.5	iso	r	  0.986	 -0.156	3.751	  5.314	 0.657
 8.5	iso	r	  0.994	 -0.141	3.753	  5.267	 0.648
 8.5	iso	r	  1.001	 -0.125	3.755	  5.220	 0.640
 8.5	iso	r	  1.009	 -0.109	3.757	  5.174	 0.632
 8.5	iso	r	  1.016	 -0.094	3.759	  5.129	 0.625
 8.5	iso	r	  1.023	 -0.078	3.761	  5.084	 0.617
 8.5	iso	r	  1.031	 -0.063	3.763	  5.039	 0.610
 8.5	iso	r	  1.038	 -0.048	3.765	  4.994	 0.602
 8.5	iso	r	  1.046	 -0.032	3.766	  4.950	 0.595
 8.5	iso	r	  1.053	 -0.017	3.768	  4.906	 0.588
 8.5	iso	r	  1.061	 -0.002	3.770	  4.862	 0.581
 8.5	iso	r	  1.068	  0.012	3.772	  4.819	 0.574
 8.5	iso	r	  1.076	  0.027	3.774	  4.776	 0.566
 8.5	iso	r	  1.083	  0.042	3.776	  4.733	 0.559
 8.5	iso	r	  1.091	  0.057	3.777	  4.690	 0.552
 8.5	iso	r	  1.098	  0.071	3.779	  4.650	 0.546
 8.5	iso	r	  1.113	  0.096	3.782	  4.580	 0.536
 8.5	iso	r	  1.128	  0.120	3.784	  4.514	 0.526
 8.5	iso	r	  1.143	  0.144	3.787	  4.448	 0.517
 8.5	iso	r	  1.158	  0.168	3.789	  4.384	 0.508
 8.5	iso	r	  1.172	  0.192	3.792	  4.320	 0.499
 8.5	iso	r	  1.187	  0.215	3.794	  4.256	 0.490
 8.5	iso	r	  1.202	  0.238	3.796	  4.194	 0.481
 8.5	iso	r	  1.217	  0.260	3.799	  4.132	 0.472
 8.5	iso	r	  1.232	  0.282	3.801	  4.071	 0.464
 8.5	iso	r	  1.247	  0.304	3.804	  4.011	 0.456
 8.5	iso	r	  1.254	  0.316	3.805	  3.978	 0.451
 8.5	iso	r	  1.262	  0.329	3.806	  3.943	 0.445
 8.5	iso	r	  1.269	  0.342	3.808	  3.908	 0.440
 8.5	iso	r	  1.277	  0.354	3.809	  3.874	 0.435
 8.5	iso	r	  1.284	  0.366	3.810	  3.840	 0.429
 8.5	iso	r	  1.292	  0.379	3.812	  3.806	 0.424
 8.5	iso	r	  1.307	  0.403	3.815	  3.740	 0.415
 8.5	iso	r	  1.321	  0.427	3.817	  3.676	 0.406
 8.5	iso	r	  1.336	  0.451	3.820	  3.613	 0.398
 8.5	iso	r	  1.351	  0.475	3.823	  3.551	 0.389
 8.5	iso	r	  1.366	  0.497	3.826	  3.491	 0.379
 8.5	iso	r	  1.381	  0.519	3.829	  3.432	 0.369
 8.5	iso	r	  1.396	  0.541	3.832	  3.374	 0.360
 8.5	iso	r	  1.411	  0.562	3.835	  3.316	 0.350
 8.5	iso	r	  1.426	  0.584	3.838	  3.259	 0.340
 8.5	iso	r	  1.441	  0.605	3.841	  3.202	 0.331
 8.5	iso	r	  1.456	  0.626	3.844	  3.146	 0.322
 8.5	iso	r	  1.470	  0.647	3.847	  3.094	 0.314
 8.5	iso	r	  1.485	  0.667	3.850	  3.042	 0.308
 8.5	iso	r	  1.500	  0.688	3.853	  2.991	 0.301
 8.5	iso	r	  1.515	  0.707	3.857	  2.942	 0.292
 8.5	iso	r	  1.530	  0.726	3.860	  2.894	 0.284
 8.5	iso	r	  1.545	  0.746	3.864	  2.846	 0.276
 8.5	iso	r	  1.560	  0.764	3.868	  2.799	 0.267
 8.5	iso	r	  1.575	  0.783	3.871	  2.752	 0.259
 8.5	iso	r	  1.590	  0.802	3.875	  2.705	 0.251
 8.5	iso	r	  1.605	  0.820	3.878	  2.661	 0.242
 8.5	iso	r	  1.619	  0.839	3.881	  2.618	 0.234
 8.5	iso	r	  1.634	  0.857	3.885	  2.575	 0.226
 8.5	iso	r	  1.649	  0.875	3.888	  2.532	 0.217
 8.5	iso	r	  1.664	  0.893	3.892	  2.490	 0.209
 8.5	iso	r	  1.679	  0.910	3.895	  2.448	 0.200
 8.5	iso	r	  1.694	  0.928	3.898	  2.406	 0.192
 8.5	iso	r	  1.709	  0.945	3.901	  2.366	 0.184
 8.5	iso	r	  1.724	  0.962	3.904	  2.328	 0.177
 8.5	iso	r	  1.739	  0.978	3.907	  2.292	 0.170
 8.5	iso	r	  1.754	  0.994	3.910	  2.256	 0.164
 8.5	iso	r	  1.768	  1.010	3.913	  2.220	 0.157
 8.5	iso	r	  1.783	  1.026	3.916	  2.185	 0.151
 8.5	iso	r	  1.798	  1.042	3.918	  2.150	 0.145
 8.5	iso	r	  1.813	  1.057	3.921	  2.115	 0.138
 8.5	iso	r	  1.828	  1.073	3.924	  2.080	 0.133
 8.5	iso	r	  1.843	  1.088	3.926	  2.046	 0.127
 8.5	iso	r	  1.858	  1.103	3.929	  2.011	 0.121
 8.5	iso	r	  1.873	  1.118	3.931	  1.980	 0.114
 8.5	iso	r	  1.888	  1.133	3.934	  1.949	 0.107
 8.5	iso	r	  1.903	  1.148	3.936	  1.919	 0.100
 8.5	iso	r	  1.917	  1.163	3.938	  1.888	 0.094
 8.5	iso	r	  1.932	  1.178	3.941	  1.858	 0.087
 8.5	iso	r	  1.947	  1.193	3.943	  1.828	 0.080
 8.5	iso	r	  1.962	  1.208	3.946	  1.797	 0.074
 8.5	iso	r	  1.977	  1.223	3.948	  1.766	 0.067
 8.5	iso	r	  1.992	  1.237	3.950	  1.736	 0.060
 8.5	iso	r	  2.007	  1.252	3.952	  1.706	 0.054
 8.5	iso	r	  2.037	  1.280	3.957	  1.648	 0.045
 8.5	iso	r	  2.066	  1.308	3.961	  1.590	 0.036
 8.5	iso	r	  2.096	  1.335	3.964	  1.532	 0.028
 8.5	iso	r	  2.126	  1.363	3.968	  1.474	 0.020
 8.5	iso	r	  2.156	  1.390	3.972	  1.417	 0.012
 8.5	iso	r	  2.186	  1.417	3.976	  1.360	 0.005
 8.5	iso	r	  2.215	  1.444	3.979	  1.305	-0.002
 8.5	iso	r	  2.275	  1.497	3.986	  1.200	-0.011
 8.5	iso	r	  2.335	  1.550	3.992	  1.094	-0.020
 8.5	iso	r	  2.394	  1.602	3.998	  0.988	-0.028
 8.5	iso	r	  2.454	  1.654	4.004	  0.885	-0.034
 8.5	iso	r	  2.513	  1.705	4.009	  0.781	-0.040
 8.5	iso	r	  2.573	  1.755	4.014	  0.679	-0.045
 8.5	iso	r	  2.633	  1.804	4.018	  0.575	-0.049
 8.5	iso	r	  2.692	  1.854	4.021	  0.468	-0.053
 8.5	iso	r	  2.752	  1.904	4.024	  0.358	-0.056
 8.5	iso	r	  2.811	  1.953	4.026	  0.245	-0.059
 8.5	iso	r	  2.871	  2.003	4.028	  0.128	-0.061
 8.5	iso	r	  2.931	  2.054	4.028	  0.005	-0.061
 8.5	iso	r	  2.990	  2.104	4.028	 -0.125	-0.061
 8.5	iso	r	  3.050	  2.154	4.026	 -0.256	-0.059
 8.5	iso	r	  3.109	  2.203	4.023	 -0.396	-0.055
 8.5	iso	r	  3.169	  2.253	4.017	 -0.548	-0.049
 8.5	iso	r	  3.229	  2.304	4.009	 -0.714	-0.040
 8.5	iso	r	  3.288	  2.365	4.006	 -0.884	-0.037
 8.5	iso	r	  3.296	  2.381	4.012	 -0.895	-0.043
 8.5	iso	r	  3.299	  2.394	4.019	 -0.893	-0.051
 8.5	iso	r	  3.307	  2.480	4.022	 -1.091	-0.054
 8.5	iso	r	  3.309	  2.486	4.017	 -1.134	-0.048
 8.5	iso	r	  3.311	  2.491	4.011	 -1.176	-0.042
 8.5	iso	r	  3.313	  2.496	4.004	 -1.218	-0.035
 8.5	iso	r	  3.313	  2.498	4.000	 -1.243	-0.030
 8.5	iso	r	  3.314	  2.500	3.996	 -1.267	-0.024
 8.5	iso	r	  3.315	  2.502	3.992	 -1.287	-0.019
 8.5	iso	r	  3.316	  2.503	3.987	 -1.311	-0.012
 8.5	iso	r	  3.317	  2.504	3.981	 -1.340	-0.004
 8.5	iso	r	  3.318	  2.505	3.977	 -1.354	 0.002
 8.5	iso	r	  3.318	  2.505	3.974	 -1.363	 0.008
 8.5	iso	r	  3.319	  2.505	3.970	 -1.375	 0.016
 8.5	iso	r	  3.319	  2.505	3.966	 -1.387	 0.025
 8.5	iso	r	  3.319	  2.504	3.961	 -1.400	 0.035
 8.5	iso	r	  3.320	  2.504	3.959	 -1.406	 0.040
 8.5	iso	r	  3.320	  2.504	3.956	 -1.413	 0.045
 8.5	iso	r	  3.320	  2.503	3.953	 -1.421	 0.052
 8.5	iso	r	  3.320	  2.503	3.950	 -1.427	 0.060
 8.5	iso	r	  3.321	  2.502	3.948	 -1.433	 0.067
 8.5	iso	r	  3.321	  2.501	3.945	 -1.440	 0.076
 8.5	iso	r	  3.321	  2.500	3.941	 -1.447	 0.086
 8.5	iso	r	  3.321	  2.500	3.939	 -1.451	 0.091
 8.5	iso	r	  3.321	  2.499	3.937	 -1.455	 0.097
 8.5	iso	r	  3.321	  2.499	3.935	 -1.459	 0.102
 8.5	iso	r	  3.322	  2.498	3.933	 -1.463	 0.108
 8.5	iso	r	  3.322	  2.497	3.931	 -1.467	 0.114
 8.5	iso	r	  3.322	  2.497	3.929	 -1.471	 0.119
 8.5	iso	r	  3.322	  2.495	3.925	 -1.473	 0.129
 8.5	iso	r	  3.322	  2.494	3.923	 -1.475	 0.134
 8.5	iso	r	  3.322	  2.493	3.920	 -1.476	 0.140
 8.5	iso	r	  3.322	  2.492	3.918	 -1.477	 0.146
 8.5	iso	r	  3.323	  2.491	3.915	 -1.478	 0.151
 8.5	iso	r	  3.323	  2.490	3.913	 -1.479	 0.157
 8.5	iso	r	  3.323	  2.488	3.910	 -1.478	 0.163
 8.5	iso	r	  3.323	  2.487	3.907	 -1.478	 0.168
 8.5	iso	r	  3.323	  2.486	3.905	 -1.477	 0.174
 8.5	iso	r	  3.323	  2.484	3.902	 -1.475	 0.181
 8.5	iso	r	  3.323	  2.482	3.898	 -1.471	 0.189
 8.5	iso	r	  3.323	  2.480	3.895	 -1.467	 0.197
 8.5	iso	r	  3.324	  2.479	3.892	 -1.464	 0.204
 8.5	iso	r	  3.324	  2.477	3.889	 -1.459	 0.212
 8.5	iso	r	  3.324	  2.475	3.885	 -1.454	 0.222
 8.5	iso	r	  3.324	  2.472	3.882	 -1.448	 0.231
 8.5	iso	r	  3.324	  2.470	3.878	 -1.441	 0.240
 8.5	iso	r	  3.324	  2.467	3.874	 -1.433	 0.251
 8.5	iso	r	  3.324	  2.464	3.870	 -1.424	 0.262
 8.5	iso	r	  3.324	  2.462	3.866	 -1.415	 0.273
 8.5	iso	r	  3.324	  2.458	3.861	 -1.405	 0.286
 8.5	iso	r	  3.325	  2.455	3.856	 -1.395	 0.299
 8.5	iso	r	  3.325	  2.452	3.852	 -1.388	 0.312
 8.5	iso	r	  3.325	  2.447	3.846	 -1.378	 0.327
 8.5	iso	r	  3.325	  2.443	3.841	 -1.364	 0.344
 8.5	iso	r	  3.325	  2.438	3.835	 -1.350	 0.361
 8.5	iso	r	  3.325	  2.434	3.830	 -1.335	 0.378
 8.5	iso	r	  3.325	  2.428	3.823	 -1.318	 0.398
 8.5	iso	r	  3.325	  2.423	3.817	 -1.300	 0.418
 8.5	iso	r	  3.326	  2.417	3.810	 -1.279	 0.440
 8.5	iso	r	  3.326	  2.410	3.804	 -1.255	 0.463
 8.5	iso	r	  3.326	  2.403	3.797	 -1.231	 0.486
 8.5	iso	r	  3.326	  2.396	3.790	 -1.206	 0.511
 8.5	iso	r	  3.326	  2.386	3.783	 -1.174	 0.540
 8.5	iso	r	  3.326	  2.377	3.776	 -1.142	 0.570
 8.5	iso	r	  3.326	  2.368	3.769	 -1.110	 0.599
 8.5	iso	r	  3.326	  2.357	3.762	 -1.071	 0.631
 8.5	iso	r	  3.326	  2.345	3.755	 -1.028	 0.663
 8.5	iso	r	  3.327	  2.333	3.748	 -0.985	 0.696
 8.5	iso	r	  3.327	  2.319	3.741	 -0.933	 0.724
 8.5	iso	r	  3.327	  2.304	3.735	 -0.879	 0.752
 8.5	iso	r	  3.327	  2.289	3.729	 -0.825	 0.779
 8.5	iso	r	  3.327	  2.273	3.724	 -0.770	 0.802
 8.5	iso	r	  3.327	  2.255	3.719	 -0.712	 0.820
 8.5	iso	r	  3.327	  2.238	3.715	 -0.655	 0.838
 8.5	iso	r	  3.327	  2.220	3.711	 -0.598	 0.856
 8.5	iso	r	  3.328	  2.204	3.708	 -0.545	 0.872
 8.5	iso	r	  3.328	  2.188	3.704	 -0.490	 0.889
 8.5	iso	r	  3.328	  2.171	3.701	 -0.431	 0.907
 8.5	iso	r	  3.328	  2.161	3.697	 -0.387	 0.926
 8.5	iso	r	  3.328	  2.155	3.693	 -0.354	 0.946
 8.5	iso	r	  3.328	  2.150	3.689	 -0.321	 0.966
 8.5	iso	r	  3.328	  2.156	3.686	 -0.324	 0.981
 8.5	iso	r	  3.328	  2.164	3.683	 -0.332	 0.996
 8.5	iso	r	  3.329	  2.173	3.680	 -0.340	 1.010
 8.5	iso	r	  3.329	  2.188	3.678	 -0.366	 1.022
 8.5	iso	r	  3.329	  2.204	3.675	 -0.396	 1.034
 8.5	iso	r	  3.329	  2.220	3.673	 -0.424	 1.045
 8.5	iso	r	  3.329	  2.235	3.671	 -0.452	 1.056
 8.5	iso	r	  3.329	  2.250	3.669	 -0.478	 1.066
 8.5	iso	r	  3.329	  2.263	3.667	 -0.504	 1.074
 8.5	iso	r	  3.329	  2.277	3.665	 -0.530	 1.083
 8.5	iso	r	  3.329	  2.291	3.664	 -0.556	 1.091
 8.5	iso	r	  3.330	  2.304	3.663	 -0.584	 1.097
 8.5	iso	r	  3.330	  2.317	3.661	 -0.611	 1.103
 8.5	iso	r	  3.330	  2.342	3.660	 -0.662	 1.112
 8.5	iso	r	  3.330	  2.366	3.658	 -0.714	 1.120
 8.5	iso	r	  3.330	  2.389	3.656	 -0.765	 1.128
 8.5	iso	r	  3.331	  2.412	3.654	 -0.813	 1.137
 8.5	iso	r	  3.331	  2.424	3.653	 -0.836	 1.143
 8.5	iso	r	  3.331	  2.447	3.652	 -0.885	 1.152
 8.5	iso	r	  3.331	  2.470	3.650	 -0.933	 1.162
 8.5	iso	r	  3.331	  2.481	3.648	 -0.954	 1.168
 8.5	iso	r	  3.331	  2.492	3.647	 -0.974	 1.173
 8.5	iso	r	  3.331	  2.503	3.646	 -0.995	 1.179
 8.5	iso	r	  3.331	  2.515	3.645	 -1.016	 1.185
 8.5	iso	r	  3.332	  2.538	3.643	 -1.063	 1.194
 8.5	iso	r	  3.332	  2.561	3.642	 -1.112	 1.202
 8.5	iso	r	  3.332	  2.585	3.640	 -1.161	 1.211
 8.5	iso	r	  3.332	  2.608	3.638	 -1.207	 1.220
 8.5	iso	r	  3.332	  2.620	3.637	 -1.229	 1.226
 8.5	iso	r	  3.333	  2.642	3.635	 -1.274	 1.235
 8.5	iso	r	  3.333	  2.664	3.633	 -1.320	 1.243
 8.5	iso	r	  3.333	  2.683	3.632	 -1.356	 1.252
 8.5	iso	r	  3.333	  2.683	3.632	 -1.357	 1.251
 8.5	iso	r	  3.334	  2.666	3.634	 -1.326	 1.242
 8.5	iso	r	  3.334	  2.648	3.635	 -1.288	 1.236
 8.5	iso	r	  3.335	  2.630	3.636	 -1.251	 1.230
 8.5	iso	r	  3.336	  2.605	3.638	 -1.198	 1.220
 8.5	iso	r	  3.338	  2.591	3.639	 -1.172	 1.215
 8.5	iso	r	  3.340	  2.578	3.640	 -1.146	 1.208
 8.5	iso	r	  3.341	  2.564	3.642	 -1.120	 1.201
 8.5	iso	r	  3.343	  2.550	3.643	 -1.094	 1.194
 8.5	iso	r	  3.344	  2.537	3.645	 -1.069	 1.187
 8.5	iso	r	  3.346	  2.523	3.646	 -1.042	 1.180
 8.5	iso	r	  3.347	  2.509	3.647	 -1.016	 1.174
 8.5	iso	r	  3.349	  2.492	3.649	 -0.983	 1.165
 8.5	iso	r	  3.350	  2.481	3.650	 -0.962	 1.160
 8.5	iso	r	  3.351	  2.470	3.651	 -0.940	 1.154
 8.5	iso	r	  3.351	  2.457	3.652	 -0.915	 1.149
 8.5	iso	r	  3.352	  2.445	3.653	 -0.889	 1.144
 8.5	iso	r	  3.354	  2.422	3.655	 -0.840	 1.134
 8.5	iso	r	  3.356	  2.399	3.657	 -0.794	 1.124
 8.5	iso	r	  3.357	  2.389	3.658	 -0.774	 1.119
 8.5	iso	r	  3.357	  2.379	3.659	 -0.754	 1.114
 8.5	iso	r	  3.359	  2.360	3.661	 -0.716	 1.104
 8.5	iso	r	  3.361	  2.342	3.663	 -0.680	 1.094
 8.5	iso	r	  3.363	  2.325	3.665	 -0.647	 1.085
 8.5	iso	r	  3.364	  2.310	3.667	 -0.618	 1.077
 8.5	iso	r	  3.366	  2.297	3.668	 -0.595	 1.068
 8.5	iso	r	  3.368	  2.287	3.670	 -0.576	 1.061
 8.5	iso	r	  3.370	  2.278	3.671	 -0.562	 1.054
 8.5	iso	r	  3.371	  2.271	3.673	 -0.551	 1.046
 8.5	iso	r	  3.373	  2.265	3.674	 -0.543	 1.040
 8.5	iso	r	  3.377	  2.259	3.676	 -0.536	 1.030
 8.5	iso	r	  3.380	  2.256	3.678	 -0.538	 1.020
 8.5	iso	r	  3.384	  2.257	3.680	 -0.547	 1.012
 8.5	iso	r	  3.387	  2.262	3.681	 -0.567	 1.003
 8.5	iso	r	  3.389	  2.266	3.682	 -0.582	 0.998
 8.5	iso	r	  3.391	  2.271	3.684	 -0.600	 0.992
 8.5	iso	r	  3.395	  2.282	3.686	 -0.638	 0.983
 8.5	iso	r	  3.396	  2.290	3.686	 -0.662	 0.978
 8.5	iso	r	  3.400	  2.304	3.688	 -0.705	 0.969
 8.5	iso	r	  3.402	  2.312	3.689	 -0.731	 0.964
 8.5	iso	r	  3.403	  2.321	3.691	 -0.758	 0.956
 8.5	iso	r	  3.407	  2.335	3.693	 -0.802	 0.947
 8.5	iso	r	  3.414	  2.354	3.694	 -0.860	 0.937
 8.5	iso	r	  3.420	  2.368	3.693	 -0.888	 0.946
 8.5	iso	r	  3.427	  2.386	3.692	 -0.929	 0.948
 8.5	iso	r	  3.430	  2.389	3.691	 -0.930	 0.956
 8.5	iso	r	  3.431	  2.390	3.690	 -0.930	 0.960
 8.5	iso	r	  3.433	  2.390	3.689	 -0.921	 0.967
 8.5	iso	r	  3.435	  2.388	3.687	 -0.910	 0.975
 8.5	iso	r	  3.436	  2.387	3.685	 -0.898	 0.984
 8.5	iso	r	  3.437	  2.384	3.684	 -0.886	 0.990
 8.5	iso	r	  3.439	  2.383	3.683	 -0.877	 0.997
 8.5	iso	r	  3.442	  2.384	3.681	 -0.872	 1.006
 8.5	iso	r	  3.443	  2.382	3.680	 -0.861	 1.012
 8.5	iso	r	  3.443	  2.380	3.679	 -0.852	 1.017
 8.5	iso	r	  3.445	  2.378	3.677	 -0.838	 1.026
 8.5	iso	r	  3.448	  2.382	3.676	 -0.841	 1.033
 8.5	iso	r	  3.456	  2.392	3.674	 -0.863	 1.038
 8.5	iso	r	  3.470	  2.414	3.673	 -0.910	 1.046
 8.5	iso	r	  3.484	  2.438	3.671	 -0.959	 1.055
 8.5	iso	r	  3.491	  2.450	3.670	 -0.983	 1.060
 8.5	iso	r	  3.505	  2.474	3.668	 -1.034	 1.070
 8.5	iso	r	  3.512	  2.486	3.667	 -1.058	 1.077
 8.5	iso	r	  3.519	  2.499	3.665	 -1.082	 1.085
 8.5	iso	r	  3.522	  2.506	3.664	 -1.094	 1.091
