#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2024-11-14T21:37:55 [V7.4.1]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2024-11-14T21:37:55	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-source=J/A+A/537/A146/iso&-order=I&-out=logAge&logAge=8.5&-out=iso&iso=iso&-out=Rot&Rot=r&-out=Mini&-out=Zini&Zini=0.014&-out=Mass&-out=logL&-out=logTe&-out=Mbol&-out=Vmag&-out=U-B&-out=B-V&-out=logg&-out=Veq&-out=OOc&-out=logdM/dtm&-out=He4&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.4.1	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_35370146
#Name: J/A+A/537/A146
#Title: Stellar models with rotation. 0.8<M<120, Z=0.014 (Ekstrom+, 2012)
#INFO	ivoid=ivo://cds.vizier/j/a+a/537/a146	    IVOID of underlying data collection
#INFO	creator=Ekstrom S.	    First author or institution
#INFO	cites=bibcode:2012A&A...537A.146E	    Article or Data origin sources
#INFO	editor=Astronomy and Astrophysics	    Editor name (article)
#INFO	original_date=2012	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/537/A146	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.35370146	    Dataset identifier that can be used for citation
#INFO	publication_date=2012-04-03	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_537_A146_iso:
#Name: J/A+A/537/A146/iso
#Title: Isochrnones
#Column	logAge	(F4.1)	Initial age	[ucd=time.age]
#Column	iso	(A3)	Isochrone for this age	[ucd=meta.ref.url]
#Column	Rot	(A1)	[nr] r for rotation, n for no rotation	[ucd=meta.code]
#Column	Mini	(F7.3)	Initial mass	[ucd=phys.mass]
#Column	Zini	(F5.3)	[0.014] Initial metallicity	[ucd=phys.abund.Z]
#Column	Mass	(F7.3)	Actual mass at the age of the isochrone	[ucd=phys.mass]
#Column	logL	(F7.3)	Luminosity in log scale	[ucd=phys.luminosity]
#Column	logTe	(F5.3)	Effective temperature in log scale	[ucd=phys.temperature.effective;instr.scale]
#Column	Mbol	(F7.3)	Bolometric magnitude	[ucd=phys.magAbs.bol]
#Column	Vmag	(F7.3)	V-band absolute magnitude	[ucd=phot.mag;em.opt.V]
#Column	U-B	(F6.3)	U-B colour index	[ucd=phot.color;em.opt.U;em.opt.B]
#Column	B-V	(F6.3)	B-V colour index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	logg	(F6.3)	Polar effective surface gravity in log scale	[ucd=instr.scale]
#Column	Veq	(F9.2)	Equatorial velocity	[ucd=phys.veloc;pos.eq]
#Column	OOc	(F7.4)	Actual {Omega}_surf_/{Omega}_crit_	[ucd=stat.fit.param]
#Column	logdM/dtm	(F8.3)	Mechanical mass loss in log scale	[ucd=phys.mass.loss]
#Column	He4	(E9.2)	4He surface abundance (mass fraction)	[ucd=phys.abund]
logAge	iso	Rot	Mini	Zini	Mass	logL	logTe	Mbol	Vmag	U-B	B-V	logg	Veq	OOc	logdM/dtm	He4
 8.5	iso	r	  0.871	0.014	  0.871	 -0.416	3.714	  5.790	  6.089	 0.360	 0.829	 4.603	     3.47	 0.0000	   0.000	 2.65e-01
 8.5	iso	r	  0.874	0.014	  0.874	 -0.407	3.715	  5.768	  6.062	 0.353	 0.822	 4.601	     3.49	 0.0000	   0.000	 2.65e-01
 8.5	iso	r	  0.878	0.014	  0.878	 -0.398	3.717	  5.746	  6.035	 0.346	 0.816	 4.600	     3.51	 0.0000	   0.000	 2.65e-01
 8.5	iso	r	  0.882	0.014	  0.882	 -0.390	3.718	  5.724	  6.009	 0.340	 0.809	 4.598	     3.53	 0.0000	   0.000	 2.65e-01
 8.5	iso	r	  0.886	0.014	  0.886	 -0.381	3.719	  5.702	  5.982	 0.333	 0.803	 4.597	     3.55	 0.0000	   0.000	 2.65e-01
 8.5	iso	r	  0.889	0.014	  0.889	 -0.372	3.721	  5.680	  5.956	 0.326	 0.796	 4.595	     3.56	 0.0000	   0.000	 2.65e-01
 8.5	iso	r	  0.893	0.014	  0.893	 -0.364	3.722	  5.659	  5.930	 0.320	 0.790	 4.594	     3.58	 0.0000	   0.000	 2.65e-01
 8.5	iso	r	  0.897	0.014	  0.897	 -0.355	3.723	  5.637	  5.904	 0.313	 0.783	 4.592	     3.59	 0.0000	   0.000	 2.65e-01
 8.5	iso	r	  0.901	0.014	  0.901	 -0.346	3.725	  5.616	  5.878	 0.306	 0.776	 4.590	     3.61	 0.0000	   0.000	 2.65e-01
 8.5	iso	r	  0.904	0.014	  0.904	 -0.338	3.726	  5.594	  5.852	 0.300	 0.770	 4.588	     3.63	 0.0000	   0.000	 2.65e-01
 8.5	iso	r	  0.908	0.014	  0.908	 -0.329	3.727	  5.573	  5.827	 0.295	 0.765	 4.586	     3.66	 0.0000	   0.000	 2.65e-01
 8.5	iso	r	  0.912	0.014	  0.912	 -0.321	3.728	  5.552	  5.802	 0.289	 0.759	 4.584	     3.68	 0.0000	   0.000	 2.65e-01
 8.5	iso	r	  0.915	0.014	  0.915	 -0.312	3.729	  5.530	  5.776	 0.283	 0.753	 4.582	     3.70	 0.0000	   0.000	 2.65e-01
 8.5	iso	r	  0.919	0.014	  0.919	 -0.304	3.731	  5.509	  5.751	 0.277	 0.747	 4.580	     3.72	 0.0000	   0.000	 2.65e-01
 8.5	iso	r	  0.923	0.014	  0.923	 -0.295	3.732	  5.488	  5.726	 0.271	 0.741	 4.578	     3.73	 0.0000	   0.000	 2.65e-01
 8.5	iso	r	  0.927	0.014	  0.927	 -0.287	3.733	  5.467	  5.701	 0.265	 0.735	 4.576	     3.75	 0.0000	   0.000	 2.65e-01
 8.5	iso	r	  0.930	0.014	  0.930	 -0.278	3.734	  5.446	  5.676	 0.260	 0.730	 4.574	     3.76	 0.0000	   0.000	 2.65e-01
 8.5	iso	r	  0.934	0.014	  0.934	 -0.270	3.735	  5.425	  5.651	 0.254	 0.724	 4.572	     3.78	 0.0000	   0.000	 2.65e-01
 8.5	iso	r	  0.938	0.014	  0.938	 -0.262	3.736	  5.404	  5.627	 0.248	 0.718	 4.570	     3.81	 0.0000	   0.000	 2.65e-01
 8.5	iso	r	  0.942	0.014	  0.942	 -0.253	3.738	  5.384	  5.602	 0.242	 0.712	 4.568	     3.84	 0.0000	   0.000	 2.65e-01
 8.5	iso	r	  0.945	0.014	  0.945	 -0.245	3.739	  5.363	  5.578	 0.237	 0.707	 4.566	     3.87	 0.0000	   0.000	 2.65e-01
 8.5	iso	r	  0.949	0.014	  0.949	 -0.237	3.740	  5.342	  5.553	 0.231	 0.701	 4.564	     3.90	 0.0000	   0.000	 2.65e-01
 8.5	iso	r	  0.956	0.014	  0.956	 -0.221	3.742	  5.301	  5.504	 0.220	 0.692	 4.560	     3.95	 0.0000	   0.000	 2.65e-01
 8.5	iso	r	  0.964	0.014	  0.964	 -0.204	3.744	  5.261	  5.456	 0.209	 0.683	 4.556	     4.00	 0.0000	   0.000	 2.65e-01
 8.5	iso	r	  0.971	0.014	  0.971	 -0.188	3.746	  5.221	  5.408	 0.198	 0.674	 4.552	     4.05	 0.0000	   0.000	 2.65e-01
 8.5	iso	r	  0.979	0.014	  0.979	 -0.172	3.749	  5.181	  5.361	 0.186	 0.666	 4.549	     4.09	 0.0000	   0.000	 2.65e-01
 8.5	iso	r	  0.986	0.014	  0.986	 -0.156	3.751	  5.141	  5.314	 0.176	 0.657	 4.545	     4.14	 0.0000	   0.000	 2.65e-01
 8.5	iso	r	  0.994	0.014	  0.994	 -0.141	3.753	  5.101	  5.267	 0.165	 0.648	 4.541	     4.18	 0.0000	   0.000	 2.65e-01
 8.5	iso	r	  1.001	0.014	  1.001	 -0.125	3.755	  5.062	  5.220	 0.154	 0.640	 4.537	     4.22	 0.0000	   0.000	 2.65e-01
 8.5	iso	r	  1.009	0.014	  1.009	 -0.109	3.757	  5.023	  5.174	 0.144	 0.632	 4.532	     4.29	 0.0000	   0.000	 2.65e-01
 8.5	iso	r	  1.016	0.014	  1.016	 -0.094	3.759	  4.984	  5.129	 0.135	 0.625	 4.528	     4.35	 0.0000	   0.000	 2.65e-01
 8.5	iso	r	  1.023	0.014	  1.023	 -0.078	3.761	  4.945	  5.084	 0.125	 0.617	 4.523	     4.41	 0.0000	   0.000	 2.65e-01
 8.5	iso	r	  1.031	0.014	  1.031	 -0.063	3.763	  4.907	  5.039	 0.116	 0.610	 4.518	     4.45	 0.0000	   0.000	 2.65e-01
 8.5	iso	r	  1.038	0.014	  1.038	 -0.048	3.765	  4.869	  4.994	 0.107	 0.602	 4.513	     4.52	 0.0000	   0.000	 2.65e-01
 8.5	iso	r	  1.046	0.014	  1.046	 -0.032	3.766	  4.831	  4.950	 0.097	 0.595	 4.509	     4.60	 0.0000	   0.000	 2.65e-01
 8.5	iso	r	  1.053	0.014	  1.053	 -0.017	3.768	  4.793	  4.906	 0.088	 0.588	 4.504	     4.68	 0.0000	   0.000	 2.65e-01
 8.5	iso	r	  1.061	0.014	  1.061	 -0.002	3.770	  4.756	  4.862	 0.079	 0.581	 4.500	     4.76	 0.0000	   0.000	 2.65e-01
 8.5	iso	r	  1.068	0.014	  1.068	  0.012	3.772	  4.719	  4.819	 0.070	 0.574	 4.495	     4.83	 0.0000	   0.000	 2.65e-01
 8.5	iso	r	  1.076	0.014	  1.076	  0.027	3.774	  4.682	  4.776	 0.061	 0.566	 4.491	     4.91	 0.0000	   0.000	 2.65e-01
 8.5	iso	r	  1.083	0.014	  1.083	  0.042	3.776	  4.645	  4.733	 0.052	 0.559	 4.486	     5.00	 0.0000	   0.000	 2.65e-01
 8.5	iso	r	  1.091	0.014	  1.091	  0.057	3.777	  4.608	  4.690	 0.043	 0.552	 4.482	     5.08	 0.0000	   0.000	 2.65e-01
 8.5	iso	r	  1.098	0.014	  1.098	  0.071	3.779	  4.572	  4.650	 0.038	 0.546	 4.477	     5.16	 0.0000	   0.000	 2.65e-01
 8.5	iso	r	  1.113	0.014	  1.113	  0.096	3.782	  4.509	  4.580	 0.034	 0.536	 4.469	     5.48	 0.0000	   0.000	 2.65e-01
 8.5	iso	r	  1.128	0.014	  1.128	  0.120	3.784	  4.449	  4.514	 0.030	 0.526	 4.460	     5.80	 0.0000	   0.000	 2.65e-01
 8.5	iso	r	  1.143	0.014	  1.143	  0.144	3.787	  4.389	  4.448	 0.026	 0.517	 4.452	     6.09	 0.0000	   0.000	 2.65e-01
 8.5	iso	r	  1.158	0.014	  1.158	  0.168	3.789	  4.330	  4.384	 0.022	 0.508	 4.444	     6.37	 0.0000	   0.000	 2.65e-01
 8.5	iso	r	  1.172	0.014	  1.172	  0.192	3.792	  4.271	  4.320	 0.018	 0.499	 4.435	     6.64	 0.0000	   0.000	 2.65e-01
 8.5	iso	r	  1.187	0.014	  1.187	  0.215	3.794	  4.213	  4.256	 0.014	 0.490	 4.427	     6.89	 0.0000	   0.000	 2.66e-01
 8.5	iso	r	  1.202	0.014	  1.202	  0.238	3.796	  4.156	  4.194	 0.010	 0.481	 4.419	     7.14	 0.0000	   0.000	 2.66e-01
 8.5	iso	r	  1.217	0.014	  1.217	  0.260	3.799	  4.100	  4.132	 0.007	 0.472	 4.412	     7.37	 0.0000	   0.000	 2.66e-01
 8.5	iso	r	  1.232	0.014	  1.232	  0.282	3.801	  4.044	  4.071	 0.003	 0.464	 4.404	     7.60	 0.0000	   0.000	 2.66e-01
 8.5	iso	r	  1.247	0.014	  1.247	  0.304	3.804	  3.989	  4.011	-0.001	 0.456	 4.396	     7.82	 0.0000	   0.000	 2.66e-01
 8.5	iso	r	  1.254	0.014	  1.254	  0.316	3.805	  3.959	  3.978	-0.003	 0.451	 4.392	     7.96	 0.0000	   0.000	 2.66e-01
 8.5	iso	r	  1.262	0.014	  1.262	  0.329	3.806	  3.928	  3.943	-0.005	 0.445	 4.388	     8.12	 0.0000	   0.000	 2.66e-01
 8.5	iso	r	  1.269	0.014	  1.269	  0.342	3.808	  3.896	  3.908	-0.007	 0.440	 4.383	     8.27	 0.0000	   0.000	 2.66e-01
 8.5	iso	r	  1.277	0.014	  1.277	  0.354	3.809	  3.865	  3.874	-0.010	 0.435	 4.379	     8.42	 0.0000	   0.000	 2.66e-01
 8.5	iso	r	  1.284	0.014	  1.284	  0.366	3.810	  3.834	  3.840	-0.012	 0.429	 4.375	     8.56	 0.0000	   0.000	 2.66e-01
 8.5	iso	r	  1.292	0.014	  1.292	  0.379	3.812	  3.803	  3.806	-0.014	 0.424	 4.371	     8.71	 0.0000	   0.000	 2.66e-01
 8.5	iso	r	  1.307	0.014	  1.307	  0.403	3.815	  3.742	  3.740	-0.014	 0.415	 4.363	     8.99	 0.0000	   0.000	 2.66e-01
 8.5	iso	r	  1.321	0.014	  1.321	  0.427	3.817	  3.682	  3.676	-0.011	 0.406	 4.354	     9.26	 0.0000	   0.000	 2.66e-01
 8.5	iso	r	  1.336	0.014	  1.336	  0.451	3.820	  3.622	  3.613	-0.008	 0.398	 4.346	     9.53	 0.0000	   0.000	 2.66e-01
 8.5	iso	r	  1.351	0.014	  1.351	  0.475	3.823	  3.563	  3.551	-0.005	 0.389	 4.338	     9.80	 0.0000	   0.000	 2.66e-01
 8.5	iso	r	  1.366	0.014	  1.366	  0.497	3.826	  3.508	  3.491	-0.001	 0.379	 4.334	    10.17	 0.0000	   0.000	 2.66e-01
 8.5	iso	r	  1.381	0.014	  1.381	  0.519	3.829	  3.452	  3.432	 0.002	 0.369	 4.329	    10.53	 0.0000	   0.000	 2.66e-01
 8.5	iso	r	  1.396	0.014	  1.396	  0.541	3.832	  3.398	  3.374	 0.006	 0.360	 4.324	    10.89	 0.0000	   0.000	 2.66e-01
 8.5	iso	r	  1.411	0.014	  1.411	  0.562	3.835	  3.344	  3.316	 0.009	 0.350	 4.319	    11.24	 0.0000	   0.000	 2.66e-01
 8.5	iso	r	  1.426	0.014	  1.426	  0.584	3.838	  3.291	  3.259	 0.013	 0.340	 4.315	    11.58	 0.0000	   0.000	 2.66e-01
 8.5	iso	r	  1.441	0.014	  1.441	  0.605	3.841	  3.238	  3.202	 0.016	 0.331	 4.310	    11.91	 0.0000	   0.000	 2.66e-01
 8.5	iso	r	  1.456	0.014	  1.456	  0.626	3.844	  3.185	  3.146	 0.019	 0.322	 4.306	    12.23	 0.0000	   0.000	 2.66e-01
 8.5	iso	r	  1.470	0.014	  1.470	  0.647	3.847	  3.134	  3.094	 0.026	 0.314	 4.301	    12.55	 0.0000	   0.000	 2.66e-01
 8.5	iso	r	  1.485	0.014	  1.485	  0.667	3.850	  3.082	  3.042	 0.034	 0.308	 4.297	    12.85	 0.0000	   0.000	 2.66e-01
 8.5	iso	r	  1.500	0.014	  1.500	  0.688	3.853	  3.031	  2.991	 0.042	 0.301	 4.292	    13.36	 0.0008	   0.000	 2.66e-01
 8.5	iso	r	  1.515	0.014	  1.515	  0.707	3.857	  2.982	  2.942	 0.052	 0.292	 4.292	    23.35	 0.0426	   0.000	 2.66e-01
 8.5	iso	r	  1.530	0.014	  1.530	  0.726	3.860	  2.934	  2.894	 0.061	 0.284	 4.292	    33.24	 0.0839	   0.000	 2.66e-01
 8.5	iso	r	  1.545	0.014	  1.545	  0.746	3.864	  2.886	  2.846	 0.071	 0.276	 4.292	    43.03	 0.1248	   0.000	 2.66e-01
 8.5	iso	r	  1.560	0.014	  1.560	  0.764	3.868	  2.839	  2.799	 0.080	 0.267	 4.292	    52.73	 0.1653	   0.000	 2.66e-01
 8.5	iso	r	  1.575	0.014	  1.575	  0.783	3.871	  2.792	  2.752	 0.090	 0.259	 4.293	    62.32	 0.2055	   0.000	 2.66e-01
 8.5	iso	r	  1.590	0.014	  1.590	  0.802	3.875	  2.745	  2.705	 0.099	 0.251	 4.294	    71.83	 0.2452	   0.000	 2.66e-01
 8.5	iso	r	  1.605	0.014	  1.605	  0.820	3.878	  2.699	  2.661	 0.100	 0.242	 4.295	    81.24	 0.2845	   0.000	 2.66e-01
 8.5	iso	r	  1.619	0.014	  1.619	  0.839	3.881	  2.653	  2.618	 0.100	 0.234	 4.297	    90.56	 0.3235	   0.000	 2.66e-01
 8.5	iso	r	  1.634	0.014	  1.634	  0.857	3.885	  2.608	  2.575	 0.100	 0.226	 4.298	    99.79	 0.3621	   0.000	 2.66e-01
 8.5	iso	r	  1.649	0.014	  1.649	  0.875	3.888	  2.563	  2.532	 0.100	 0.217	 4.301	   108.93	 0.4004	   0.000	 2.66e-01
 8.5	iso	r	  1.664	0.014	  1.664	  0.893	3.892	  2.518	  2.490	 0.100	 0.209	 4.303	   117.99	 0.4383	   0.000	 2.66e-01
 8.5	iso	r	  1.679	0.014	  1.679	  0.910	3.895	  2.474	  2.448	 0.100	 0.200	 4.306	   126.96	 0.4758	   0.000	 2.66e-01
 8.5	iso	r	  1.694	0.014	  1.694	  0.928	3.898	  2.430	  2.406	 0.100	 0.192	 4.309	   135.84	 0.5130	   0.000	 2.66e-01
 8.5	iso	r	  1.709	0.014	  1.709	  0.945	3.901	  2.387	  2.366	 0.100	 0.184	 4.310	   139.40	 0.5274	   0.000	 2.66e-01
 8.5	iso	r	  1.724	0.014	  1.724	  0.962	3.904	  2.346	  2.328	 0.100	 0.177	 4.309	   139.41	 0.5266	   0.000	 2.66e-01
 8.5	iso	r	  1.739	0.014	  1.739	  0.978	3.907	  2.305	  2.292	 0.098	 0.170	 4.308	   139.39	 0.5260	   0.000	 2.66e-01
 8.5	iso	r	  1.754	0.014	  1.754	  0.994	3.910	  2.265	  2.256	 0.097	 0.164	 4.307	   139.37	 0.5254	   0.000	 2.66e-01
 8.5	iso	r	  1.768	0.014	  1.768	  1.010	3.913	  2.225	  2.220	 0.096	 0.157	 4.306	   139.34	 0.5248	   0.000	 2.66e-01
 8.5	iso	r	  1.783	0.014	  1.783	  1.026	3.916	  2.185	  2.185	 0.095	 0.151	 4.305	   139.42	 0.5243	   0.000	 2.66e-01
 8.5	iso	r	  1.798	0.014	  1.798	  1.042	3.918	  2.146	  2.150	 0.094	 0.145	 4.304	   139.57	 0.5237	   0.000	 2.66e-01
 8.5	iso	r	  1.813	0.014	  1.813	  1.057	3.921	  2.107	  2.115	 0.093	 0.138	 4.302	   139.68	 0.5232	   0.000	 2.66e-01
 8.5	iso	r	  1.828	0.014	  1.828	  1.073	3.924	  2.068	  2.080	 0.092	 0.133	 4.301	   139.76	 0.5227	   0.000	 2.66e-01
 8.5	iso	r	  1.843	0.014	  1.843	  1.088	3.926	  2.030	  2.046	 0.091	 0.127	 4.299	   139.82	 0.5224	   0.000	 2.66e-01
 8.5	iso	r	  1.858	0.014	  1.858	  1.103	3.929	  1.992	  2.011	 0.090	 0.121	 4.297	   139.90	 0.5221	   0.000	 2.66e-01
 8.5	iso	r	  1.873	0.014	  1.873	  1.118	3.931	  1.954	  1.980	 0.086	 0.114	 4.296	   140.01	 0.5219	   0.000	 2.66e-01
 8.5	iso	r	  1.888	0.014	  1.888	  1.133	3.934	  1.916	  1.949	 0.083	 0.107	 4.294	   140.09	 0.5216	   0.000	 2.66e-01
 8.5	iso	r	  1.903	0.014	  1.903	  1.148	3.936	  1.879	  1.919	 0.079	 0.100	 4.292	   140.13	 0.5215	   0.000	 2.66e-01
 8.5	iso	r	  1.917	0.014	  1.917	  1.163	3.938	  1.842	  1.888	 0.075	 0.094	 4.290	   140.14	 0.5213	   0.000	 2.66e-01
 8.5	iso	r	  1.932	0.014	  1.932	  1.178	3.941	  1.806	  1.858	 0.071	 0.087	 4.288	   140.14	 0.5212	   0.000	 2.66e-01
 8.5	iso	r	  1.947	0.014	  1.947	  1.193	3.943	  1.768	  1.828	 0.067	 0.080	 4.286	   140.28	 0.5213	   0.000	 2.66e-01
 8.5	iso	r	  1.962	0.014	  1.962	  1.208	3.946	  1.730	  1.797	 0.063	 0.074	 4.284	   140.45	 0.5214	   0.000	 2.66e-01
 8.5	iso	r	  1.977	0.014	  1.977	  1.223	3.948	  1.693	  1.766	 0.060	 0.067	 4.282	   140.65	 0.5216	   0.000	 2.66e-01
 8.5	iso	r	  1.992	0.014	  1.992	  1.237	3.950	  1.657	  1.736	 0.056	 0.060	 4.280	   140.88	 0.5218	   0.000	 2.66e-01
 8.5	iso	r	  2.007	0.014	  2.007	  1.252	3.952	  1.621	  1.706	 0.052	 0.054	 4.278	   141.06	 0.5219	   0.000	 2.66e-01
