#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2024-11-14T21:37:39 [V7.4.1]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2024-11-14T21:37:39	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-source=J/A+A/537/A146/iso&-order=I&-out=logAge&logAge=7.5&-out=iso&iso=iso&-out=Rot&Rot=r&-out=Mini&-out=Zini&Zini=0.014&-out=Mass&-out=logL&-out=logTe&-out=Mbol&-out=Vmag&-out=U-B&-out=B-V&-out=logg&-out=Veq&-out=OOc&-out=logdM/dtm&-out=He4&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.4.1	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_35370146
#Name: J/A+A/537/A146
#Title: Stellar models with rotation. 0.8<M<120, Z=0.014 (Ekstrom+, 2012)
#INFO	ivoid=ivo://cds.vizier/j/a+a/537/a146	    IVOID of underlying data collection
#INFO	creator=Ekstrom S.	    First author or institution
#INFO	cites=bibcode:2012A&A...537A.146E	    Article or Data origin sources
#INFO	editor=Astronomy and Astrophysics	    Editor name (article)
#INFO	original_date=2012	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/537/A146	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.35370146	    Dataset identifier that can be used for citation
#INFO	publication_date=2012-04-03	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_537_A146_iso:
#Name: J/A+A/537/A146/iso
#Title: Isochrnones
#Column	logAge	(F4.1)	Initial age	[ucd=time.age]
#Column	iso	(A3)	Isochrone for this age	[ucd=meta.ref.url]
#Column	Rot	(A1)	[nr] r for rotation, n for no rotation	[ucd=meta.code]
#Column	Mini	(F7.3)	Initial mass	[ucd=phys.mass]
#Column	Zini	(F5.3)	[0.014] Initial metallicity	[ucd=phys.abund.Z]
#Column	Mass	(F7.3)	Actual mass at the age of the isochrone	[ucd=phys.mass]
#Column	logL	(F7.3)	Luminosity in log scale	[ucd=phys.luminosity]
#Column	logTe	(F5.3)	Effective temperature in log scale	[ucd=phys.temperature.effective;instr.scale]
#Column	Mbol	(F7.3)	Bolometric magnitude	[ucd=phys.magAbs.bol]
#Column	Vmag	(F7.3)	V-band absolute magnitude	[ucd=phot.mag;em.opt.V]
#Column	U-B	(F6.3)	U-B colour index	[ucd=phot.color;em.opt.U;em.opt.B]
#Column	B-V	(F6.3)	B-V colour index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	logg	(F6.3)	Polar effective surface gravity in log scale	[ucd=instr.scale]
#Column	Veq	(F9.2)	Equatorial velocity	[ucd=phys.veloc;pos.eq]
#Column	OOc	(F7.4)	Actual {Omega}_surf_/{Omega}_crit_	[ucd=stat.fit.param]
#Column	logdM/dtm	(F8.3)	Mechanical mass loss in log scale	[ucd=phys.mass.loss]
#Column	He4	(E9.2)	4He surface abundance (mass fraction)	[ucd=phys.abund]
logAge	iso	Rot	Mini	Zini	Mass	logL	logTe	Mbol	Vmag	U-B	B-V	logg	Veq	OOc	logdM/dtm	He4
 7.5	iso	r	  0.871	0.014	  0.871	 -0.420	3.715	  5.799	  6.096	 0.357	 0.826	 4.609	    17.03	 0.0000	   0.000	 2.66e-01
 7.5	iso	r	  0.874	0.014	  0.874	 -0.411	3.716	  5.778	  6.070	 0.350	 0.820	 4.607	    17.49	 0.0000	   0.000	 2.66e-01
 7.5	iso	r	  0.878	0.014	  0.878	 -0.402	3.717	  5.756	  6.044	 0.344	 0.813	 4.606	    17.95	 0.0000	   0.000	 2.66e-01
 7.5	iso	r	  0.882	0.014	  0.882	 -0.394	3.718	  5.734	  6.018	 0.337	 0.807	 4.604	    18.41	 0.0000	   0.000	 2.66e-01
 7.5	iso	r	  0.886	0.014	  0.886	 -0.385	3.720	  5.713	  5.992	 0.331	 0.801	 4.603	    18.87	 0.0000	   0.000	 2.66e-01
 7.5	iso	r	  0.889	0.014	  0.889	 -0.377	3.721	  5.692	  5.966	 0.324	 0.794	 4.601	    19.32	 0.0000	   0.000	 2.66e-01
 7.5	iso	r	  0.893	0.014	  0.893	 -0.368	3.722	  5.671	  5.941	 0.318	 0.788	 4.600	    19.77	 0.0000	   0.000	 2.66e-01
 7.5	iso	r	  0.897	0.014	  0.897	 -0.360	3.724	  5.650	  5.915	 0.311	 0.781	 4.598	    20.22	 0.0000	   0.000	 2.66e-01
 7.5	iso	r	  0.901	0.014	  0.901	 -0.352	3.725	  5.629	  5.890	 0.305	 0.775	 4.597	    20.78	 0.0000	   0.000	 2.66e-01
 7.5	iso	r	  0.904	0.014	  0.904	 -0.343	3.726	  5.608	  5.865	 0.299	 0.769	 4.595	    21.93	 0.0000	   0.000	 2.66e-01
 7.5	iso	r	  0.908	0.014	  0.908	 -0.335	3.727	  5.587	  5.840	 0.294	 0.764	 4.593	    23.08	 0.0000	   0.000	 2.66e-01
 7.5	iso	r	  0.912	0.014	  0.912	 -0.326	3.728	  5.566	  5.815	 0.288	 0.758	 4.591	    24.22	 0.0000	   0.000	 2.66e-01
 7.5	iso	r	  0.915	0.014	  0.915	 -0.318	3.730	  5.545	  5.791	 0.282	 0.752	 4.589	    25.36	 0.0000	   0.000	 2.66e-01
 7.5	iso	r	  0.919	0.014	  0.919	 -0.310	3.731	  5.524	  5.766	 0.276	 0.746	 4.587	    26.49	 0.0000	   0.000	 2.66e-01
 7.5	iso	r	  0.923	0.014	  0.923	 -0.302	3.732	  5.504	  5.742	 0.271	 0.741	 4.585	    27.62	 0.0000	   0.000	 2.66e-01
 7.5	iso	r	  0.927	0.014	  0.927	 -0.293	3.733	  5.483	  5.717	 0.265	 0.735	 4.583	    28.74	 0.0000	   0.000	 2.66e-01
 7.5	iso	r	  0.930	0.014	  0.930	 -0.285	3.734	  5.463	  5.693	 0.260	 0.730	 4.581	    29.86	 0.0000	   0.000	 2.66e-01
 7.5	iso	r	  0.934	0.014	  0.934	 -0.277	3.735	  5.442	  5.669	 0.254	 0.724	 4.579	    30.98	 0.0000	   0.000	 2.66e-01
 7.5	iso	r	  0.938	0.014	  0.938	 -0.269	3.736	  5.422	  5.645	 0.248	 0.718	 4.577	    32.09	 0.0000	   0.000	 2.66e-01
 7.5	iso	r	  0.942	0.014	  0.942	 -0.261	3.737	  5.402	  5.621	 0.243	 0.713	 4.575	    33.19	 0.0000	   0.000	 2.66e-01
 7.5	iso	r	  0.945	0.014	  0.945	 -0.253	3.738	  5.382	  5.597	 0.237	 0.707	 4.573	    34.30	 0.0000	   0.000	 2.66e-01
 7.5	iso	r	  0.949	0.014	  0.949	 -0.245	3.740	  5.362	  5.573	 0.232	 0.702	 4.571	    35.39	 0.0000	   0.000	 2.66e-01
 7.5	iso	r	  0.956	0.014	  0.956	 -0.229	3.742	  5.322	  5.526	 0.221	 0.693	 4.568	    37.58	 0.0000	   0.000	 2.66e-01
 7.5	iso	r	  0.964	0.014	  0.964	 -0.213	3.744	  5.282	  5.479	 0.210	 0.684	 4.564	    39.74	 0.0000	   0.000	 2.66e-01
 7.5	iso	r	  0.971	0.014	  0.971	 -0.197	3.746	  5.243	  5.432	 0.199	 0.676	 4.560	    41.89	 0.0000	   0.000	 2.66e-01
 7.5	iso	r	  0.979	0.014	  0.979	 -0.182	3.748	  5.204	  5.386	 0.189	 0.667	 4.556	    44.02	 0.0000	   0.000	 2.66e-01
 7.5	iso	r	  0.986	0.014	  0.986	 -0.166	3.750	  5.166	  5.340	 0.178	 0.659	 4.553	    46.14	 0.0000	   0.000	 2.66e-01
 7.5	iso	r	  0.994	0.014	  0.994	 -0.151	3.752	  5.127	  5.295	 0.168	 0.651	 4.549	    48.24	 0.0000	   0.000	 2.66e-01
 7.5	iso	r	  1.001	0.014	  1.001	 -0.136	3.755	  5.089	  5.249	 0.157	 0.642	 4.545	    50.00	 0.0000	   0.000	 2.66e-01
 7.5	iso	r	  1.009	0.014	  1.009	 -0.120	3.756	  5.050	  5.204	 0.148	 0.635	 4.540	    50.00	 0.0000	   0.000	 2.66e-01
 7.5	iso	r	  1.016	0.014	  1.016	 -0.105	3.758	  5.012	  5.160	 0.139	 0.628	 4.535	    50.00	 0.0000	   0.000	 2.66e-01
 7.5	iso	r	  1.023	0.014	  1.023	 -0.090	3.760	  4.974	  5.116	 0.130	 0.621	 4.531	    50.00	 0.0000	   0.000	 2.66e-01
 7.5	iso	r	  1.031	0.014	  1.031	 -0.074	3.762	  4.936	  5.071	 0.121	 0.614	 4.526	    50.00	 0.0000	   0.000	 2.66e-01
 7.5	iso	r	  1.038	0.014	  1.038	 -0.059	3.764	  4.899	  5.028	 0.112	 0.607	 4.521	    50.00	 0.0000	   0.000	 2.66e-01
 7.5	iso	r	  1.046	0.014	  1.046	 -0.044	3.765	  4.861	  4.984	 0.103	 0.600	 4.516	    49.83	 0.0000	   0.000	 2.66e-01
 7.5	iso	r	  1.053	0.014	  1.053	 -0.030	3.767	  4.824	  4.941	 0.094	 0.593	 4.512	    49.57	 0.0000	   0.000	 2.66e-01
 7.5	iso	r	  1.061	0.014	  1.061	 -0.015	3.769	  4.787	  4.898	 0.085	 0.586	 4.507	    49.31	 0.0000	   0.000	 2.66e-01
 7.5	iso	r	  1.068	0.014	  1.068	  0.000	3.771	  4.751	  4.856	 0.077	 0.579	 4.502	    49.05	 0.0000	   0.000	 2.66e-01
 7.5	iso	r	  1.076	0.014	  1.076	  0.014	3.772	  4.714	  4.813	 0.068	 0.572	 4.498	    48.78	 0.0000	   0.000	 2.66e-01
 7.5	iso	r	  1.083	0.014	  1.083	  0.029	3.774	  4.678	  4.771	 0.059	 0.565	 4.493	    48.51	 0.0000	   0.000	 2.66e-01
 7.5	iso	r	  1.091	0.014	  1.091	  0.043	3.776	  4.642	  4.730	 0.051	 0.558	 4.489	    48.24	 0.0000	   0.000	 2.66e-01
 7.5	iso	r	  1.098	0.014	  1.098	  0.057	3.778	  4.606	  4.688	 0.042	 0.552	 4.484	    47.96	 0.0000	   0.000	 2.66e-01
 7.5	iso	r	  1.105	0.014	  1.105	  0.070	3.779	  4.575	  4.653	 0.038	 0.546	 4.480	    49.69	 0.0000	   0.000	 2.66e-01
 7.5	iso	r	  1.120	0.014	  1.120	  0.094	3.782	  4.515	  4.587	 0.034	 0.537	 4.472	    54.56	 0.0000	   0.000	 2.66e-01
 7.5	iso	r	  1.135	0.014	  1.135	  0.118	3.784	  4.456	  4.522	 0.030	 0.527	 4.464	    59.34	 0.0000	   0.000	 2.66e-01
 7.5	iso	r	  1.150	0.014	  1.150	  0.141	3.787	  4.397	  4.457	 0.026	 0.518	 4.457	    64.02	 0.0000	   0.000	 2.66e-01
 7.5	iso	r	  1.165	0.014	  1.165	  0.164	3.789	  4.339	  4.394	 0.022	 0.509	 4.449	    68.60	 0.0000	   0.000	 2.66e-01
 7.5	iso	r	  1.180	0.014	  1.180	  0.187	3.792	  4.282	  4.331	 0.018	 0.500	 4.442	    73.09	 0.0000	   0.000	 2.66e-01
 7.5	iso	r	  1.195	0.014	  1.195	  0.210	3.794	  4.226	  4.270	 0.014	 0.491	 4.434	    77.49	 0.0000	   0.000	 2.66e-01
 7.5	iso	r	  1.210	0.014	  1.210	  0.232	3.796	  4.170	  4.208	 0.011	 0.482	 4.427	    81.79	 0.0000	   0.000	 2.66e-01
 7.5	iso	r	  1.225	0.014	  1.225	  0.254	3.799	  4.115	  4.148	 0.007	 0.473	 4.420	    86.00	 0.0000	   0.000	 2.66e-01
 7.5	iso	r	  1.240	0.014	  1.240	  0.276	3.801	  4.061	  4.088	 0.003	 0.465	 4.413	    90.12	 0.0000	   0.000	 2.66e-01
 7.5	iso	r	  1.254	0.014	  1.254	  0.298	3.804	  4.005	  4.026	-0.001	 0.455	 4.405	    89.55	 0.0000	   0.000	 2.66e-01
 7.5	iso	r	  1.262	0.014	  1.262	  0.311	3.805	  3.973	  3.992	-0.003	 0.450	 4.401	    83.95	 0.0000	   0.000	 2.66e-01
 7.5	iso	r	  1.269	0.014	  1.269	  0.323	3.806	  3.942	  3.957	-0.005	 0.445	 4.397	    78.49	 0.0000	   0.000	 2.66e-01
 7.5	iso	r	  1.277	0.014	  1.277	  0.336	3.808	  3.911	  3.923	-0.008	 0.439	 4.393	    73.16	 0.0000	   0.000	 2.66e-01
 7.5	iso	r	  1.284	0.014	  1.284	  0.348	3.809	  3.880	  3.889	-0.010	 0.434	 4.389	    67.96	 0.0000	   0.000	 2.66e-01
 7.5	iso	r	  1.292	0.014	  1.292	  0.360	3.811	  3.850	  3.855	-0.012	 0.429	 4.384	    62.90	 0.0000	   0.000	 2.66e-01
 7.5	iso	r	  1.299	0.014	  1.299	  0.372	3.812	  3.820	  3.822	-0.014	 0.424	 4.380	    57.97	 0.0000	   0.000	 2.66e-01
 7.5	iso	r	  1.314	0.014	  1.314	  0.396	3.815	  3.759	  3.757	-0.014	 0.414	 4.372	    48.50	 0.0000	   0.000	 2.66e-01
 7.5	iso	r	  1.329	0.014	  1.329	  0.420	3.818	  3.700	  3.694	-0.011	 0.406	 4.365	    39.55	 0.0000	   0.000	 2.66e-01
 7.5	iso	r	  1.344	0.014	  1.344	  0.444	3.820	  3.641	  3.632	-0.008	 0.397	 4.357	    31.12	 0.0000	   0.000	 2.66e-01
 7.5	iso	r	  1.359	0.014	  1.359	  0.466	3.823	  3.585	  3.572	-0.005	 0.388	 4.350	    33.37	 0.0000	   0.000	 2.66e-01
 7.5	iso	r	  1.374	0.014	  1.374	  0.488	3.826	  3.531	  3.515	-0.001	 0.380	 4.345	    42.51	 0.0000	   0.000	 2.66e-01
 7.5	iso	r	  1.389	0.014	  1.389	  0.509	3.829	  3.478	  3.458	 0.002	 0.371	 4.340	    51.20	 0.0000	   0.000	 2.66e-01
 7.5	iso	r	  1.403	0.014	  1.403	  0.530	3.832	  3.425	  3.402	 0.005	 0.362	 4.334	    59.43	 0.0000	   0.000	 2.66e-01
 7.5	iso	r	  1.418	0.014	  1.418	  0.551	3.834	  3.372	  3.346	 0.008	 0.353	 4.329	    67.21	 0.0000	   0.000	 2.66e-01
 7.5	iso	r	  1.433	0.014	  1.433	  0.572	3.837	  3.321	  3.290	 0.011	 0.344	 4.324	    74.56	 0.0000	   0.000	 2.66e-01
 7.5	iso	r	  1.448	0.014	  1.448	  0.592	3.840	  3.269	  3.236	 0.014	 0.336	 4.319	    81.48	 0.0000	   0.000	 2.66e-01
 7.5	iso	r	  1.463	0.014	  1.463	  0.612	3.843	  3.219	  3.182	 0.018	 0.327	 4.315	    87.97	 0.0000	   0.000	 2.66e-01
 7.5	iso	r	  1.478	0.014	  1.478	  0.633	3.846	  3.168	  3.128	 0.021	 0.319	 4.310	    94.04	 0.0000	   0.000	 2.66e-01
 7.5	iso	r	  1.493	0.014	  1.493	  0.652	3.848	  3.119	  3.079	 0.029	 0.312	 4.305	    99.69	 0.0000	   0.000	 2.66e-01
 7.5	iso	r	  1.508	0.014	  1.508	  0.672	3.852	  3.070	  3.030	 0.038	 0.305	 4.303	   104.75	 0.0253	   0.000	 2.66e-01
 7.5	iso	r	  1.523	0.014	  1.523	  0.691	3.855	  3.023	  2.983	 0.048	 0.296	 4.304	   109.54	 0.0736	   0.000	 2.66e-01
 7.5	iso	r	  1.538	0.014	  1.538	  0.710	3.859	  2.976	  2.936	 0.058	 0.287	 4.306	   114.36	 0.1214	   0.000	 2.66e-01
 7.5	iso	r	  1.552	0.014	  1.552	  0.728	3.863	  2.929	  2.889	 0.068	 0.278	 4.307	   119.20	 0.1688	   0.000	 2.66e-01
 7.5	iso	r	  1.567	0.014	  1.567	  0.747	3.866	  2.883	  2.843	 0.077	 0.270	 4.309	   124.07	 0.2156	   0.000	 2.66e-01
 7.5	iso	r	  1.582	0.014	  1.582	  0.765	3.870	  2.837	  2.797	 0.087	 0.261	 4.311	   128.95	 0.2619	   0.000	 2.66e-01
 7.5	iso	r	  1.597	0.014	  1.597	  0.783	3.874	  2.792	  2.752	 0.096	 0.253	 4.314	   133.86	 0.3078	   0.000	 2.66e-01
 7.5	iso	r	  1.612	0.014	  1.612	  0.801	3.877	  2.747	  2.709	 0.100	 0.244	 4.317	   138.78	 0.3532	   0.000	 2.66e-01
 7.5	iso	r	  1.627	0.014	  1.627	  0.819	3.881	  2.703	  2.667	 0.100	 0.236	 4.321	   143.73	 0.3982	   0.000	 2.66e-01
 7.5	iso	r	  1.642	0.014	  1.642	  0.836	3.884	  2.659	  2.626	 0.100	 0.227	 4.325	   148.69	 0.4427	   0.000	 2.66e-01
 7.5	iso	r	  1.657	0.014	  1.657	  0.854	3.888	  2.615	  2.584	 0.100	 0.218	 4.329	   153.67	 0.4868	   0.000	 2.66e-01
 7.5	iso	r	  1.672	0.014	  1.672	  0.871	3.891	  2.572	  2.544	 0.100	 0.210	 4.334	   158.67	 0.5304	   0.000	 2.66e-01
 7.5	iso	r	  1.687	0.014	  1.687	  0.888	3.895	  2.529	  2.503	 0.100	 0.201	 4.340	   163.69	 0.5736	   0.000	 2.66e-01
 7.5	iso	r	  1.701	0.014	  1.701	  0.905	3.898	  2.487	  2.464	 0.100	 0.193	 4.346	   168.25	 0.6122	   0.000	 2.66e-01
 7.5	iso	r	  1.716	0.014	  1.716	  0.921	3.901	  2.447	  2.426	 0.100	 0.184	 4.347	   168.42	 0.6111	   0.000	 2.66e-01
 7.5	iso	r	  1.731	0.014	  1.731	  0.937	3.905	  2.408	  2.390	 0.099	 0.176	 4.348	   168.58	 0.6100	   0.000	 2.66e-01
 7.5	iso	r	  1.746	0.014	  1.746	  0.953	3.908	  2.368	  2.356	 0.098	 0.168	 4.350	   168.73	 0.6089	   0.000	 2.66e-01
 7.5	iso	r	  1.761	0.014	  1.761	  0.968	3.911	  2.330	  2.322	 0.097	 0.161	 4.351	   168.87	 0.6077	   0.000	 2.66e-01
 7.5	iso	r	  1.776	0.014	  1.776	  0.984	3.915	  2.291	  2.289	 0.096	 0.153	 4.352	   169.00	 0.6066	   0.000	 2.66e-01
 7.5	iso	r	  1.791	0.014	  1.791	  0.999	3.918	  2.253	  2.256	 0.094	 0.146	 4.353	   169.12	 0.6054	   0.000	 2.66e-01
 7.5	iso	r	  1.806	0.014	  1.806	  1.014	3.921	  2.215	  2.223	 0.093	 0.138	 4.354	   169.22	 0.6042	   0.000	 2.66e-01
 7.5	iso	r	  1.821	0.014	  1.821	  1.029	3.924	  2.177	  2.190	 0.092	 0.131	 4.356	   169.31	 0.6030	   0.000	 2.66e-01
 7.5	iso	r	  1.836	0.014	  1.836	  1.044	3.928	  2.140	  2.158	 0.091	 0.123	 4.357	   169.40	 0.6018	   0.000	 2.66e-01
 7.5	iso	r	  1.850	0.014	  1.850	  1.059	3.931	  2.103	  2.128	 0.087	 0.115	 4.358	   169.47	 0.6006	   0.000	 2.66e-01
 7.5	iso	r	  1.865	0.014	  1.865	  1.074	3.934	  2.066	  2.100	 0.082	 0.106	 4.359	   169.53	 0.5993	   0.000	 2.66e-01
 7.5	iso	r	  1.880	0.014	  1.880	  1.088	3.937	  2.030	  2.072	 0.077	 0.098	 4.360	   169.58	 0.5980	   0.000	 2.66e-01
 7.5	iso	r	  1.895	0.014	  1.895	  1.102	3.940	  1.994	  2.045	 0.072	 0.089	 4.361	   169.62	 0.5968	   0.000	 2.66e-01
 7.5	iso	r	  1.910	0.014	  1.910	  1.117	3.943	  1.958	  2.017	 0.068	 0.081	 4.362	   169.65	 0.5955	   0.000	 2.66e-01
 7.5	iso	r	  1.925	0.014	  1.925	  1.131	3.946	  1.922	  1.990	 0.063	 0.072	 4.363	   169.66	 0.5942	   0.000	 2.66e-01
 7.5	iso	r	  1.940	0.014	  1.940	  1.145	3.949	  1.887	  1.963	 0.058	 0.064	 4.364	   169.67	 0.5928	   0.000	 2.66e-01
 7.5	iso	r	  1.955	0.014	  1.955	  1.159	3.952	  1.852	  1.937	 0.053	 0.056	 4.365	   169.67	 0.5915	   0.000	 2.66e-01
 7.5	iso	r	  1.970	0.014	  1.970	  1.173	3.955	  1.817	  1.910	 0.048	 0.048	 4.366	   169.65	 0.5902	   0.000	 2.66e-01
 7.5	iso	r	  1.985	0.014	  1.985	  1.187	3.958	  1.783	  1.884	 0.044	 0.042	 4.367	   169.62	 0.5888	   0.000	 2.66e-01
 7.5	iso	r	  1.999	0.014	  1.999	  1.201	3.961	  1.749	  1.858	 0.039	 0.036	 4.368	   169.59	 0.5874	   0.000	 2.66e-01
