#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2024-11-14T21:38:48 [V7.4.1]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2024-11-14T21:38:48	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-source=J/A+A/537/A146/iso&-order=I&-out=logAge&logAge=10.1&-out=iso&iso=iso&-out=Rot&Rot=r&-out=Mini&-out=Zini&Zini=0.014&-out=Mass&-out=logL&-out=logTe&-out=Mbol&-out=Vmag&-out=U-B&-out=B-V&-out=logg&-out=Veq&-out=OOc&-out=logdM/dtm&-out=He4&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.4.1	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_35370146
#Name: J/A+A/537/A146
#Title: Stellar models with rotation. 0.8<M<120, Z=0.014 (Ekstrom+, 2012)
#INFO	ivoid=ivo://cds.vizier/j/a+a/537/a146	    IVOID of underlying data collection
#INFO	creator=Ekstrom S.	    First author or institution
#INFO	cites=bibcode:2012A&A...537A.146E	    Article or Data origin sources
#INFO	editor=Astronomy and Astrophysics	    Editor name (article)
#INFO	original_date=2012	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/537/A146	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.35370146	    Dataset identifier that can be used for citation
#INFO	publication_date=2012-04-03	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_537_A146_iso:
#Name: J/A+A/537/A146/iso
#Title: Isochrnones
#Column	logAge	(F4.1)	Initial age	[ucd=time.age]
#Column	iso	(A3)	Isochrone for this age	[ucd=meta.ref.url]
#Column	Rot	(A1)	[nr] r for rotation, n for no rotation	[ucd=meta.code]
#Column	Mini	(F7.3)	Initial mass	[ucd=phys.mass]
#Column	Zini	(F5.3)	[0.014] Initial metallicity	[ucd=phys.abund.Z]
#Column	Mass	(F7.3)	Actual mass at the age of the isochrone	[ucd=phys.mass]
#Column	logL	(F7.3)	Luminosity in log scale	[ucd=phys.luminosity]
#Column	logTe	(F5.3)	Effective temperature in log scale	[ucd=phys.temperature.effective;instr.scale]
#Column	Mbol	(F7.3)	Bolometric magnitude	[ucd=phys.magAbs.bol]
#Column	Vmag	(F7.3)	V-band absolute magnitude	[ucd=phot.mag;em.opt.V]
#Column	U-B	(F6.3)	U-B colour index	[ucd=phot.color;em.opt.U;em.opt.B]
#Column	B-V	(F6.3)	B-V colour index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	logg	(F6.3)	Polar effective surface gravity in log scale	[ucd=instr.scale]
#Column	Veq	(F9.2)	Equatorial velocity	[ucd=phys.veloc;pos.eq]
#Column	OOc	(F7.4)	Actual {Omega}_surf_/{Omega}_crit_	[ucd=stat.fit.param]
#Column	logdM/dtm	(F8.3)	Mechanical mass loss in log scale	[ucd=phys.mass.loss]
#Column	He4	(E9.2)	4He surface abundance (mass fraction)	[ucd=phys.abund]
logAge	iso	Rot	Mini	Zini	Mass	logL	logTe	Mbol	Vmag	U-B	B-V	logg	Veq	OOc	logdM/dtm	He4
10.1	iso	r	  0.874	0.014	  0.874	 -0.166	3.731	  5.166	  5.406	 0.273	 0.743	 4.424	     1.06	 0.0000	   0.000	 2.47e-01
10.1	iso	r	  0.878	0.014	  0.878	 -0.152	3.733	  5.129	  5.364	 0.266	 0.736	 4.417	     1.08	 0.0000	   0.000	 2.47e-01
10.1	iso	r	  0.882	0.014	  0.882	 -0.137	3.734	  5.093	  5.323	 0.259	 0.729	 4.410	     1.09	 0.0000	   0.000	 2.47e-01
10.1	iso	r	  0.886	0.014	  0.886	 -0.122	3.736	  5.056	  5.281	 0.253	 0.723	 4.402	     1.10	 0.0000	   0.000	 2.47e-01
10.1	iso	r	  0.889	0.014	  0.889	 -0.107	3.737	  5.018	  5.239	 0.246	 0.716	 4.394	     1.10	 0.0000	   0.000	 2.47e-01
10.1	iso	r	  0.893	0.014	  0.893	 -0.092	3.738	  4.981	  5.198	 0.240	 0.710	 4.386	     1.11	 0.0000	   0.000	 2.47e-01
10.1	iso	r	  0.897	0.014	  0.897	 -0.077	3.739	  4.943	  5.156	 0.234	 0.704	 4.378	     1.14	 0.0000	   0.000	 2.47e-01
10.1	iso	r	  0.904	0.014	  0.904	 -0.047	3.741	  4.867	  5.072	 0.223	 0.694	 4.360	     1.17	 0.0000	   0.000	 2.47e-01
10.1	iso	r	  0.912	0.014	  0.912	 -0.016	3.743	  4.791	  4.990	 0.214	 0.687	 4.340	     1.22	 0.0000	   0.000	 2.48e-01
10.1	iso	r	  0.919	0.014	  0.919	  0.015	3.745	  4.712	  4.906	 0.206	 0.681	 4.318	     1.27	 0.0000	   0.000	 2.48e-01
10.1	iso	r	  0.934	0.014	  0.934	  0.082	3.747	  4.546	  4.730	 0.193	 0.671	 4.269	     1.40	 0.0000	   0.000	 2.50e-01
10.1	iso	r	  0.949	0.014	  0.949	  0.155	3.748	  4.363	  4.544	 0.188	 0.667	 4.207	     1.55	 0.0000	   0.000	 2.53e-01
10.1	iso	r	  0.956	0.014	  0.956	  0.194	3.747	  4.265	  4.450	 0.194	 0.671	 4.167	     1.65	 0.0000	   0.000	 2.54e-01
10.1	iso	r	  0.960	0.014	  0.960	  0.214	3.746	  4.214	  4.403	 0.199	 0.676	 4.144	     1.69	 0.0000	   0.000	 2.54e-01
10.1	iso	r	  0.964	0.014	  0.964	  0.235	3.745	  4.163	  4.357	 0.206	 0.681	 4.119	     1.73	 0.0000	   0.000	 2.55e-01
10.1	iso	r	  0.966	0.014	  0.966	  0.245	3.744	  4.137	  4.331	 0.215	 0.687	 4.105	     1.75	 0.0000	   0.000	 2.55e-01
10.1	iso	r	  0.968	0.014	  0.968	  0.256	3.742	  4.111	  4.305	 0.226	 0.693	 4.091	     1.77	 0.0000	   0.000	 2.56e-01
10.1	iso	r	  0.969	0.014	  0.969	  0.266	3.741	  4.086	  4.280	 0.240	 0.701	 4.075	     1.80	 0.0000	   0.000	 2.56e-01
10.1	iso	r	  0.970	0.014	  0.970	  0.270	3.740	  4.074	  4.269	 0.249	 0.706	 4.066	     1.82	 0.0000	   0.000	 2.56e-01
10.1	iso	r	  0.971	0.014	  0.971	  0.275	3.738	  4.062	  4.257	 0.259	 0.714	 4.057	     1.84	 0.0000	   0.000	 2.56e-01
10.1	iso	r	  0.972	0.014	  0.972	  0.280	3.737	  4.050	  4.247	 0.270	 0.721	 4.047	     1.86	 0.0000	   0.000	 2.56e-01
10.1	iso	r	  0.973	0.014	  0.973	  0.285	3.736	  4.038	  4.236	 0.283	 0.730	 4.037	     1.89	 0.0000	   0.000	 2.56e-01
10.1	iso	r	  0.974	0.014	  0.974	  0.289	3.734	  4.028	  4.227	 0.298	 0.739	 4.026	     1.92	 0.0000	   0.000	 2.57e-01
10.1	iso	r	  0.975	0.014	  0.975	  0.293	3.732	  4.018	  4.218	 0.314	 0.748	 4.016	     1.96	 0.0000	   0.000	 2.57e-01
10.1	iso	r	  0.976	0.014	  0.976	  0.295	3.731	  4.013	  4.214	 0.322	 0.754	 4.010	     1.98	 0.0000	   0.000	 2.57e-01
10.1	iso	r	  0.976	0.014	  0.976	  0.297	3.730	  4.008	  4.210	 0.331	 0.759	 4.004	     2.01	 0.0000	   0.000	 2.57e-01
10.1	iso	r	  0.976	0.014	  0.976	  0.298	3.729	  4.004	  4.207	 0.341	 0.765	 3.998	     2.04	 0.0000	   0.000	 2.57e-01
10.1	iso	r	  0.977	0.014	  0.977	  0.300	3.728	  4.000	  4.204	 0.352	 0.771	 3.992	     2.06	 0.0000	   0.000	 2.57e-01
10.1	iso	r	  0.977	0.014	  0.977	  0.302	3.727	  3.996	  4.201	 0.363	 0.777	 3.986	     2.09	 0.0000	   0.000	 2.57e-01
10.1	iso	r	  0.978	0.014	  0.978	  0.303	3.725	  3.992	  4.198	 0.375	 0.784	 3.980	     2.12	 0.0000	   0.000	 2.57e-01
10.1	iso	r	  0.978	0.014	  0.978	  0.304	3.724	  3.989	  4.196	 0.388	 0.792	 3.973	     2.16	 0.0000	   0.000	 2.58e-01
10.1	iso	r	  0.979	0.014	  0.979	  0.306	3.722	  3.986	  4.195	 0.403	 0.799	 3.966	     2.19	 0.0000	   0.000	 2.58e-01
10.1	iso	r	  0.979	0.014	  0.979	  0.307	3.721	  3.983	  4.193	 0.419	 0.808	 3.958	     2.23	 0.0000	   0.000	 2.58e-01
10.1	iso	r	  0.980	0.014	  0.980	  0.308	3.719	  3.980	  4.192	 0.438	 0.817	 3.950	     2.26	 0.0000	   0.000	 2.58e-01
10.1	iso	r	  0.980	0.014	  0.980	  0.308	3.718	  3.979	  4.193	 0.448	 0.822	 3.945	     2.28	 0.0000	   0.000	 2.58e-01
10.1	iso	r	  0.980	0.014	  0.980	  0.309	3.717	  3.978	  4.193	 0.459	 0.827	 3.941	     2.30	 0.0000	   0.000	 2.58e-01
10.1	iso	r	  0.980	0.014	  0.980	  0.309	3.716	  3.977	  4.194	 0.469	 0.832	 3.936	     2.32	 0.0000	   0.000	 2.58e-01
10.1	iso	r	  0.981	0.014	  0.981	  0.310	3.715	  3.976	  4.194	 0.480	 0.837	 3.932	     2.33	 0.0000	   0.000	 2.58e-01
10.1	iso	r	  0.981	0.014	  0.981	  0.310	3.714	  3.975	  4.194	 0.492	 0.843	 3.927	     2.35	 0.0000	   0.000	 2.59e-01
10.1	iso	r	  0.981	0.014	  0.981	  0.310	3.712	  3.974	  4.194	 0.505	 0.848	 3.922	     2.36	 0.0000	   0.000	 2.59e-01
10.1	iso	r	  0.981	0.014	  0.981	  0.311	3.711	  3.972	  4.194	 0.517	 0.854	 3.917	     2.38	 0.0000	   0.000	 2.59e-01
10.1	iso	r	  0.982	0.014	  0.982	  0.312	3.710	  3.971	  4.194	 0.530	 0.860	 3.911	     2.39	 0.0000	   0.000	 2.59e-01
10.1	iso	r	  0.982	0.014	  0.982	  0.312	3.709	  3.969	  4.193	 0.544	 0.865	 3.906	     2.40	 0.0000	   0.000	 2.59e-01
10.1	iso	r	  0.982	0.014	  0.982	  0.313	3.708	  3.967	  4.193	 0.558	 0.871	 3.900	     2.41	 0.0000	   0.000	 2.59e-01
10.1	iso	r	  0.982	0.014	  0.982	  0.314	3.706	  3.965	  4.192	 0.572	 0.877	 3.895	     2.42	 0.0000	   0.000	 2.60e-01
10.1	iso	r	  0.983	0.014	  0.983	  0.315	3.705	  3.963	  4.193	 0.588	 0.884	 3.889	     2.43	 0.0000	   0.000	 2.60e-01
10.1	iso	r	  0.983	0.014	  0.983	  0.316	3.704	  3.960	  4.193	 0.605	 0.891	 3.882	     2.43	 0.0000	   0.000	 2.60e-01
10.1	iso	r	  0.983	0.014	  0.983	  0.317	3.702	  3.957	  4.195	 0.621	 0.898	 3.876	     2.43	 0.0000	   0.000	 2.60e-01
10.1	iso	r	  0.983	0.014	  0.983	  0.318	3.701	  3.954	  4.198	 0.633	 0.905	 3.869	     2.43	 0.0000	   0.000	 2.60e-01
10.1	iso	r	  0.983	0.014	  0.983	  0.320	3.700	  3.949	  4.200	 0.645	 0.911	 3.862	     2.43	 0.0000	   0.000	 2.61e-01
10.1	iso	r	  0.984	0.014	  0.984	  0.322	3.698	  3.944	  4.202	 0.656	 0.918	 3.855	     2.42	 0.0000	   0.000	 2.61e-01
10.1	iso	r	  0.984	0.014	  0.984	  0.324	3.697	  3.939	  4.203	 0.670	 0.924	 3.848	     2.41	 0.0000	   0.000	 2.61e-01
10.1	iso	r	  0.984	0.014	  0.984	  0.328	3.696	  3.930	  4.200	 0.684	 0.930	 3.840	     2.40	 0.0000	   0.000	 2.62e-01
10.1	iso	r	  0.984	0.014	  0.984	  0.331	3.695	  3.922	  4.197	 0.698	 0.936	 3.832	     2.38	 0.0000	   0.000	 2.62e-01
10.1	iso	r	  0.985	0.014	  0.985	  0.335	3.694	  3.913	  4.194	 0.712	 0.942	 3.824	     2.36	 0.0000	   0.000	 2.62e-01
10.1	iso	r	  0.985	0.014	  0.985	  0.339	3.692	  3.903	  4.188	 0.724	 0.948	 3.815	     2.33	 0.0000	   0.000	 2.63e-01
10.1	iso	r	  0.985	0.014	  0.985	  0.343	3.691	  3.892	  4.182	 0.737	 0.953	 3.807	     2.31	 0.0000	   0.000	 2.63e-01
10.1	iso	r	  0.986	0.014	  0.986	  0.354	3.690	  3.864	  4.163	 0.759	 0.962	 3.788	     2.25	 0.0000	   0.000	 2.64e-01
10.1	iso	r	  0.986	0.014	  0.986	  0.367	3.688	  3.833	  4.140	 0.779	 0.971	 3.769	     2.19	 0.0000	   0.000	 2.64e-01
10.1	iso	r	  0.986	0.014	  0.986	  0.381	3.686	  3.798	  4.113	 0.798	 0.979	 3.749	     2.13	 0.0000	   0.000	 2.65e-01
10.1	iso	r	  0.987	0.014	  0.987	  0.397	3.685	  3.758	  4.078	 0.813	 0.986	 3.728	     2.06	 0.0000	   0.000	 2.66e-01
10.1	iso	r	  0.987	0.014	  0.987	  0.414	3.684	  3.714	  4.040	 0.828	 0.992	 3.705	     1.99	 0.0000	   0.000	 2.67e-01
10.1	iso	r	  0.988	0.014	  0.988	  0.433	3.682	  3.667	  3.998	 0.842	 0.998	 3.682	     1.92	 0.0000	   0.000	 2.69e-01
10.1	iso	r	  0.989	0.014	  0.989	  0.476	3.681	  3.560	  3.900	 0.862	 1.007	 3.633	     1.80	 0.0000	   0.000	 2.71e-01
10.1	iso	r	  0.990	0.014	  0.989	  0.524	3.679	  3.441	  3.787	 0.878	 1.014	 3.580	     1.68	 0.0000	   0.000	 2.74e-01
10.1	iso	r	  0.991	0.014	  0.990	  0.578	3.678	  3.306	  3.657	 0.893	 1.020	 3.521	     1.57	 0.0000	   0.000	 2.78e-01
10.1	iso	r	  0.992	0.014	  0.991	  0.640	3.677	  3.151	  3.508	 0.908	 1.026	 3.454	     1.46	 0.0000	   0.000	 2.82e-01
10.1	iso	r	  0.993	0.014	  0.992	  0.710	3.675	  2.974	  3.340	 0.929	 1.035	 3.377	     1.34	 0.0000	   0.000	 2.86e-01
10.1	iso	r	  0.993	0.014	  0.992	  0.752	3.674	  2.871	  3.241	 0.940	 1.040	 3.332	     1.28	 0.0000	   0.000	 2.88e-01
10.1	iso	r	  0.993	0.014	  0.993	  0.796	3.673	  2.760	  3.136	 0.952	 1.046	 3.283	     1.21	 0.0000	   0.000	 2.90e-01
10.1	iso	r	  0.994	0.014	  0.993	  0.845	3.671	  2.638	  3.022	 0.965	 1.054	 3.228	     1.14	 0.0000	   0.000	 2.91e-01
10.1	iso	r	  0.994	0.014	  0.993	  0.900	3.669	  2.500	  2.893	 0.982	 1.063	 3.166	     1.07	 0.0000	   0.000	 2.93e-01
10.1	iso	r	  0.995	0.014	  0.993	  0.930	3.668	  2.426	  2.824	 0.991	 1.068	 3.132	     1.03	 0.0000	   0.000	 2.94e-01
10.1	iso	r	  0.995	0.014	  0.994	  0.963	3.667	  2.342	  2.746	 1.002	 1.074	 3.094	     0.99	 0.0000	   0.000	 2.95e-01
10.1	iso	r	  0.995	0.014	  0.994	  0.997	3.666	  2.258	  2.668	 1.012	 1.080	 3.056	     0.95	 0.0000	   0.000	 2.96e-01
10.1	iso	r	  0.995	0.014	  0.994	  1.027	3.665	  2.183	  2.598	 1.023	 1.085	 3.021	     0.92	 0.0000	   0.000	 2.97e-01
10.1	iso	r	  0.996	0.014	  0.994	  1.052	3.664	  2.120	  2.541	 1.032	 1.090	 2.992	     0.89	 0.0000	   0.000	 2.98e-01

